"adap-org/9801001","Vipul Periwal","Vipul Periwal","Geometric statistical inference","7 pages, RevTeX",,,"PUPT-1741","adap-org nlin.AO",,"  Finite sample size corrections to the reparametrization-invariant solution of
the inverse problem of probability are computed, and shown to converge
uniformly to the correct distribution.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 20:04:28 GMT""}]","2007-05-23"
"alg-geom/9712035","Jun Li","Jun Li and Gang Tian","Comparison of the algebraic and the symplectic Gromov-Witten invariants","45 pages, Latex",,,,"alg-geom math.AG",,"  We show that the algebraic and the symplectic GW-inivariants of smooth
projective varieties are equivalent.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:35:47 GMT""}]","2007-05-23"
"astro-ph/9712352","Bruce Elmegreen","B. G. Elmegreen (IBM Research Division, T.J. Watson Research Center)","Observations and Theory of Dynamical Triggers for Star Formation","34 pages, 5 figures, To be published in the proceedings of the NASA
  Conference, ""Origins of Galaxies, Stars, Planets and Life,"" ed. C.E.
  Woodward, H.A. Thronson, & M. Shull, Astronomical Society of the Pacific
  Conference Series, 1998",,,"IBM Log 94270","astro-ph",,"  Star formation triggering mechanisms are reviewed, including the direct
compression of clouds and globules, the compression and collapse of molecular
clouds at the edges of HII regions and supernovae, the expansion and collapse
of giant rings and shells in galaxy disks, and the collision and collapse
between two clouds. Collapse criteria are given. A comprehensive tabulation of
regions where these four types of triggering have been found suggests that
dynamical processes sustain and amplify a high fraction of all star formation
that begins spontaneously in normal galaxy disks.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 17:00:48 GMT""}]","2007-05-23"
"astro-ph/9712353","Bruce Elmegreen","Deidre A. Hunter (1), Bruce G. Elmegreen (2), Aomawa L. Baker (3) ((1)
  Lowell Observatory, (2) IBM Research Division, T.J. Watson Research Center,
  (3) Department of Earth, Atmospheric, and Planetary Sciences, MIT)","The Relationship Between Gas, Stars, and Star Formation in Irregular
  Galaxies: A Test of Simple Models","39 pages, 7 figures, to appear in Astrophysical Journal, Vol. 493,
  Feb 1, 1998",,"10.1086/305158","IBM Log 94271","astro-ph",,"  We explore various instability models for the onset of star formation in
irregular galaxies. Critical gas densities are calculated for gravitational
instabilities with a thin, pure-gas disk, and with a thick disk composed of gas
and a star-like fluid. We also calculated the stability properties of three
dimensional systems including dark matter, considered the thermal state of the
gas, and used a modified threshold column density written in terms of the local
rate of shear instead of the epicyclic frequency. The model predictions were
compared to the azimuthally-averaged present day star formation activity traced
by the Halpha surface brightness, and to the 1 Gyr-integrated star formation
activity represented by the stellar surface brightness.
  The ratio of the observed gas density to the critical gas density is lower by
a factor of 2 in most of the Im galaxies than it is in spiral galaxies. Star
formation ends before this ratio drops significantly in the outer regions, and
it remains high in the inner regions where the ratio is often low. These
results suggest that the critical gas density does not trace star formation
with the same detail in irregular galaxies as it appears to trace it in giant
spiral galaxies. The only azimuthally-averaged quantity that correlates with
the current star formation activity in irregulars is the stellar surface
density. Theoretical implications are discussed.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 17:48:56 GMT""}]","2009-10-30"
"astro-ph/9712354","Bruce Elmegreen","Bruce G. Elmegreen (IBM Research Division, T.J. Watson Research
  Center)","Small-Scale Mixing of the Elements","9 pages, 4 figures, to be published in ""Abundance Profiles:
  Diagnostic Tools for Galaxy History,"" ed. D. Friedli, M.G. Edmunds, C.
  Robert, & L. Drissen, ASP Conference Series, 1998",,,"IBM Log 94269","astro-ph",,"  The progressive mixing and contamination of interstellar gas by supernovae
and other processes following the passage of a spiral density wave is reviewed,
with an emphasis on the Solar neighborhood. Regions of star formation should
begin their lives with an inhomogeneous mixture of abundances as a result of
their chaotic and large-scale formation processes. These inhomogeneities should
continue to increase during several generations of star formation until the gas
enters the interarm region. Then cloud dispersal by large interarm tidal
forces, high rates of shear, and internal star formation should all lead to
cloud-to-cloud mixing, while increased ionization, heating, and evaporation
should lead to mixing on the atomic level. Gradients in the dispersion of
elemental abundances are expected for galaxy disks.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 18:09:24 GMT""}]","2007-05-23"
"astro-ph/9712355","Theodore R. Gull","Theodore R. Gull (1), Don J. Lindler (1,2), D. Michael Crenshaw (1,3),
  Joseph F. Dolan (1), Stephen J. Hulbert (4), Steven B. Kraemer (1,3), Peter
  Lundqvist (5), Kailash C. Sahu (4), Jesper Sollerman (5), George Sonneborn
  (1) and Bruce E. Woodgate (1) ((1) LASP/GSFC/NASA, Greenbelt, MD (2) ACC (3)
  Catholic University (4) STScI, Baltimore, MD (5) Stockholm Observatory,
  Saltsjobaden, Sweden)","STIS Near Ultraviolet Time-Tagged Spectra of the Crab Pulsar","Accepted for publication in Astrophyical Journal Letters, 16 pages, a
  LaTeX text (13 pages), 3 postscript figures",,,,"astro-ph",,"  We present the spectrum and pulse profile of the Crab Pulsar in the near
ultraviolet (1600-3200 Angstroms) observed with the Space Telescope Imaging
Spectrograph (STIS) during the Hubble Space Telescope (HST) second Servicing
Mission Orbital Verification (SMOV) period. The two-dimensional
Near-Ultraviolet Multi-Anode Microchannel Array (NUV MAMA) was used in time-tag
mode with a 2 arcsec by 2 arcsec aperture and the low dispersion grating,
G230L, to obtain a cube with axes of slit position, wavelength, and time. The
observation-derived pulse profile is consistent with radio measurements, and
the pulse profile agrees well with previous NUV broadband measurements by the
High Speed Photometer. The pulsar spectrum includes the 2200 A dust absorption
feature, plus several interstellar absorption lines. Dereddening the spectrum
using the Savage-Mathis model with E(B-V)=0.55+- 0.05 leads to a good fit to a
power law with slope of -0.3+-0.2. Spectra of the main pulse, the interpulse,
and the individual rising and falling edges are similar to the total spectrum
within the limits of photon statistics. The pulse profile is stable across the
NUV spectral range. Histogram analysis reveals no evidence for the superpulses
seen at radio wavelengths. The interstellar absorption line equivalent widths
of Mg I, Mg II and FeII are lower than expected based upon the implied HI
column density from E(B-V)=0.5. While several explanations are possible,
additional studies will be necessary to narrow the options.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 18:27:02 GMT""}]","2007-05-23"
"astro-ph/9712356","Jonathan E. Grindlay","Kenneth S. K. Lum, Joseph J. Mohr, Didier Barret, Jonathan E.
  Grindlay, and Raj P. Manandhar","Simulations and Measurements of the Background Encountered by a
  High-Altitude Balloon-Borne Experiment for Hard X-ray Astronomy","17 pages Latex (uses aaspp4.sty) plus 7 postscript figures: available
  in file figs.tar.gz","Nucl.Instrum.Meth. A396 (1997) 350-359","10.1016/S0168-9002(97)00785-7",,"astro-ph",,"  We have modelled the hard X-ray background expected for a high-altitude
balloon flight of the Energetic X-ray Telescope Experiment (EXITE2), an imaging
phoswich detector/telescope for the 20--600 keV energy range. Photon and
neutron-induced contributions to the background are considered. We describe the
code and the results of a series of simulations with different shielding
configurations. The simulated hard X-ray background for the actual flight
configuration agrees reasonably well (within a factor of $\sim$ 2) with the
results measured on the first flight of EXITE2 from Palestine, Texas. The
measured background flux at 100 keV is $\sim$ 4 $\times$ 10$^{-4}$ counts
cm$^{-2}$ s$^{-1}$ keV$^{-1}$.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 21:35:58 GMT""}]","2009-10-30"
"astro-ph/9712357","Jonathan E. Grindlay","Jonathan E. Grindlay","Balloon-Borne Hard X-Ray Imaging and Future Surveys","10 pages Latex and includes 3 figures (postscript). Invited talk at
  COSPAR (Birmingham, UK; July 96); to appear in Adv. in Sp. Res. (1998)",,"10.1016/S0273-1177(97)01088-0",,"astro-ph",,"  Several payloads for hard X-ray (20-600 keV) imaging with coded aperture
telescopes have been developed for balloon flight observations of cosmic x-ray
sources. We briefly review the characteristics of these, particularly the
EXITE2 system. The recent NASA program to develop an extended long duration
(100d) balloon flight capability employing super-pressure balloons would allow
a qualitatively new hard x-ray imaging experiment: the Energetic X-ray Imaging
Survey Telescope-Long Integration Time Experiment (EXIST-LITE). The longer
continuous viewing times (per source) available from an LDB platform than from
low earth orbit would enable both surveys and objectives complementary to the
EXIST mission proposed for a MIDEX satellite. We summarize the scientific
objectives of EXIST-LITE, a possible instrumentation approach incorporating a
large area array of Cd-Zn-Te (CZT) detectors, and our program for the
development and balloon flight testing of relatively thick (5mm) CZT detector
arrays.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 22:02:23 GMT""}]","2009-10-30"
"astro-ph/9712358","Greg Ushomirsky","Lars Bildsten, Andrew Cumming, Greg Ushomirsky, and Curt Cutler","Oceanography of Accreting Neutron Stars: Non-Radial Oscillations and
  Periodic X-Ray Variability","5 pages, 2 figures, LaTeX (paspconf style), to appear in A Half
  Century of Stellar Pulsation Interpretations, ASP Conf. Ser",,,,"astro-ph",,"  Observations of quasi-periodic oscillations (QPOs) in the luminosity from
many accreting neutron stars (NS) have led us to investigate a source of
periodicity prevalent in other stars: non-radial oscillations. After
summarizing the structure of the atmosphere and ocean of an accreting NS, we
discuss the various low l g-modes with frequencies in the 1-100 Hz range.
Successful identification of a non-radial mode with an observed frequency would
yield new information about the thermal and compositional makeup of the NS, as
well as its radius. We close by discussing how rapid rotation changes the
g-mode frequencies.
","[{""version"":""v1"",""created"":""Wed, 31 Dec 1997 22:52:02 GMT""}]","2007-05-23"
"astro-ph/9712359","Jonathan E. Grindlay","J.E. Grindlay, T.A. Prince, F. Harrison, N. Gehrels, C.J. Hailey, B.
  Ramsey, M.C. Weisskopf, G.K. Skinner, and P. Ubertini","Proposed (to) EXIST: Hard X-ray Imaging All Sky Survey/Monitor","6 pages latex (needs RIKEN2A.sty, WORKSHOP.sty and psbox.sty) plus 3
  postscript figures. Invited talk presented at Riken Workshop on All Sky
  Monitors; to be published in ""All Sky X-ray Observations in the Next Decade""
  (eds. M. Matsuoka and N. Kawai), 1998",,,,"astro-ph",,"  The hard x-ray (10-600 keV) sky is inherently time variable and yet has
neither been surveyed nor monitored with a sensitive imaging telescope. The
Energetic X-ray Imaging Survey Telescope (EXIST) is a mission concept, proposed
for MIDEX, which would conduct the first imaging all-sky hard x-ray survey as
well as provide a sensitive all sky monitor. With $\sim 60%$ sky coverage each
orbit, and full sky coverage each 50 days, hard x-ray studies of gamma-ray
bursts, AGN, galactic transients, x-ray binaries and accretion-powered pulsars
can be conducted over a wide range of timescales. We summarize the scientific
objectives of EXIST for both the survey and monitoring objectives. We describe
the mission concept and the instrumentation approach, which would incorporate a
large area array of Cd-Zn-Te (CZT) detectors, as well as some of our ongoing
development of CZT array detectors.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:06:38 GMT""}]","2007-05-23"
"astro-ph/9712360","Jonathan E. Grindlay","Jonathan E. Grindlay","Surveying the Hard X-ray Sky: Imaging in Space and Time","4 pages lates (uses an98-art.sty, an96-post.sty, epsf.sty) plus 2
  postscript figures",,"10.1002/asna.2123190160","invited talk presented at Potsdam Workshop on X-ray Surveys; to be
  published in Astron. Nachr., vol. 319 (1998)","astro-ph",,"  One of the few remaining astronomical bands (factor of $\sim$10 in energy
range) still without an all-sky imaging survey is the hard x-ray band (10-600
keV). This is in spite of sensitive imaging all-sky surveys already conducted
at soft x-ray energies (0.2-2 keV; ROSAT) and soft/hard $\gamma$-ray ($\sim$750
keV - 10 GeV; COMPTEL/EGRET) energies and imminent for medium x-ray energies
(2- 10 keV; ABRIXAS). A Hard x-ray imaging survey conducted with wide-field
coded aperture telescopes allows both high sensitivity (and spatial/spectral
resolution) and broad temporal coverage. We derive a generalized survey
sensitivity/temporal parameter, Q, and compare previous and planned hard x-ray
surveys with the proposed EXIST mission. Key scientific objectives that could
be addressed with the enhanced capability of EXIST are outlined.
","[{""version"":""v1"",""created"":""Thu, 1 Jan 1998 00:41:02 GMT""}]","2015-06-24"
