"adap-org/9801002","Fernando Fagundes Ferreira","F F Ferreira and J F Fontanari","Probabilistic Analysis of the Number Partitioning Problem","14 pages and 5 figures",,"10.1088/0305-4470/31/15/007",,"adap-org cond-mat.stat-mech math-ph math.MP nlin.AO",,"  Given a sequence of $N$ positive real numbers $\{a_1,a_2,..., a_N \}$, the
number partitioning problem consists of partitioning them into two sets such
that the absolute value of the difference of the sums of $a_j$ over the two
sets is minimized. In the case that the $a_j$'s are statistically independent
random variables uniformly distributed in the unit interval, this NP-complete
problem is equivalent to the problem of finding the ground state of an
infinite-range, random anti-ferromagnetic Ising model. We employ the annealed
approximation to derive analytical lower bounds to the average value of the
difference for the best constrained and unconstrained partitions in the large
$N$ limit. Furthermore, we calculate analytically the fraction of metastable
states, i.e. states that are stable against all single spin flips, and found
that it vanishes like $N^{-3/2}$.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 13:29:47 GMT""}]","2009-10-30"
"astro-ph/9801102","Stacy McGaugh","Stacy McGaugh and Erwin de Blok","Testing the Hypothesis of Modified Dynamics with Low Surface Brightness
  Galaxies and Other Evidence","Accepted for publication in the Astrophysical Journal. 35 pages
  AAStex + 9 figures. This result surprised the bejeepers out of us, too","Astrophys.J. 499 (1998) 66-81","10.1086/305629",,"astro-ph gr-qc hep-ph",,"  The rotation curves of low surface brightness galaxies provide a unique data
set with which to test alternative theories of gravitation over a large dynamic
range in size, mass, surface density, and acceleration. Many clearly fail,
including any in which the mass discrepancy appears at a particular
length-scale. One hypothesis, MOND [Milgrom 1983, ApJ, 270, 371], is consistent
with the data. Indeed, it accurately predicts the observed behavior. We find no
evidence on any scale which clearly contradicts MOND, and a good deal which
supports it.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 20:07:11 GMT""}]","2015-06-24"
"astro-ph/9801107","Xiangdong Shi","Xiangdong Shi (UCSD)","Testing Cold Dark Matter Models Using Hubble Flow Variations","8 pages, 10 figures, submitted to MNRAS",,"10.1046/j.1365-8711.1999.02430.x",,"astro-ph",,"  COBE-normalized flat (matter plus cosmological constant) and open Cold Dark
Matter (CDM) models are tested by comparing their expected Hubble flow
variations and the observed variations in a Type Ia supernova sample and a
Tully Fisher cluster sample. The test provides a probe of the CDM power
spectrum on scales of $0.02h$ Mpc$^{-1}\la k\la 0.2h$ Mpc$^{-1}$, free of the
bias factor $b$. The results favor a low matter content universe, or a flat
matter-dominated universe with a very low Hubble constant and/or a very small
spectral index $n_{ps}$, with the best fits having $\Omega_0\sim 0.3$ to 0.4.
The test is found to be more discriminative to the open CDM models than to the
flat CDM models. For example, the test results are found to be compatible with
those from the X-ray cluster abundance measurements at smaller length scales,
and consistent with the galaxy and cluster correlation analysis of Peacock and
Dodds (1994) at similar length scales, if our universe is flat; but the results
are marginally incompatible with the X-ray cluster abundance measurements if
our universe is open. The open CDM results are consistent with that of Peacock
and Dodds only if the matter density of the universe is less than about 60% of
the critical density. The shortcoming of the test is discussed, so are ways to
minimize it.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 17:30:31 GMT""}]","2009-10-30"
"astro-ph/9801112","Amy Barger","A. J. Barger, A. Aragon-Salamanca, I. Smail, R. S. Ellis, W. J. Couch,
  A. Dressler, A. Oemler, B. M. Poggianti, R. M. Sharples","New Constraints on the Luminosity Evolution of Spheroidal Galaxies in
  Distant Clusters","LaTex file with ps figures. to appear in ApJ",,"10.1086/305834",,"astro-ph",,"  We investigate various probes of luminosity evolution in the rich cluster
environment, concentrating in particular on the spheroidal (E/S0) galaxies,
using a newly-constructed catalog of morphologically-classified Hubble Space
Telescope images of galaxies observed in the cores of 13 clusters with
redshifts 0.17<z<0.56. An important distinction of this study compared to
earlier work is the availability of new near-infrared ground-based photometry
for a substantial subset of our HST fields, which we have used to select and
study the various populations. We find no significant change in the
characteristic luminosity of the spheroidal populations at redshifts of 0.31
and 0.56. As a more sensitive probe of luminosity evolution, deriving effective
metric radii and mean effective surface brightnesses. At the standard condition
corresponding to R_e = 1 kpc, we find convincing evidence of evolutionary
brightening in both rest-frame B and K light, consistent with model predictions
based on the passive evolution of stellar populations.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 01:20:13 GMT""}]","2009-10-30"
"astro-ph/9801118","Dick Henry","R.B.C. Henry (U. of Oklahoma)","Abundance Profiles in Disk Galaxies from Nebulae","9 pages, 4 figures (eps); Invited review presented at the workshop on
  ``Abundance Profiles: Diagnostic Tools For Galaxy History'', held October
  12-15, 1997, at Universite Laval, Quebec City, Quebec",,,,"astro-ph",,"  Galactic and extragalactic abundance studies of H II regions, planetary
nebulae, and supernova remnants are compiled and their implications briefly
reviewed. Galaxy global metallicity appears to be related directly to total
mass and morphology, while gradient slopes are uncorrelated with these
parameters, although barred spirals tend to have flatter profiles than
non-barred spirals. N/O behavior is consistent with primary, then secondary,
production of N as metallicity increases, and empirical evidence for a
metallicity-sensitive C yield is seen. Metallicity-invariant primary production
mechanisms are suggested for S, Ne, Ar, and O.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 16:06:14 GMT""}]","2007-05-23"
"astro-ph/9801119","Martin Dominik","M. Dominik","Where are the binary source galactic microlensing events?","10 pages in LaTeX2e including 5 PostScript figures","Astron.Astrophys.333:893,1998",,,"astro-ph",,"  Though there have been some galactic microlensing events which show a clear
signature of a binary lens, no event has yet been claimed as due to lensing of
a binary source. Here I argue that this may be due to the fact that most of the
binary source events show light curves which can be fitted with the simpler
model of a blended single source.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 16:19:56 GMT""}]","2011-05-23"
"astro-ph/9801120","Laurence P. David","W. Tucker, P. Blanco, S. Rappoport, L. David, D. Fabricant, E.E.
  Falco, W. Forman, A. Dressler, and M. Ramella","1E0657-56: A Contender for the Hottest Known Cluster of Galaxies","4 figures",,"10.1086/311234",,"astro-ph",,"  We identify the extended Einstein IPC X-ray source, 1E0657-56, with a
previously unknown cluster of galaxies at a redshift of $z=0.296$. Optical CCD
images show the presence of a gravitational arc in this cluster and galaxy
spectra yield a cluster velocity dispersion of $1213^{+352}_{-191}$ km
s$^{-1}$. X-ray data obtained with the ROSAT HRI and ASCA indicate that
1E0657-56 is a highly luminous cluster in which a merger of subclusters may be
occurring. The temperature of the hot gas in 1E0657-56 is $\rm{kT}=17.4 \pm 2.5
keV$, which makes it an unusually hot cluster, with important cosmological
implications.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 16:50:34 GMT""}]","2016-08-30"
"astro-ph/9801121",,"George F. Smoot (UC Berkeley)","Galactic Free-free and H-alpha Emission","10 pages including 3 figures",,,,"astro-ph",,"  This document provides a brief summary estimate of Galactic free-free
emission and H-alpha emission and their relationship. Particular emphasis is
placed on estimating the potential free-free emission in the region of
significant confusion for CMB anisotropy measurements. Existing x-ray,
ultraviolet and H$\alpha$ emission provide limits on the radio free-free
emission and vice versa. These limits are generally somewhat smaller than the
observed ``free-free'' (signal proportional to frequency^{-2.15}) microwave
signal. If this remains true, then some previously neglected source may be
present. Physics argues that H-alpha emission is still the best tracer for
Galactic free-free emission and thus a tool for diagnosing if there is a
previously neglected emssion source.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 19:09:53 GMT""},{""version"":""v2"",""created"":""Wed, 14 Jan 1998 02:22:32 GMT""}]","2007-05-23"
"astro-ph/9801122","Eric Linder","Eric V. Linder (UMass - Amherst)","Averaging Inhomogeneous Universes: Volume, Angle, Line of Sight","9 pages, 0 figures, corrected references",,,,"astro-ph",,"  Cosmologies that match in a volume averaged sense need not generally have the
same light propagation behaviors. In particular a universe with inhomogeneity
may not demonstrate the Friedmann-Robertson-Walker distance-redshift relation
even after volume averaging to FRW spacetime. Even the Dyer-Roeder prescription
for incorporating inhomogeneity within a universe equivalent to FRW in an angle
averaged sense does not guarantee FRW behavior in general. To legitimately use
the FRW distance-redshift relation to interpret observations, the physical
conditions must match in a line of sight sense (defined herein: most
observations do), since light probes the mass distribution or geometry on all
length scales.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 19:14:21 GMT""},{""version"":""v2"",""created"":""Wed, 14 Jan 1998 14:36:26 GMT""}]","2007-05-23"
"astro-ph/9801123","Stacy McGaugh","Stacy McGaugh and Erwin de Blok","Testing the Dark Matter Hypothesis with Low Surface Brightness Galaxies
  and Other Evidence","Accepted for publication in the Astrophysical Journal. 49 pages
  AAStex + 16 figures","Astrophys.J. 499 (1998) 41","10.1086/305612",,"astro-ph gr-qc hep-ph",,"  The severity of the mass discrepancy in spiral galaxies is strongly
correlated with the central surface brightness of the disk. Progressively lower
surface brightness galaxies have ever larger mass discrepancies. No other
parameter (luminosity, size, velocity, morphology) is so well correlated with
the magnitude of the mass deficit.
  The rotation curves of low surface brightness disks thus provide a unique
data set with which to probe the dark matter distribution in galaxies. The mass
discrepancy is apparent from $R = 0$ giving a nearly direct map of the halo
mass distribution. The luminous mass is insignificant.
  Interpreting the data in terms of dark matter leads to troublesome
fine-tuning problems. Different observations require contradictory amounts of
dark matter. Structure formation theories are as yet far from able to explain
the observations.
","[{""version"":""v1"",""created"":""Tue, 13 Jan 1998 20:01:43 GMT""}]","2015-06-24"
"astro-ph/9801124","Chris Churchill","Christopher W. Churchill (Penn State University), and Vincent Le Brun
  (Laboratoire d' Astronomie Spatiale du CNRS)","High Metallicity Mg II Absorbers in the z < 1 Lyman alpha Forest of PKS
  0454+039: Giant LSB Galaxies?","Accepted The Astrophysical Journal; 25 pages; 6 encapsulated figures","Astrophys.J. 499 (1998) 677","10.1086/305681",,"astro-ph",,"  We report the discovery of two iron-group enhanced high-metallicity Mg II
absorbers in a search through 28 Lyman Alpha forest clouds along the PKS
0454+039 sight line. Based upon our survey and the measured redshift number
densities of W_r(MgII) <= 0.3 A absorbers and Lyman Alpha absorbers at z ~ 1,
we suggest that roughly 5% of Lyman Alpha absorbers at z < 1 will exhibit
""weak"" Mg II absorption to a 5-sigma W_r(2796) detection limit of 0.02 A. The
two discovered absorbers, at redshifts z = 0.6248 and z = 0.9315, have W_r(Lya)
= 0.33 and 0.15 A, respectively. Based upon photoionization modeling, the H I
column densities are inferred to be in the range 15.8 <= log N(HI) <= 16.8
cm^-2. For the z = 0.6428 absorber, if the abundance pattern is solar, then the
cloud has [Fe/H] > -1; if its gas-phase abundance follows that of depleted
clouds in our Galaxy, then [Fe/H] > 0 is inferred. For the z = 0.9315 absorber,
the metallicity is [Fe/H] > 0, whether the abundance pattern is solar or
suffers depletion. Imaging and spectroscopic studies of the PKS 0454+039 field
reveal no candidate luminous objects at these redshifts. We discuss the
possibility that these Mg II absorbers may arise in the class of ""giant"" low
surface brightness galaxies, which have [Fe/H] >= -1, and even [Fe/H] >= 0, in
their extended disks. We tentatively suggest that a substantial fraction of
these ""weak"" Mg II absorbers may select low surface brightness galaxies out to
z ~ 1.
","[{""version"":""v1"",""created"":""Wed, 14 Jan 1998 02:38:30 GMT""}]","2009-10-30"
