"adap-org/9802003","Kunihiko Kaneko","Kunihiko Kaneko","Diversity, Stability, Recursivity, and Rule Generation in Biological
  System: Intra-inter Dynamics Approach","19 pages, Int.J. Mod. Phes. B (in press)",,"10.1142/S0217979298000223",,"adap-org nlin.AO q-bio",,"  Basic problems for the construction of a scenario for the Life are discussed.
To study the problems in terms of dynamical systems theory, a scheme of
intra-inter dynamics is presented. It consists of internal dynamics of a unit,
interaction among the units, and the dynamics to change the dynamics itself,
for example by replication (and death) of units according to their internal
states. Applying the dynamics to cell differentiation, isologous
diversification theory is proposed. According to it, orbital instability leads
to diversified cell behaviors first. At the next stage, several cell types are
formed, first triggered by clustering of oscillations, and then as attracting
states of internal dynamics stabilized by the cell-to-cell interaction. At the
third stage, the differentiation is determined as a recursive state by cell
division. At the last stage, hierarchical differentiation proceeds, with the
emergence of stochastic rule for the differentiation to sub-groups, where
regulation of the probability for the differentiation provides the diversity
and stability of cell society. Relevance of the theory to cell biology is
discussed.
","[{""version"":""v1"",""created"":""Fri, 20 Feb 1998 01:38:22 GMT""}]","2015-06-24"
"astro-ph/9802256","R. E. Rutledge","R. Rutledge (UCB)","The Astronomer's Telegram: A Web-based Short-Notice Publication System
  for the Professional Astronomical Community","4 pages, LaTeX, requires aaspp4.sty","PASP, v110 (1998) 754","10.1086/316184",,"astro-ph",,"  The Astronomer's Telegram (ATEL; http://fire.berkeley.edu:8080/) is a web
based short-notice (<4000 characters) publication system for reporting and
commenting on new astronomical observations, offering for the first time in
astronomy effectively instantaneous distribution of time-critical information
for the entire professional community. It is designed to take advantage of the
World Wide Web's simple user interface and the ability of computer programs to
provide nearly all the necessary functions. One may post a Telegram, which is
instantly (<1 second) available at the Web-site, and distributed by email
within 24 hours through the Daily Email Digest, which is tailored to the
subject selections of each reader. Optionally, urgent Telegrams may be
distributed through Instant Email Notices. While ATEL will be of particular use
to observers of transient objects (such as gamma-ray bursts, microlenses,
supernovae, novae, or X-ray transients) or in fields which are rapidly evolving
observationally, there are no restrictions on subject matter.
","[{""version"":""v1"",""created"":""Thu, 19 Feb 1998 16:09:52 GMT""}]","2009-10-30"
"astro-ph/9802257","Andrea Possenti","A. Possenti (Univ. Bologna), M. Colpi (Univ. Milano), N. D'Amico (Oss.
  Bologna), L. Burderi (Univ. Palermo)","Population synthesis of millisecond and submillisecond pulsars","16 pages, LaTex + 2 .eps figures To Appear in The Astrophysical
  Journal Letters",,"10.1086/311286",,"astro-ph",,"  Known millisecond pulsars have periods longer than 1.558 ms. Recycled in
binary systems, neutron stars can attain very short spin periods. In this paper
we investigate the expected properties of the millisecond pulsar distribution
by simulating synthetic populations under different assumptions for the neutron
star equation of state and decay of the magnetic field. We find evidence that a
tail in the distribution of millisecond pulsars may exist at periods shorter
than those observed.
","[{""version"":""v1"",""created"":""Thu, 19 Feb 1998 17:05:05 GMT""}]","2009-10-30"
"astro-ph/9802258","Franz Schunck","Franz E. Schunck","A scalar field matter model for dark halos of galaxies and gravitational
  redshift","11 pages, RevTeX, 10 Postscript figures",,,"SUSSEX 98/2","astro-ph gr-qc",,"  We analyze the spherically symmetric Einstein field equation with a massless
complex scalar field. We can use the Newtonian solutions to fit the rotation
curve data of spiral and dwarf galaxies. From the general relativistic
solutions, we can derive high gravitational redshift values.
","[{""version"":""v1"",""created"":""Thu, 19 Feb 1998 17:58:27 GMT""}]","2007-05-23"
"astro-ph/9802259","Yong Zhong Qian","Yong-Zhong Qian (Caltech)","Some nuclear physics aspects of core-collapse supernovae","7 pages including 1 Postscript figure, use iopconf.sty, Invited talk
  given at the Second Oak Ridge Symposium on Atomic and Nuclear Astrophysics,
  Oak Ridge, Tennessee (December 2-6, 1997)",,,,"astro-ph nucl-th",,"  Here I review some nuclear physics aspects of core-collapse supernovae
concerning neutrinos. Studies of neutrino emission and interactions in
supernovae are crucial to our understanding of the explosion mechanism, the
heavy element nucleosynthesis, and pulsar proper motions. I discuss the effects
of reduced neutrino opacities in dense nuclear matter on supernova neutrino
emission and their implications for the delayed supernova explosion mechanism
and the synthesis of neutron-rich heavy elements. I also discuss the effects of
parity violation in weak interactions on supernova neutrino emission and their
implications for pulsar proper motions.
","[{""version"":""v1"",""created"":""Thu, 19 Feb 1998 19:08:17 GMT""}]","2007-05-23"
"astro-ph/9802260","David H. Hughes","David H. Hughes and James S. Dunlop (IfA, Edinburgh University)","Continuum Observations of the High-Redshift Universe at Sub-millimetre
  Wavelengths","to appear in ""Highly Redshifted Radio Lines"" symposium, 9-11 Oct'97
  at NRAO in Green Bank, eds. C.Carilli et al., PASP Conference Series. 15
  pages, 5 postscript (.eps) figures, LaTEX, uses PASP conference style file
  (paspconf.sty - included)",,,,"astro-ph",,"  New bolometer arrays operating on the world's largest sub-mm and mm
telescopes offer a unique view of the high-redshift universe with unprecedented
sensitivity. Recent sub-millimetre continuum studies show that the host
galaxies of many luminous high-redshift AGN (radio galaxies and radio-quiet
quasars) radiate strongly at rest-frame far-infrared wavelengths and thus
contain substantial quantities of dust. In the majority of these high-redshift
AGN-hosts, the inferred star formation is proceeding at a rate comparable to
that found in local, interacting ultra-luminous FIR galaxies. This level of
activity is an order of magnitude greater than the more modest star-formation
rates apparently displayed by the recently-discovered Lyman-limit galaxies at z
~ 3, which have been argued to represent the era of spheroid formation
(although the degree to which the effects of reddening by dust grains may have
biased the interpretation of these optical/UV studies of high-z galaxies has
yet to be properly determined). However, it is too early to say whether such
bright FIR emission is a feature of all massive galaxies at z > 3, or whether
it is in fact confined to the hosts of the most luminous AGN.
  In this paper we review the current status of cosmological observations at
sub-mm and mm wavelengths, highlighting our own recent SCUBA observations of
high-redshift radio galaxies. We also explain how observations over the next
few years should allow the true level of star-formation activity in the high-z
universe to be properly quantified, and we provide example predictions for the
first deep sub-millimetre survey (of the Hubble Deep Field), which we and our
colleagues are currently undertaking with SCUBA at the JCMT.
","[{""version"":""v1"",""created"":""Thu, 19 Feb 1998 19:27:42 GMT""}]","2007-05-23"
"astro-ph/9802261","Xavier Hernandez Doring","X. Hernandez and Gerard Gilmore","Dynamical friction in dwarf galaxies","8 pages, 1 figure, Accepted in MNRAS",,"10.1046/j.1365-8711.1998.01511.x","IOA-02-98","astro-ph",,"  We present a simplified analytic approach to the problem of the spiraling of
a massive body orbiting within the dark halo of a dwarf galaxy. This dark halo
is treated as the core region of a King distribution of dark matter particles,
in consistency with the observational result of dwarf galaxies having solid
body rotation curves. Thus we derive a simple formula which provides a reliable
and general first order solution to the problem, totally analogous to the one
corresponding to the dynamical friction problem in an isothermal halo. This
analytic approach allows a clear handling and a transparent understanding of
the physics and the scaling of the problem. A comparison with the isothermal
case shows that in the core regions of a King sphere, dynamical friction
proceeds at a different rate, and is sensitive to the total core radius. Thus,
in principle, observable consequences may result. In order to illustrate the
possible effects, we apply this formula to the spiraling of globular cluster
orbits in dwarf galaxies, and show how present day globular cluster systems
could in principle be used to derive better limits on the structure of dark
halos around dwarf galaxies, when the observational situation improves. As a
second application, we study the way a massive black hole population forming a
fraction of these dark halos would gradually concentrate towards the centre,
with the consequent deformation of an originally solid body rotation curve.
This effect allows us to set limits on the fraction/mass of any massive black
hole minority component of the dark halos of dwarf galaxies. In essence, we
take advantage of the way the global matter distribution fixes the local
distribution function for the dark matter particles, which in turn determines
the dynamical friction problem.
","[{""version"":""v1"",""created"":""Thu, 19 Feb 1998 20:48:51 GMT""}]","2009-10-30"
"astro-ph/9802262","Tarun Souradeep","Tarun Souradeep, J. Richard Bond, Lloyd Knox, George Efstathiou and
  Michael S. Turner","Prospects for measuring Inflation parameters with the CMB","3 pages, 2 figures, LaTeX (sprocl.sty), To appear in the Proceedings
  of COSMO-97, Ambleside, England, September 1997, (Ed. L. Roszkowski,World
  Scientific)",,"10.1142/9789814447263_0050","CITA-98-07","astro-ph",,"  We present the status of our study into the feasibility of estimating the
parameters of inflation from planned satellite observations of the anisotropy
of the cosmic microwave background (CMB).We describe a perturbative procedure
for studying inflation models with soft departures from scale free spectra and
find that in this case the parameters of inflation are likely to be well
determined. We also demonstrate that radical departures from scale free initial
perturbations with broad features in $k$-space can be be measured by Planck.
However, allowing for very fine features in $k$-space can very strongly
compromise the ability to measure cosmological parameters.
","[{""version"":""v1"",""created"":""Thu, 19 Feb 1998 22:41:28 GMT""}]","2016-10-26"
"astro-ph/9802263","James R. Graham","James R. Graham, Lynne A. Hillenbrand (UCB), and Anthony A. Misch
  (Lick Observatory)","VIRIS: A Visual-Infrared Imaging System for the Lick Observatory 1-M
  Telescope","11 pages LaTex, 3 Postscript figure, Pub. Astr. Soc. Pac. 1998, in
  press",,"10.1086/316182",,"astro-ph",,"  We describe a system in use at the Lick Observatory 1-m Nickel telescope for
near-simultaneous imaging at optical and near-infrared wavelengths. The
combined availability of a CCD and a NICMOS-3 camera makes the system
well-suited for photometric monitoring from 0.5-2.2 microns of a variety of
astrophysical objects. Our science program thus far has concentrated on
studying variability trends in young stellar objects.
","[{""version"":""v1"",""created"":""Fri, 20 Feb 1998 02:32:09 GMT""}]","2009-10-30"
"astro-ph/9802264","J. R. Herrnstein","J. R. Herrnstein, L. J. Greenhill, J. M. Moran, P. J. Diamond, M.
  Inoue, N. Nakai, and M. Miyoshi","VLBA Continuum Observations of NGC 4258: Constraints on an
  Advection-Dominated Accretion Flow","11 pages, 1 figure, to be published in ApJ Letters",,"10.1086/311284",,"astro-ph",,"  We report a 3 sigma upper limit of 220 microJanskys on any 22-GHz continuum
emission coincident with the central engine in NGC 4258. If NGC 4258 is powered
by an advection-dominated accretion flow, this radio upper limit implies that
the inner advection-dominated flow cannot extend significantly beyond about 100
Schwarzschild radii.
","[{""version"":""v1"",""created"":""Fri, 20 Feb 1998 03:21:31 GMT""}]","2009-10-30"
"astro-ph/9802265","Dar Arnon","Daniele Fargion and Arnon Dar","Tidal Effects of Passing Planets and Mass Extinctions",,,,,"astro-ph",,"  Recent observations suggest that many planetary-mass objects may be present
in the outer solar system between the Kuiper belt and the Oort cloud.
Gravitational perturbations may occasionally bring them into the inner solar
system. Their passage near Earth could have generated gigantic tidal waves,
large volcanic eruptions, sea regressions, large meteoritic impacts and drastic
changes in global climate. They could have caused the major biological mass
extinctions in the past 600 My as documented in the geological records.
","[{""version"":""v1"",""created"":""Fri, 20 Feb 1998 09:08:17 GMT""}]","2007-05-23"
