"adap-org/9805002","Barbara Drossel","Barbara Drossel","Extinction events and species lifetimes in a simple ecological model","4 pages RevTex, including 3 postscript figures","Phys. Rev. Lett.81, 5011 (1998)","10.1103/PhysRevLett.81.5011",,"adap-org cond-mat.stat-mech nlin.AO q-bio",,"  A model for large-scale evolution recently introduced by Amaral and Meyer is
studied analytically and numerically. Species are located at different trophic
levels and become extinct if their prey becomes extinct. It is proved that this
model is self-organized critical in the thermodynamic limit, with an exponent 2
characterizing the size distribution of extinction events. The lifetime
distribution of species, cutoffs due to finite-size effects, and other
quantities are evaluated. The relevance of this model to biological evolution
is critically assessed.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 08:36:48 GMT""}]","2009-10-30"
"astro-ph/9805225","Nils Andersson","Nils Andersson, Kostas Kokkotas and Bernard F. Schutz","Gravitational radiation limit on the spin of young neutron stars","1 ps figure","Astrophys.J. 510 (1999) 846","10.1086/306625",,"astro-ph gr-qc",,"  A newly discovered instability in rotating neutron stars, driven by
gravitational radiation reaction acting on the stars' $r$-modes, is shown here
to set an upper limit on the spin rate of young neutron stars. We calculate the
timescales for growth of linear perturbations due to gravitational radiation
reaction, and for dissipation by shear and bulk viscosity, working to second
order in a slow-rotation expansion within a Newtonian polytropic stellar model.
The results are very temperature-sensitive: in hot neutron stars ($T>10^9$ K),
the lowest-order $r$-modes are unstable, while in colder stars they are damped
by viscosity. These calculations have a number of interesting astrophysical
implications. First, the $r$-mode instability will spin down a newly born
neutron star to a period close to the initial period inferred for the Crab
pulsar, probably between 10 and 20 ms. Second, as an initially rapidly rotating
star star spins down, an energy equivalent to roughly 1% of a solar mass is
radiated as gravitational waves, which makes the process an interesting source
for detectable gravitational waves. Third, the $r$-mode instability rules out
the scenario whereby millisecond pulsars are formed by accretion-induced
collapse of a white dwarf: the new star would be hot enough to spin down to
much slower rates.
","[{""version"":""v1"",""created"":""Sun, 17 May 1998 17:57:40 GMT""}]","2009-10-30"
"astro-ph/9805226","Pierre North","S.M. Andrievsky (1), I.V. Chernyshova (1), V.G. Klochkova (2), V.E.
  Panchuk (2) ((1) Odessa State University, (2) SAO, Russia)","Accurate LTE abundances for some lambda Boo stars","3 pages, no figure, to appear in: Proc. of the 26th workshop of the
  European Working Group on CP stars, eds. P. North, A. Schnell and J.
  Ziznovsky, Contrib. Astr. Obs. Skalnate Pleso Vol. 27, No 3",,,,"astro-ph",,"  High-resolution and high S/N CCD spectra were analyzed to determine accurate
LTE abundances in four lambda Boo stars: pi^1 Ori, 29 Cyg, HR 8203 and 15 And.
In general, 14 chemical elements were investigated. The main results are the
following: all stars have a strong deficiency of the majority of investigated
metals. Oxygen exhibits a moderate deficiency. The carbon abundance is close to
the solar one.
  The results obtained support an accretion/diffusion model, which is currently
adopted for the explanation of the lambda Boo phenomenon.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 07:32:18 GMT""}]","2007-05-23"
"astro-ph/9805227","Pierre North","D.A. Bohlender (1), J.-F. Gonzalez (2,3), J.M. Matthews (4) ((1)
  Victoria, Canada, (2) ENS de Lyon, France, (3) ESO, Chile, (4) Univ. of
  British Columbia, Canada)","The incidence of nonradial pulsation in the lambda Bootis stars","3 pages, 1 figure, to appear in: Proc. of the 26th workshop of the
  European Working Group on CP stars, eds. P. North, A. Schnell and J.
  Ziznovsky, Contrib. Astr. Obs. Skalnate Pleso Vol. 27, No 3",,,,"astro-ph",,"  We have completed a high-resolution, high-signal-to-noise, spectroscopic
survey of the northern members of the peculiar lambda Boo stars in order to
investigate the frequency of the incidence of nonradial pulsation (NRP) in
these metal-deficient stars. Of 18 objects observed, 9 show conclusive evidence
of NRP, which suggests that pulsation instability is a common phenomenon in the
lambda Boo class.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 07:45:15 GMT""}]","2007-05-23"
"astro-ph/9805228","Pierre North","V.G. Elkin (SAO, Russia)","A search for magnetic stars in late stages of stellar evolution","3 pages, no figure, to appear in: Proc. of the 26th workshop of the
  European Working Group on CP stars, eds. P. North, A. Schnell and J.
  Ziznovsky, Contrib. Astr. Obs. Skalnate Pleso Vol. 27, No 3",,,,"astro-ph",,"  Two types of stars are known to have strong, large scale magnetic fields: the
main sequence Ap stars and the magnetic white dwarfs. This suggest that the
former might be the progenitors of the latter. In order to test this idea, I
have carried out a search for large scale magnetic fields in stars with
evolutionary states which are intermediate, i.e. in Horizontal Branch stars and
in hot subdwarfs.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 09:28:36 GMT""}]","2007-05-23"
"astro-ph/9805229","Pierre North","E. Gerth (1), Yu.V. Glagolevskij (2) ((1) Astrophysikalisches Institut
  Potsdam, (2) SAO, Russia)","Integral Representation of the Stellar Surface Structure of the Magnetic
  Field","3 pages, no figure, to appear in: Proc. of the 26th workshop of the
  European Working Group on CP stars, eds. P. North, A. Schnell and J.
  Ziznovsky, Contrib. Astr. Obs. Skalnate Pleso Vol. 27, No 3",,,,"astro-ph",,"  The surface structure of the magnetic field in stars is one part of the
information about the surface inhomogeneities like brightness, movement or
chemical composition, which is contained in the integral radiation flux but
distorted beyond recognition by losses of information on the topographical
arrangement over the surface because of convolution processes and partial
invisibility.
  Therefore, the complicated processes, beginning with the representation of
the map of the surface field distribution and ending with the resulting
phase-curves of the integral magnetic field, are simulated by a computer
programme. We use this programme as a tool for the analysis of the magnetic
field structure out of the really observed data in phase diagrams by variation
of the parameters and by fitting the calculated curves to the observed ones.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 09:42:51 GMT""}]","2007-05-23"
"astro-ph/9805230","Pierre North","Yu.V. Glagolevskij (1), E. Gerth (2), G. Hildebrandt (2), H. Lehmann
  (3), G. Scholz (2) ((1) SAO, Russia, (2) Astrophysikalisches Institut
  Potsdam, (3) Thueringer Landessternwarte Tautenburg)","Magnetic field and element surface distribution of the CP2 star alpha^2
  CVn","4 pages, 1 figure, to appear in: Proc. of the 26th workshop of the
  European Working Group on CP stars, eds. P. North, A. Schnell and J.
  Ziznovsky, Contrib. Astr. Obs. Skalnate Pleso Vol. 27, No 3",,,,"astro-ph",,"  We investigate the radial velocity and the magnetic field of the CP star
alpha^2 CVn. The observed variation of the magnetic field is compared with that
of our model. We search for a relation between the magnetic field and the
distribution of the chemical elements. The period in the radial velocities is
constant over a time interval of about 100 years.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 10:19:09 GMT""}]","2007-05-23"
"astro-ph/9805231","Ute Lisenfeld","U. Lisenfeld, P. Alexander, G.G. Pooley, T. Wilding","Cosmic ray propagation and star formation history of NGC 1961","9 pages, latex with MN-macros, 20 figures, accepted for publication
  in MNRAS",,"10.1046/j.1365-8711.1998.01838.x",,"astro-ph",,"  We present new radio continuum data at 4 frequencies on the supermassive,
peculiar galaxy NGC 1961. These observations allow us to separate the thermal
and the nonthermal radio emission and to determine the nonthermal spectral
index distribution. This spectral index distribution in the galactic disk is
unusual: at the maxima of the radio emission the synchrotron spectrum is very
steep, indicating aged cosmic ray electrons. Away from the maxima the spectrum
is much flatter. The steep spectrum of the synchrotron emission at the maxima
indicates that a strong decline of the star formation rate has taken place at
these sites. The extended radio emission is a sign of recent cosmic ray
acceleration, probably by recent star formation. We suggest that a violent
event in the past, most likely a merger or a collision with an intergalactic
gas cloud, has caused the various unusual features of the galaxy.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 13:02:53 GMT""}]","2009-10-30"
"astro-ph/9805232","Pierre North","Yu.V. Glagolevskij (1), E. Gerth (2), G. Hildebrandt (2), G. Scholz
  (2) ((1) SAO, Russia, (2) Astrophysikalisches Institut Potsdam)","Magnetic field distribution and element concentration on the CP2 star CU
  Virginis","3 pages, 1 figure, to appear in: Proc. of the 26th workshop of the
  European Working Group on CP stars, eds. P. North, A. Schnell and J.
  Ziznovsky, Contrib. Astr. Obs. Skalnate Pleso Vol. 27, No 3",,,,"astro-ph",,"  We search for a relation between the published distributions of different
elements and the calculated magnetic field structure, following from a
dipole-quadrupole configuration, of the CP2 star CU Vir. The highest
concentration of individual chemical elements on the stellar surface coincides
obviously with the regions of the highest values of the magnetic field
strength.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 11:12:55 GMT""}]","2007-05-23"
"astro-ph/9805233","Pierre North","S. Hubrig (1), W. Berghoefer (2), G. Mathys (3) ((1) University of
  Potsdam, (2) Space Sciences Laboratory, UCLA, (3) ESO, Chile)","HgMn Stars as apparent X-ray emitters","3 pages, no figure, to appear in: Proc. of the 26th workshop of the
  European Working Group on CP stars, eds. P. North, A. Schnell and J.
  Ziznovsky, Contrib. Astr. Obs. Skalnate Pleso Vol. 27, No 3",,,,"astro-ph",,"  In the ROSAT all-sky survey 11 HgMn stars were detected as soft X-ray
emitters (Berghoefer, Schmitt & Cassinelli 1996). Prior to ROSAT, X-ray
observations with the Einstein Observatory had suggested that stars in the
spectral range B5-A7 are devoid of X-ray emission. Since there is no X-ray
emitting mechanism available for these stars (also not for HgMn stars), the
usual argument in the case of an X-ray detected star of this spectral type is
the existence of an unseen low-mass companion which is responsible for the
X-ray emission. The purpose of the present work is to use all available data
for our sample of X-ray detected HgMn stars and conclude on the nature of
possible companions.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 12:08:03 GMT""}]","2007-05-23"
"astro-ph/9805234","Pierre North","S. Ilijic, M. Rosandic, D. Dominis, M. Planinic, K. Pavlovski
  (University of Zagreb)","An abundance analysis for Vega: Is it a lambda Boo star?","3 pages, 1 figure, to appear in: Proc. of the 26th workshop of the
  European Working Group on CP stars, eds. P. North, A. Schnell and J.
  Ziznovsky, Contrib. Astr. Obs. Skalnate Pleso Vol. 27, No 3",,,,"astro-ph",,"  Since Baschek & Slettebak (1988) drew attention to the similarity between the
abundance pattern of lambda Boo stars and that of Vega, there has been a long
debate whether Vega should be listed among the chemically peculiar stars of
lambda Boo type. We performed an elemental abundance analysis using a high
dispersion spectrum in the optical region, and confirmed its mild metal
underabundance. In our discussion we reinforce the suggestion that Vega is a
mild lambda Boo star.
","[{""version"":""v1"",""created"":""Mon, 18 May 1998 12:32:03 GMT""}]","2007-05-23"
