"adap-org/9807004","Makoto Taiji","Makoto Taiji and Takashi Ikegami","Dynamics of Internal Models in Game Players","19 pages, 6 figures",,"10.1016/S0167-2789(99)00115-3","ISM-98-01","adap-org nlin.AO",,"  A new approach for the study of social games and communications is proposed.
Games are simulated between cognitive players who build the opponent's internal
model and decide their next strategy from predictions based on the model. In
this paper, internal models are constructed by the recurrent neural network
(RNN), and the iterated prisoner's dilemma game is performed. The RNN allows us
to express the internal model in a geometrical shape. The complicated
transients of actions are observed before the stable mutually defecting
equilibrium is reached. During the transients, the model shape also becomes
complicated and often experiences chaotic changes. These new chaotic dynamics
of internal models reflect the dynamical and high-dimensional rugged landscape
of the internal model space.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 08:12:03 GMT""}]","2009-10-30"
"astro-ph/9807229","Michael L. Sitko","Michael L. Sitko, Carol A. Grady, David K. Lynch, Ray W. Russell and
  Martha S. Hanner","Cometary Dust in the Debris Disks of HD 31648 and HD 163296: Two
  ``Baby'' beta Pics","17 pages, AASTeX, 5 eps figures, accepted for publication in Ap.J",,"10.1086/306586",,"astro-ph",,"  The debris disks surrounding the pre-main sequence stars HD 31648 and HD
163296 were observed spectroscopically between 3 and 14 microns. Both possess a
silicate emission feature at 10 microns which resembles that of the star beta
Pictoris and those observed in solar system comets. The structure of the band
is consistent with a mixture of olivine and pyroxene material, plus an
underlying continuum of unspecified origin. The similarity in both size and
structure of the silicate band suggests that the material in these systems had
a processing history similar to that in our own solar system prior to the time
that the grains were incorporated into comets.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 16:32:15 GMT""}]","2009-10-30"
"astro-ph/9807230","M. S. Brotherton","M. S. Brotherton, Wil van Breugel, R. J. Smith, B. J. Boyle, T.
  Shanks, S. M. Croom, Lance Miller, Robert H. Becker","Discovery of Radio-loud Broad Absorption Line Quasars Using Ultraviolet
  Excess and Deep Radio Selection","9 pages, 1 figure, accepted by ApJ Letters. Table 1 has been revised
  with a 0.24 mag zero point correction to the BAL QSO U-Bj colors",,"10.1086/311599",,"astro-ph",,"  We report the discovery of five broad-absorption-line (BAL) QSOs in a
complete sample of 111 ultraviolet excess (UVX) QSO candidates also detected in
the NRAO VLA Sky Survey. All five BAL QSOs, which include two high-ionization
BAL QSOs and three low-ionization BAL QSOs, are formally radio-loud. Of QSOs
with z > 0.4, 3+/-2% show low-ionization BALs, and of QSOs with z > 1.5, all
radio-loud, 9+/-5% show BALs; these frequencies are consistent with those of
optical surveys. While the first reported radio-loud BAL QSO, FIRST
J155633.8+351758, is likely to be heavily dust reddened and thus less
radio-loud than indicated by its observed radio-to-optical luminosity, these
QSOs are UVX selected and probably free of significant dust along the line of
sight. We point out unusual features in two of the BAL QSOs and discuss the
significance finding these heretofore rare objects.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 00:17:45 GMT""},{""version"":""v2"",""created"":""Fri, 24 Jul 1998 18:50:47 GMT""}]","2009-10-30"
"astro-ph/9807231","Markus Kissler-Patig","Markus Kissler-Patig and Karl Gebhardt (UCO/Lick Observatory, USA)","The Spin of M87 as measured from the Rotation of its Globular Clusters","20 pages (AAS two column style, including 1 table and 7 figures)
  accepted in the AJ (November issue), also available at
  http://www.ucolick.org/~mkissler/",,"10.1086/300609","UCO/Lick preprint #118","astro-ph",,"  We revisit the kinematical data for 204 globular clusters in the halo of M87.
Beyond 3 r_eff along the major axis of the galaxy light, these globular
clusters exhibit substantial rotation (~ 300 +/- 70 km/s) that translates into
an equally substantial spin (lambda ~ 0.18). The present appearance of M87 is
most likely the product of a single major merger, since this event is best able
to account for so sizable a spin. A rotation this large makes improbable any
significant accretion of material after this merger, since that would have
diluted the rotation signature. We see weak evidence for a difference between
the kinematics of the metal-poor and metal-rich population, in the sense that
the metal-poor globular clusters appear to dominate the rotation. If, as we
suspect, the last major merger event of M87 was mainly dissipationless and did
not trigger the formation of a large number of globular clusters, the kinematic
difference between the two could reflect their orbital properties in the
progenitor galaxies; these differences would be compatible with these
progenitors having formed in dissipational mergers. However, to put strong
kinematic constraints on the origin of the globular clusters themselves is
difficult, given the complex history of the galaxy and its last dominant merger
event.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 19:08:59 GMT""}]","2015-06-24"
"astro-ph/9807232","Taft Armandroff","Taft E. Armandroff, James E. Davies, George H. Jacoby","A Survey for Low-Surface-Brightness Galaxies Around M31. I. The Newly
  Discovered Dwarf Andromeda V","Accepted for publication in The Astronomical Journal, November 1998
  issue; 4 embedded PostScript figures, 4 JPEG figures; see
  http://aloe.tuc.noao.edu/jacoby/dwarfs.html for a complete full-resolution
  PostScript version","Astron.J. 116 (1998) 2287","10.1086/300619","NOAO Preprint No. 810","astro-ph",,"  We present images and a color-magnitude diagram for And V, a new dwarf
spheroidal companion to M31 that was found using a digital filtering technique
applied to 1550 square degrees of the second Palomar Sky Survey. And V resolves
into stars easily in follow-up 4-m V- and I-band images, from which we deduce a
distance of 810 +/- 45 kpc using the tip of the red giant branch method. Within
the uncertainties, this distance is identical to the Population II distances
for M31 and, combined with a projected separation of 112 kpc, provides strong
support for a physical association between the two galaxies. There is no
emission from And V detected in H alpha, 1.4 GHz radio continuum, or IRAS
bandpasses, and there is no young population seen in the color-magnitude
diagram that might suggest that And V is an irregular. Thus, the classification
as a new dwarf spheroidal member of the Local Group seems secure. With an
extinction-corrected central surface brightness of 25.2 V mag per square
arcsec, a mean metal abundance of [Fe/H] approximately -1.5, and no evidence
for upper AGB stars, And V resembles And I & III.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 20:08:51 GMT""}]","2009-10-30"
"astro-ph/9807233","Denise A. Hurley-Keller","Mario Mateo and Denise Hurley-Keller (University of Michigan), James
  Nemec (International Statistics and Research Corp.)","Dwarf Cepheids in the Carina Dwarf Spheroidal Galaxy","20 pages of text, 7 figures","1998, AJ, 115, 1856","10.1086/300330",,"astro-ph",,"  We have discovered 20 dwarf Cepheids (DC) in the Carina dSph galaxy from the
analysis of individual CCD images obtained for a deep photometric study of the
system. These short-period pulsating variable stars are by far the most distant
(~100 kpc) and faintest (V ~ 23.0) DCs known. The Carina DCs obey a
well-defined period-luminosity relation, allowing us to readily distinguish
between overtone and fundamental pulsators in nearly every case. Unlike RR Lyr
stars, the pulsation mode turns out to be uncorrelated with light-curve shape,
nor do the overtone pulsators tend towards shorter periods compared to the
fundamental pulsators. Using the period-luminosity (PL) relations from Nemec et
al. (1994 AJ, 108, 222) and McNamara (1995, AJ, 109, 1751), we derive (m-M)_0 =
20.06 +/- 0.12, for E(B-V) = 0.025 and [Fe/H] = -2.0, in good agreement with
recent, independent estimates of the distance/reddening of Carina. The error
reflects the uncertainties in the DC distance scale, and in the metallicity and
reddening of Carina. The frequency of DCs among upper main sequence stars in
Carina is approximately 3%. The ratio of dwarf Cepheids to RR Lyr stars in
Carina is 0.13 +/- 0.10, though this result is highly sensitive to the
star-formation history of Carina and the evolution of the Horizontal Branch. We
discuss how DCs may be useful to search effectively for substructure in the
Galactic halo out to Galactocentric distances of ~100 kpc.
","[{""version"":""v1"",""created"":""Wed, 22 Jul 1998 22:17:31 GMT""}]","2009-10-30"
"astro-ph/9807234","Nestor M. Sanchez D.","Nestor Sanchez and Antonio Parravano","Hierarchical Model for the Evolution of Cloud Complexes","Latex, 29 pages, 13 figures, accepted for publication in ApJ","Astrophys.J. 510 (1999) 795-805","10.1086/306592",,"astro-ph",,"  The structure of cloud complexes appears to be well described by a ""tree
structure"" representation when the image is partitioned into ""clouds"". In this
representation, the parent-child relationships are assigned according to
containment. Based on this picture, a hierarchical model for the evolution of
Cloud Complexes, including star formation, is constructed, that follows the
mass evolution of each sub-structure by computing its mass exchange
(evaporation or condensation) with its parent and children, which depends on
the radiation density at the interphase. For the set of parameters used as a
reference model, the system produces IMFs with a maximum at too high mass (~2
M_sun) and the characteristic times for evolution seem too long. We show that
these properties can be improved by adjusting model parameters. However, the
emphasis here is to illustrate some general properties of this nonlinear model
for the star formation process. Notwithstanding the simplifications involved,
the model reveals an essential feature that will likely remain if additional
physical processes are included. That is: the detailed behavior of the system
is very sensitive to variations on the initial and external conditions,
suggesting that a ""universal"" IMF is very unlikely. When an ensemble of IMFs
corresponding to a variety of initial or external conditions is examined, the
slope of the IMF at high masses shows variations comparable to the range
derived from observational data. (Abridged)
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 00:57:10 GMT""}]","2007-05-23"
"astro-ph/9807235","Robert Rutledge","Robert E. Rutledge (UCB,Caltech), Walter H. G. Lewin (MIT), Michiel
  van der Klis (UCB, Univ. of Amsterdam) Jan van Paradijs (Univ. of Alabama,
  Univ. of Amsterdam), Tadayasu Dotani (ISAS), Brian Vaughan (Caltech), Tomaso
  Belloni (Univ. of Amsterdam), Tim Oosterbroek (ESTEC), and Chryssa
  Kouveliotou (USRA)","Quasi-Periodic Oscillations in Black Hole Candidates as an Indicator of
  Transition Between Low and High States","LaTeX, 39 pages, includes 14 figures, uses aasms4.sty","Astrophys.J.Suppl. 124 (1999) 265","10.1086/313251",,"astro-ph",,"  By comparing positions on a spectral color-color diagram from 10 black hole
candidates (BHCs) observed with Ginga (1354-64, 1826-24, 1630-47, LMC X-1, LMC
X-3, GS 2000+25, GS 2023+33, GS 1124-68, Cyg X-1, and GX 339-4) with the
observed broad-band noise (0.001-64 Hz; BBN) and quasi-periodic oscillation
(QPO) variability, we find that the so-called ``Very High State'' is spectrally
intermediate to the Soft/High-State and Hard/Low-State. We find a transition
point in spectral hardness where the dependence of the BHC QPO centroid
frequency (of GS 1124-68 and GX 339-4) on spectral hardness switches from a
correlation to an anti-correlation; where the BBN variability switches from
High-State to Low-State; and where the spectral hardness of the QPO relative to
that of the BBN variability is a maximum. This coincidence of changing behavior
in both the QPO and the broad-band variability leads us to hypothesize that the
QPO is due to interaction between the physical components which dominate the
behaviors of BHCs when they occupy the Hard/Low and Soft/High States. We
conclude that these QPO should be observed from BHCs during transition between
these two states. Comparison with QPO and BBN behavior observed during the 1996
transition of Cyg X-1 supports this hypothesis.
  We also report 1-3 Hz QPO observed in GS 2000+25 and Cyg X-1 in the Hard/Low
State, and we compare these to the QPO observed in GS 1124-68 and GX 339-4.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 01:17:12 GMT""}]","2016-08-30"
"astro-ph/9807236","Mark Walker","Mark A. Walker (University of Sydney)","Collisional baryonic dark matter halos","Revised version; 6 pages, 2 figures, to appear in MNRAS",,"10.1046/j.1365-8711.1999.02814.x",,"astro-ph",,"  If dark halos are composed of dense gas clouds, as has recently been
inferred, then collisions between clouds lead to galaxy evolution. Collisions
introduce a core in an initially singular dark matter distribution, and can
thus help to reconcile scale-free initial conditions -- such as are found in
simulations -- with observed halos, which have cores. A pseudo-Tully-Fisher
relation, between halo circular speed and visible mass (not luminosity),
emerges naturally from the model: visible mass proportional to V^3.5.
  Published data conform astonishingly well to this theoretical prediction. For
our sample of galaxies, the mass-velocity relationship has much less scatter
than the Tully-Fisher relation, and holds as well for dwarf galaxies (where
diffuse gas makes a sizeable contribution to the total visible mass) as it does
for giants. It seems very likely that this visible-mass/velocity relationship
is the underlying physical basis for the Tully-Fisher relation, and this
discovery in turn suggests that the dark matter is both baryonic and
collisional.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 05:58:48 GMT""},{""version"":""v2"",""created"":""Mon, 29 Mar 1999 04:03:10 GMT""}]","2009-10-30"
"astro-ph/9807237","Makoto Makita","Makoto Makita, Takuya Matsuda (Kobe University)","3D Finite Volume Simulation of Accretion Discs with Spiral Shocks","2 pages, LaTeX with 2 ps figures using crckapb.sty. To appear in the
  Proceedings of Numerical Astrophysics 1998, Tokyo, Japan, 10-13 March, 1998,
  eds. S. M. Miyama, K. Tomisaka and T. Hanawa (Kluwer Academic Publishers)",,"10.1007/978-94-011-4780-4_73",,"astro-ph",,"  We perform 2D and 3D numerical simulations of an accretion disc in a close
binary system using the Simplified Flux vector Splitting (SFS) finite volume
method. In our calculations, gas is assumed to be the ideal one, and we
calculate the cases with gamma=1.01, 1.05, 1.1 and 1.2. The mass ratio of the
mass losing star to the mass accreting star is unity. Our results show that
spiral shocks are formed on the accretion disc in all cases. In 2D calculations
we find that the smaller gamma is, the more tightly the spiral winds. We
observe this trend in 3D calculations as well in somewhat weaker sense.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 08:58:31 GMT""},{""version"":""v2"",""created"":""Fri, 31 Jul 1998 10:55:14 GMT""}]","2016-01-27"
"astro-ph/9807238","Raffaella Morganti","C.N. Tadhunter, R. Morganti, A. Robinson, R. Dickson, M. Villar-Martin
  & R.A.E. Fosbury","The nature of the optical---radio correlations for powerful radio
  galaxies","37 pages, LateX, including 11 figures and 3 tables. To appear in
  MNRAS",,"10.1046/j.1365-8711.1998.01706.x",,"astro-ph",,"  The nature of the optical--radio correlations for powerful radio galaxies is
investigated using spectroscopic observations of a complete sample of southern
2Jy radio sources. In line with previous work, we find that significant
correlations exist between the luminosities of the [OIII]5007, [OII]3727 and
Hbeta emission lines and the radio luminosity. However, our observations are
not easily reconciled with the idea that these correlations are caused by the
increase in the power of the photoionizing quasar as the jet power increases,
with average ISM properties not changing appreciably with redshift or radio
power: not only do we find that the scatter in the L_[OIII] vs. L_radio
correlation is significantly larger than in L_[OII]} vs. L_radio and L_Hbeta
vs. L_radio correlations, but the ionization state deduced from the emission
lines does not increase with radio power as predicted by the simple, constant
ISM, photionization model. We conclude that: (a) there exists a considerable
range in the quasar ionizing luminosity at a given redshift; and (b) that the
mean density of the emission line clouds is larger in the high redshift/high
power radio sources. The latter density enhancement may either be a consequence
of the increased importance of jet-cloud interactions or, alternatively, due to
a higher pressure in the confining hot ISM, in the high redshift objects. Deep
spectra show that many of the sources in our sample are broad line radio
galaxies (BLRG). The fact that the BLRG are observed out the redshift limit of
the survey, overlapping in redshift with the quasars, argues against the idea
that BLRG are simply the low radio power counterparts of high power, high
redshift quasars.
","[{""version"":""v1"",""created"":""Thu, 23 Jul 1998 11:36:01 GMT""}]","2009-10-30"
