"astro-ph/9807264","Peter Lundqvist","Peter Lundqvist (Stockholm Observatory)","Flash ionization of the partially ionized wind of the progenitor of SN
  1987A","LaTeX, 23 pages including 4 figures. To appear in ApJ (Main Journal)",,"10.1086/306654",,"astro-ph",,"  The H II region created by the progenitor of SN 1987A was further heated and
ionized by the supernova flash. Prior to the flash, the temperature of the gas
was 4000 - 5000 K, and helium was neutral, while the post-flash temperature was
only slightly less than 10^5 K, with the gas being ionized to helium-like
ionization stages of C, N and O. We have followed the slow post-flash cooling
and recombination of the gas, as well as its line emission, and find that the
strongest lines are N V 1240 and O VI 1034. Both these lines are good probes
for the density of the gas, and suitable instruments to detect the lines are
STIS on HST and FUSE, respectively. Other lines which may be detectable are N
IV] 1486 and [O III] 5007, though they are expected to be substantially weaker.
The relative strength of the oxygen lines is found to be a good tracer of the
color temperature of the supernova flash. From previous observations, we put
limits on the hydrogen density, n_H, of the H II region. The early N V 1240
flux measured by IUE gives an upper limit which is n_H ~ 180 \eta^{-0.40}
cm^{-3}, where \eta is the filling factor of the gas. The recently reported
emission in [O III] 5007 at 2500 days requires n_H = (160\pm12) \eta^{-0.19}
cm^{-3}, for a supernova burst similar to that in the 500full1 model of Ensman
& Burrows (1992). For the more energetic 500full2 burst the density is n_H =
(215\pm15) \eta^{-0.19} cm^{-3}. These values are much higher than in models of
the X-ray emission from the supernova (n_H ~ 75 cm^{-3}), and it seems
plausible that the observed [O III] emission is produced primarily elsewhere
than in the H II region. We also discuss the type of progenitor consistent with
the H II region. In particular, it seems unlikely that its spectral type was
much earlier than B2 Ia.
","[{""version"":""v1"",""created"":""Sat, 25 Jul 1998 18:06:36 GMT""}]","2009-10-30"
"cond-mat/9807341",,"S. Albeverio, S.M. Fei and Y.P. Wang","An Exactly Solvable Model of Generalized Spin Ladder",,"EuroPhys. Lett. 47 (1999) 364-370","10.1209/epl/i1999-00397-8",,"cond-mat",,"  A detailed study of an $S={1\over2}$ spin ladder model is given. The ladder
consists of plaquettes formed by nearest neighbor rungs with all possible
SU(2)-invariant interactions. For properly chosen coupling constants, the model
is shown to be integrable in the sense that the quantum Yang-Baxter equation
holds and one has an infinite number of conserved quantities. The R-matrix and
L-operator associated with the model Hamiltonian are given in a limiting case.
It is shown that after a simple transformation, the model can be solved via a
Bethe ansatz. The phase diagram of the ground state is exactly derived using
the Bethe ansatz equation.
","[{""version"":""v1"",""created"":""Sat, 25 Jul 1998 16:09:06 GMT""},{""version"":""v2"",""created"":""Wed, 18 Aug 1999 11:07:22 GMT""}]","2009-10-31"
"cond-mat/9807342","Henrik Bruus","Henrik Bruus and Karsten Flensberg","Localized plasmons in point contacts","5 pages (Latex) including 1 postscript figure","Semicond. Sci. Technol. vol 13, A30-A32 (1998)",,,"cond-mat.mes-hall",,"  Using a hydrodynamic model of the electron fluid in a point contact geometry
we show that localized plasmons are likely to exist near the constriction. We
attempt to relate these plasmons with the recent experimental observation of
deviations of the quantum point contact conductance from ideal integer
quantization. As a function of temperature this deviation exhibits an activated
behavior, exp(-T_a/T), with a density dependent activation temperature T_a of
the order of 2 K. We suggest that T_a can be identified with the energy needed
to excite localized plasmons, and we discuss the conductance deviations in
terms of a simple theoretical model involving quasiparticle lifetime broadening
due to coupling to the localized plasmons.
","[{""version"":""v1"",""created"":""Sun, 26 Jul 1998 12:50:04 GMT""}]","2007-05-23"
"hep-ph/9807495","A. Khodjamirian","A. Khodjamirian and R. R\""uckl","Exclusive Nonleptonic Decays of Heavy Mesons in QCD","11 pages, LaTex, 2 figures, epsf; talk presented by A. Khodjamirian
  at the 3rd Workshop ``Continuous Advances in QCD'', Minneapolis, April 1998",,,"WUE-ITP-98-032","hep-ph",,"  We use operator product expansion and QCD light-cone sum rules to estimate
the amplitude of the decay $B \to J/\psi K $ taking into account leading
nonfactorizable contributions. The result is very similar to the estimate
obtained earlier from a four-point QCD sum rule. We discuss applications of
this method to other nonleptonic $B$ decay modes.
","[{""version"":""v1"",""created"":""Sat, 25 Jul 1998 16:25:44 GMT""}]","2007-05-23"
"hep-ph/9807497","Krzysztof Golec-Biernat","K. Golec-Biernat and A. D. Martin","Off-diagonal parton distributions and their evolution","22 pages, Latex, 6 ps figures. Improved presentation after
  discussions with X.Ji and A.Radyushkin","Phys.Rev.D59:014029,1999","10.1103/PhysRevD.59.014029","DTP/98/48","hep-ph",,"  We construct off-diagonal parton distributions defined on the interval 0 < X
< 1 starting from the off-forward distributions defined by Ji. We emphasize the
particular role played by the symmetry relations in the ""ERBL-like"" region. We
find the evolution equations for the off-diagonal distributions which conserve
these symmetries. We present numerical results of the evolution, and verify
that the analytic asymptotic forms of the parton distributions are reproduced.
We also compare the constructed off-diagonal distributions with the non-forward
distributions defined by Radyushkin and comment on the singularity structure of
the basic amplitude written in terms of the off-diagonal distributions.
","[{""version"":""v1"",""created"":""Sun, 26 Jul 1998 13:31:34 GMT""},{""version"":""v2"",""created"":""Wed, 12 Aug 1998 16:53:27 GMT""}]","2008-11-26"
"hep-ph/9807498","Jin-Mo Chung","J.-M. Chung and B. K. Chung","Three-Loop Effective Potential of O(N) $\phi^4$ Theory","RevTex, 22 pages, 9 ps figures plus 4 embeded figures, macro
  dratex.sty included, typos corrected","J.KoreanPhys.Soc.33:643-654,1998",,"KHUTP-9807","hep-ph",,"  The three-loop effective potential of the massless O(N) $\phi^4$ theory is
calculated analytically using techniques of dimensional regularization. We see
a complete agreement between our result and Jackiw's result obtained only up to
two-loop order using a different regularization (cutoff regularization) method,
but the same renormalization conditions. For an easy check of the mutual
cancellation of all the dangerous pole terms in each loop order, we give the
$\epsilon$-expanded loop integrals in full detail.
","[{""version"":""v1"",""created"":""Sun, 26 Jul 1998 11:24:08 GMT""},{""version"":""v2"",""created"":""Fri, 14 Aug 1998 08:36:32 GMT""},{""version"":""v3"",""created"":""Fri, 21 Aug 1998 01:31:29 GMT""},{""version"":""v4"",""created"":""Mon, 23 Nov 1998 16:50:23 GMT""}]","2009-09-25"
"hep-ph/9807499","Gabor Papp","Romuald A. Janik, Maciej A. Nowak, Gabor Papp and Ismail Zahed","Two-Color QCD and Aharonov-Bohm Fluxes","4 pages RevTeX",,,,"hep-ph cond-mat hep-lat",,"  We investigate the effects of several Abelian Aharonov-Bohm fluxes $\phi$ on
the Euclidean Dirac spectrum of light quarks in QCD with two colors. A
quantitative change in the quark return probability is caused by the fluxes,
resulting into a change of the spectral correlations. These changes are
controlled by a universal function of $\sigma_L \phi^2$ where $\sigma_L$ is the
pertinent Ohmic conductance. The quark return probability is sensitive to
Abelian flux-disorder but not to $Z_2$ flux-disorder in the ergodic and
diffusive regime, and may be used as a probe for the nature of the confining
fields in the QCD vacuum.
","[{""version"":""v1"",""created"":""Sun, 26 Jul 1998 14:43:32 GMT""}]","2007-05-23"
"hep-ph/9807500",,"Ho-Meoyng Choi and Chueng-Ryong Ji(NCSU)","Kaon electroweak form factors in the light-front quark model","12 pages, 6figures, modified Sec.III and added an appendix, version
  to appear in Phys. Rev. D","Phys.Rev. D59 (1999) 034001","10.1103/PhysRevD.59.034001",,"hep-ph",,"  We investigate the form factors and decay rates for the semileptonic decays
of the kaon($K_{l3})$ using the light-front quark model. The form factors
$f_{\pm}(q^{2})$ are calculated in $q^{+}=0$ frame and analytically continued
to the time-like region, $q^{2}>0$. Our numerical results for the physical
observables, $f_{-}/f_{+}|_{q^{2}=m^{2}_{l}}=-0.38$, $\lambda_{+}=0.025$(the
slope of $f_{+}$ at $q^{2}=m^{2}_{l}$), $\Gamma(K^{0}_{e3})=(7.30\pm
0.12)\times10^{6}s^{-1}$, and
$\Gamma(K^{0}_{\mu3})=(4.57\pm0.07)\times10^{6}s^{-1}$ are quite comparable
with the experimental data and other theoretical model calculations. The
non-valence contributions from $q^{+}\neq 0$ frame are also estimated.
","[{""version"":""v1"",""created"":""Sun, 26 Jul 1998 15:33:12 GMT""},{""version"":""v2"",""created"":""Fri, 2 Oct 1998 01:21:05 GMT""}]","2009-10-31"
"math/9807142","Kostiuk F. V.","Denis V. Juriev","Infinite dimensional geometry of $M_1=Diff_+(S^1)/PSL(2,R)$ and
  $q_R$-conformal symmetries. II. Geometric quantization and hidden symmetries
  of Verma modules over Virasoro algebra","15 pp, AMSTEX: 1st part - math.RT/9806140",,,,"math.RT math.DG math.QA",,"  Some natural hidden symmetries in the Verma modules over the Virasoro algebra
are constructed in terms of geometric quantization. Their differential
geometric meaning is established and their expression via $q_R$-conformal
symmetries in the Verma modules over the Lie algebra $sl(2,C)$ is found. The
analysis and the unraveling of the algebraic structure of these families of
hidden symmetries are performed.
","[{""version"":""v1"",""created"":""Sat, 25 Jul 1998 19:00:58 GMT""}]","2007-05-23"
"math/9807143","Laurence R. Taylor","Laurence R. Taylor","Smooth Euclidean 4-spaces with few symmetries","7 pages. Published copy, also available at
  http://www.maths.warwick.ac.uk/gt/GTMon2/paper26.abs.html","Geom. Topol. Monogr. 2 (1999), 563-569",,"G&T migration mon2-26","math.GT",,"  We say that a topologically embedded 3-sphere in a smoothing of Euclidean
4-space is a barrier provided, roughly, no diffeomorphism of the 4-manifold
moves the 3-sphere off itself. In this paper we construct infinitely many one
parameter families of distinct smoothings of 4-space with barrier 3-spheres.
\par The existence of barriers implies, amongst other things, that the isometry
group of these manifolds, in any smooth metric, is finite. In particular, S^1
can not act smoothly and effectively on any smoothing of 4-space with barrier
3-spheres.
","[{""version"":""v1"",""created"":""Sun, 26 Jul 1998 04:45:49 GMT""},{""version"":""v2"",""created"":""Sun, 21 Nov 1999 00:00:00 GMT""}]","2007-05-23"
