"adap-org/9808001","Kunihiko Kaneko","Kunihiko Kaneko","Life as Complex Systems --- Viewpoint from Intra-Inter Dynamics","20 pages including 1 figure; Complexity, in press",,,,"adap-org nlin.AO q-bio",,"  Basic problems in complex systems are surveyed in connection with Life. As a
key issue for complex systems, complementarity between syntax/rule/parts and
semantics/behavior/whole is stressed. To address the issue, a constructive
approach for a biological system is proposed. As a construction in a computer,
intra-inter dynamics is presented for cell biology, where the following five
general features are drawn from our model experiments; intrinsic
diversification, recursive type formation, rule generation, formation of
internal representation, and macroscopic robustness. Significance of the
constructed logic to the biology of existing organisms is also discussed.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 05:00:41 GMT""}]","2007-05-23"
"astro-ph/9808087","Richard Hook","A. S. Fruchter and R. N. Hook","Drizzle: A Method for the Linear Reconstruction of Undersampled Images","19 pages, 5 figures, accepted for publication in February 2002 PASP.
  Major changes and much additional material since original submission in 1998","Publ.Astron.Soc.Pac.114:144-152,2002","10.1086/338393",,"astro-ph",,"  We have developed a method for the linear reconstruction of an image from
undersampled, dithered data. The algorithm, known as Variable-Pixel Linear
Reconstruction, or informally as Drizzle, preserves photometry and resolution,
can weight input images according to the statistical significance of each
pixel, and removes the effects of geometric distortion both on image shape and
photometry. This paper presents the method and its implementation. The
photometric and astrometric accuracy and image fidelity of the algorithm as
well as the noise characteristics of output images are discussed. In addition,
we describe the use of drizzling to combine dithered images in the presence of
cosmic rays.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 21:27:05 GMT""},{""version"":""v2"",""created"":""Fri, 19 Oct 2001 07:46:56 GMT""}]","2011-08-11"
"astro-ph/9808088","Roman Scoccimarro","Roman Scoccimarro (CITA)","Redshift Distortions: Perturbative and N-body Results","4 pages, 1 figure. To appear in the Proceedings of the 14th IAP
  Meeting, Wide Field Surveys in Cosmology",,,,"astro-ph",,"  I discuss the evolution of the redshift-space bispectrum via perturbation
theory (PT) and large high-resolution numerical simulations. At large scales,
we give the multipole expansion of the bispectrum in PT, which provides a
natural way to break the degeneracy between bias and $\Omega$ present in
measurements of the power spectrum distortions. At intermediate scales, we
propose a simple phenomenological model to take into account non-linear
effects. N-body results show that at small scales the perturbative shape of the
bispectrum monopole in redshift-space is preserved, breaking the hierarchical
form valid in the absence of distortions.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 16:24:16 GMT""}]","2007-05-23"
"astro-ph/9808089","Andy Young","A.J. Young, R.R. Ross and A.C.Fabian","Iron line profiles including emission from within the innermost stable
  orbit of a black hole accretion disc","5 pages with 5 postscript figures. Accepted for publication in MNRAS",,"10.1046/j.1365-8711.1998.02058.x",,"astro-ph",,"  Reynolds & Begelman (1997) have recently proposed a model in which the broad
and extremely redshifted iron line seen during a deep minimum of the light
curve of the Seyfert 1 galaxy MCG-6-30-15 originates from matter spiralling
into a Schwarzschild black hole, contrary to previous claims that the black
hole may be spinning rapidly (Iwasawa et al 1996; Dabrowski et al 1997). Here
we calculate in detail the X-ray spectrum produced by their model using the
full reflected continuum emission, including absorption features. This
calculation takes into account the doppler and relativistic effects. For the
range of parameters we consider, we find that the spectrum should show a large
photoelectric absorption edge of iron, which is not seen in the data. The
absorption edge is a consequence of the line emitting matter within the
innermost stable orbit being highly ionized, and is largely independent of the
parameters chosen for their model. If we restrict our attention to the 3-10 keV
band we may effectively remove this absorption edge by fitting a steeper power
law, but this results in a significant underprediction of the 0.4-0.5 keV flux.
We conclude that the data on MCG-6-30-15 are more consistent with the Kerr than
the Schwarzschild model.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 16:33:21 GMT""}]","2009-10-30"
"astro-ph/9808090","Jane Turner","T.J. Turner","X-ray Observations of Mrk 231","17 pages, 2 figures. LaTeX with encapsulated postscript. To appear in
  the Astrophysical Journal",,"10.1086/306674",,"astro-ph",,"  This paper presents new X-ray observations of Mrk 231, an active galaxy of
particular interest due to its large infrared luminosity and the presence of
several blueshifted broad absorption line (BAL) systems, a phenomenon observed
in a small fraction of QSOs.
  A ROSAT HRI image of Mrk 231 is presented, this shows an extended region of
soft X-ray emission, covering several tens of kpc, consistent with the extent
of the host galaxy. An ASCA observation of Mrk 231 is also presented. Hard
X-rays are detected but the data show no significant variability in X-ray flux.
The hard X-ray continuum is heavily attenuated and X-ray column estimates range
from ~ 2 x 10^{22} - 10^{23} cm^{-2} depending on whether the material is
assumed to be neutral or ionized, and on the model assumed for the extended
X-ray component. These ASCA data provide only the second hard X-ray spectrum of
a BAL AGN presented to date. The broad-band spectral-energy-distribution of the
source is discussed. While Mrk 231 is X-ray weak compared to Seyfert 1
galaxies, it has an optical-to-X-ray spectrum typical of a QSO.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 18:57:09 GMT""}]","2009-10-30"
"astro-ph/9808091","Ken Mighell","Kenneth J. Mighell (1), Ata Sarajedini (2), Rica S. French (3) ((1)
  National Optical Astronomy Observatories, (2) San Francisco State University,
  (3) Middle Tennessee State University)","WFPC2 Observations of Star Clusters in the Magellanic Clouds. II. The
  Oldest Star Clusters in the Small Magellanic Cloud","20 pages (LaTeX+aaspp4.sty), 10 tables (PostScript format) and 14
  figures (PostScript format). The PostScript version of the paper, tables, and
  full-resolution figures is available at
  http://www.noao.edu/noao/staff/mighell/oldsmc/ To appear in the Astronomical
  Journal (accepted 1998 August 10)",,"10.1086/300591",,"astro-ph",,"  We present our analysis of archival Hubble Space Telescope Wide Field
Planetary Camera 2 (WFPC2) observations in F450W (~B) and F555W (~V) of the
intermediate- age populous star clusters NGC 121, NGC 339, NGC 361, NGC 416,
and Kron 3 in the Small Magellanic Cloud. We use published photometry of two
other SMC populous star clusters, Lindsay 1 and Lindsay 113, to investigate the
age sequence of these seven populous star clusters in order to improve our
understanding of the formation chronology of the SMC. We analyzed the V vs
(B-V) and M_V vs (B-V)_0 color-magnitude diagrams of these populous Small
Magellanic Cloud star clusters using a variety of techniques and determined
their ages, metallicities, and reddenings. These new data enable us to improve
the age-metallicity relation of star clusters in the Small Magellanic Cloud. In
particular, we find that a closed-box continuous star-formation model does not
reproduce the age-metallicity relation adequately. However, a theoretical model
punctuated by bursts of star formation is in better agreement with the
observational data presented herein.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 21:38:51 GMT""}]","2009-10-30"
"astro-ph/9808092","Alard","C. Alard","Analysis of the OGLE microlensing candidates using the image subtraction
  method","15 pages, 5 figures",,,,"astro-ph",,"  The light curves of the OGLE microlensing candidates have been reconstructed
using the image subtraction method. A large improvement of the photometric
accuracy has been found in comparison with previous processing of the data with
DoPHOT. On the mean, the residuals to the fit of a microlensing light curve are
improved by a factor of 2 for baseline data points, and by a factor of 2.5
during magnification. The largest improvement was found for the OGLE #5 event,
where we get an accuracy 7.5 times better than with DoPHOT. Despite some
defects in the old CCD used during the OGLE I experiment we obtain most of the
time errors that are only 30 % to 40 % in excess of the photon noise. Previous
experiment showed that with modern CCD chips (OGLE II), residuals much closer
to the photon noise were obtained. The better photometric quality enabled us to
find a low amplitude, long term variability in the OGLE #12 and OGLE #11
baseline magnitude. We also found that the shape of the OGLE #14 candidate
light curve is fairly inconsistent with microlensing of a point source by a
point lens. A dramatic change in the light curve of the OGLE #9 candidate was
also found, which indicates that very large biases can be present in data
processed with DoPHOT. To conclude we made a detailed analysis of the blending
issue. It is found that OGLE #5 and OGLE #6 are very likely highly blended
microlensing events. These events result from the magnification of a faint star
that would have been undetectable without microlensing.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 20:34:01 GMT""}]","2007-05-23"
"astro-ph/9808093","Kevin Krisciunas","Kevin Krisciunas, Bruce Margon, and Paula Szkody","The Recognition of Unusual Objects in the Sloan Digital Sky Survey Color
  System","44 pages, 13 postscript figures. Accepted for publication in
  Publications of the Astronomical Society of the Pacific, vol. 110, November
  1998. Uses AAS Latex style file, version 4.0","Publ.Astron.Soc.Pac. 110 (1998) 1342","10.1086/316264",,"astro-ph",,"  We present 5 filter photometry of 21 carbon stars, 15 asteroids, 15
cataclysmic variables, 6 metal-poor stars, 5 Cepheids, 1775 field stars, blue
horizontal branch (BHB) stars and RR Lyrae stars in the globular clusters M 15
and M 2, two primary standards, and 19 secondary standards. The photometry was
carried out using a filter set identical to that which will be used for the
Sloan Digital Sky Survey. We find that carbon stars, CVs, R-type, J-type, and
V-type asteroids, BHB stars, and RR Lyr stars should be identifiable on the
basis of SDSS photometry alone, while Cepheids, metal-poor stars, and many
types of asteroids are indistinguishable from the stellar locus of field stars.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 20:47:21 GMT""}]","2015-06-24"
"astro-ph/9808094","Chris Fryer","C.L. Fryer (UCSC), S.E. Woosley (UCSC), M. Herant (Wash. School of
  Medicine), Melvyn B. Davies (Cambridge Inst. for Astronomy)","Merging White Dwarf/Black Hole Binaries and Gamma-Ray Bursts","17 pages text + 9 figures, minor corrections to text and tables,
  added references, accepted by ApJ","Astrophys.J.520:650-660,1999","10.1086/307467",,"astro-ph",,"  The merger of compact binaries, especially black holes and neutron stars, is
frequently invoked to explain gamma-ray bursts (GRB's). In this paper, we
present three dimensional hydrodynamical simulations of the relatively
neglected mergers of white dwarfs and black holes. During the merger, the white
dwarf is tidally disrupted and sheared into an accretion disk. Nuclear
reactions are followed and the energy release is negligible. Peak accretion
rates are ~0.05 Msun/s (less for lower mass white dwarfs) lasting for
approximately a minute. Many of the disk parameters can be explained by a
simple analytic model which we derive and compare to our simulations. This
model can be used to predict accretion rates for white dwarf and black hole (or
neutron star) masses which are not simulated in this paper. Although the
mergers studied here create disks with larger radii, and longer accretion times
than those from the merger of double neutron stars, a larger fraction of the
merging star's mass becomes part of the disk. Thus the merger of a white dwarf
and a black hole could produce a long duration GRB. The event rate of these
mergers may be as high as 1/Myr per galaxy.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 22:22:38 GMT""},{""version"":""v2"",""created"":""Fri, 29 Jan 1999 02:07:58 GMT""}]","2009-10-19"
"astro-ph/9808095","James Pizagno","James Pizagno, Hans-Walter Rix (Steward Observatory, University of
  Arizona)","The Extinction Distribution in the Galaxy UGC 5041","18 pages, 3 figures; To appear in the Astronomical Journal","Astron.J. 116 (1998) 2191","10.1086/300601",,"astro-ph",,"  We probe the dust extinction through the foreground disk of the overlapping
galaxy pair UGC 5041 by analyzing B,I, and H band images. The inclined
foreground disk of this infrared-selected pair is almost opaque in B at a
projected distance of ~8kpc. From the images, we estimate directly the
area-weighted distribution of differential near-IR extinction: it is nearly
Gaussian with <tau_I-tau_H>=0.6 and sigma=0.27. For a homogenous dust
distribution and a Milky Way extinction curve, this corresponds to a face-on
distribution p(tau) with a mean of <tau_V>=0.34 and sigma_V=0.15. For a clumpy
dust model the optical depth estimate increases to <tau_V>=0.41 and
sigma_V=0.19. Even though the galaxy pair is subject to different selection
biases and our analysis is subject to different systematics, the result is
consistent with existing case studies, indicating that <tau_V>~0.3 is generic
for late-type spirals near their half-light radii.
  We outline how to estimate from p(tau) by how much background quasars are
underreresented, where projected within ~10kpc of nearby spirals, such as
damped Ly-alpha absorbers or gravitational lenses; from our data we derive a
factor of two deficit for flux-limited, optical surveys.
","[{""version"":""v1"",""created"":""Mon, 10 Aug 1998 23:16:17 GMT""}]","2009-10-30"
"astro-ph/9808097","Hsiang-Kuang Chang","Hsiang-Kuang Chang (Nat'l Tsing Hua U, Hsinchu, Taiwan), Cheng Ho
  (LANL)","RXTE Observation of PSR B0656+14","10 pages, LaTeX (aaspp4.sty), figures (eps) included. To appear in
  ApJ 501 on Jan. 1, 1999",,,,"astro-ph",,"  PSR B0656+14 was observed by the {\it Rossi X-ray Timing Explorer (RXTE)}
with the proportional counter array (PCA) and the high-energy x-ray timing
experiment (HEXTE) for 160 ksec during August 22 -- September 3, 1997. No
pulsation was firmly found in the timing analysis, in which the contemporaneous
radio ephemeris and various statistical tests were applied for searching
evidence of pulsation. A marginal detection of pulsation at a confidence level
of 95.5% based on the $H$-test was found with data in the whole HEXTE energy
band. In the energy band of 2-10 keV the {\it RXTE} PCA upper limits are about
one order of magnitude lower than that from {\it ASCA} GIS data. If the {\it
CGRO} EGRET detection of this pulsar is real, considering the common trait that
most EGRET-detected pulsars have a cooling spectrum in hard x-ray and gamma ray
energy bands, the estimated {\it RXTE} upper limits indicate a deviation
(low-energy turn-over) from a cooling spectrum starting from 20 keV or higher.
It in turn suggests an outer-magnetospheric synchrotron-radiation origin for
high-energy emissions from PSR B0656+14. The {\it RXTE} PCA upper limits also
suggest that a reported power-law component based on {\it ASCA} SIS data in
1-10 keV fitted jointly with {\it ROSAT} data, if real, should be mainly
unpulsed.
","[{""version"":""v1"",""created"":""Tue, 11 Aug 1998 04:04:41 GMT""}]","2007-05-23"
