"adap-org/9808002","S. V. Stepkin","A.A.Stanislavsky (Inst. of Radio Astronomy, Kharkov, Ukraine)","Memory Effects and Macroscopic Manifestation of Randomness","LaTeX, 18 pages, 1 postscript figure. New extended version, new
  paragraphs and references added","Phys. Rev. E 61 (2000) 4752-4759","10.1103/PhysRevE.61.4752",,"adap-org cond-mat nlin.AO nlin.CD",,"  It is shown that due to memory effects the complex behaviour of components in
a stochastic system can be transmitted to macroscopic evolution of the system
as a whole. Within the Markov approximation widely using in ordinary
statistical mechanics, memory effects are neglected. As a result, a time-scale
separation between the macroscopic and the microscopic level of description
exists, the macroscopic differential picture is no a consequence of microscopic
non-differentiable dynamics. On the other hand, the presence of complete memory
in a system means that all its components have the same behaviour. If the
memory function has no characteristic time scales, the correct description of
the macroscopic evolution of such systems have to be in terms of the fractional
calculus.
","[{""version"":""v1"",""created"":""Wed, 19 Aug 1998 12:42:45 GMT""},{""version"":""v2"",""created"":""Wed, 9 Feb 2000 14:56:17 GMT""}]","2009-10-30"
"adap-org/9808003","Gafiychuk","I.A.Lubashevsky, V.V.Gafiychuk","Cooperative mechanism of self-regulation in hierarchical living systems","32 pages, 11 figures (we use siamltex.sty)",,,,"adap-org nlin.AO q-bio",,"  We study the problem of how a ``living'' system complex in structure can
respond perfectly to local changes in the environment. Such a system is assumed
to consist of a distributed ``living'' medium and a hierarchical ``supplying''
network that provides this medium with ``nutritious'' products. Because of the
hierarchical organization each element of the supplying network has to behave
in a self-consistent way for the system can adapt to changes in the
environment.
  We propose a cooperative mechanism of self-regulation by which the system as
a whole can react perfectly. This mechanism is based on an individual response
of each element to the corresponding small piece of the information on the
state of the ``living'' medium. The conservation of flux through the supplying
network gives rise to a certain processing of information and the
self-consistent behavior of the elements, leading to the perfect
self-regulation. The corresponding equations governing the ``living'' medium
state are obtained.
","[{""version"":""v1"",""created"":""Wed, 19 Aug 1998 12:59:43 GMT""}]","2007-05-23"
"astro-ph/9808179","Xiang-Ping Wu","Xiang-Ping Wu, Tzihong Chiueh, Li-Zhi Fang and Yan-Jie Xue","A comparison of different cluster mass estimates: consistency or
  discrepancy ?","16 pages with 7 PS figures, MNRAS in press",,"10.1046/j.1365-8711.1998.02055.x",,"astro-ph",,"  Rich and massive clusters of galaxies at intermediate redshift are capable of
magnifying and distorting the images of background galaxies. A comparison of
different mass estimators among these clusters can provide useful information
about the distribution and composition of cluster matter and their dynamical
evolution. Using a hitherto largest sample of lensing clusters drawn from
literature, we compare the gravitating masses of clusters derived from the
strong/weak gravitational lensing phenomena, from the X-ray measurements based
on the assumption of hydrostatic equilibrium, and from the conventional
isothermal sphere model for the dark matter profile characterized by the
velocity dispersion and core radius of galaxy distributions in clusters. While
there is an excellent agreement between the weak lensing, X-ray and isothermal
sphere model determined cluster masses, these methods are likely to
underestimate the gravitating masses enclosed within the central cores of
clusters by a factor of 2--4 as compared with the strong lensing results. Such
a mass discrepancy has probably arisen from the inappropriate applications of
the weak lensing technique and the hydrostatic equilibrium hypothesis to the
central regions of clusters as well as an unreasonably large core radius for
both luminous and dark matter profiles. Nevertheless, it is pointed out that
these cluster mass estimators may be safely applied on scales greater than the
core sizes. Namely, the overall clusters of galaxies at intermediate redshift
can still be regarded as the dynamically relaxed systems, in which the velocity
dispersion of galaxies and the temperature of X-ray emitting gas are good
indicators of the underlying gravitational potentials of clusters.
","[{""version"":""v1"",""created"":""Tue, 18 Aug 1998 16:07:35 GMT""}]","2009-10-30"
"astro-ph/9808180","Xiang-Ping Wu","Xiang-Ping Wu","Baryon Fractions and Cluster Mass Estimates","8 pages + 4 PS figures, Talk given at the 5th Taipei Astrophysics
  Workshop: Cosmic Background Radiation and Large Scale Structures (PASP Conf.
  Ser.), Dec. 1997",,,,"astro-ph",,"  I report the current status on the determinations of the baryon fractions and
dynamical/lensing masses of galaxy clusters as well as the $\sigma$ - $T$
relationship, making use of all the published data in literature which include
304 measurements for baryon fractions, 320/21 data points for masses of
intracluster gas/cluster galaxies, (152+228)/72 data points for cluster masses
derived from X-ray emitting gas/optical galaxies based on the hydrostatic
equilibrium hypothesis, 46/33 measurements for the projected cluster masses
obtained from strong/weak lensing. A straightforward statistical analysis
reveals the following features: (1)The cluster baryon fraction indeed shows an
increasing tendency towards a value of $\sim30%$ at large cluster radius;
(2)The dynamical cluster masses are in fairly good agreement with the masses
determined by weak lensing technique; (3)The cluster masses provided by strong
lensing and other methods are essentially consistent within a factor of
$\sim2$. (4)The cluster $\sigma-T$ relationship is in concordance with the
scenario that overall galaxy clusters are the well relaxed dynamical systems.
These results are strongly suggestive of a low-mass density universe
($\Omega_m<0.3$), in which the fraction of baryonic matter ($\sim30%$) is not
very small !
","[{""version"":""v1"",""created"":""Tue, 18 Aug 1998 16:08:43 GMT""}]","2007-05-23"
"astro-ph/9808181","Xiang-Ping Wu","Xiang-Ping Wu, Li-Zhi Fang and Wen Xu","Updating the $\sigma$-$T$ relationship for galaxy clusters","6 pages + 6 figures + 2 tables, A&A, in press",,,,"astro-ph",,"  The relationship between the X-ray determined temperature $T$ of the
intracluster gas and the optical measured velocity dispersion $\sigma$ of the
cluster galaxies is often believed to be not only a straightforward but also
robust test for the dynamical properties of galaxy clusters. Here, we present
the $\sigma$-$T$ relationship using the 94 clusters drawn from the largest
sample of 149 clusters in literature, for which both $\sigma$ and $T$ are
observationally determined. Employment of the doubly weighted orthogonal
distance regression to our sample yields
$\sigma=10^{2.47\pm0.06}T^{0.67\pm0.09}$, indicating an apparent deviation of
dynamical state from that predicted by the isothermal and hydrostatic
equilibrium model for galaxy clusters, though the average ratio $\beta_{spec}$
of specific energy in galaxies to that in gas is found to be in excellent
agreement with unity. It shows that a nonisothermal gas distribution with a
mean polytropic index of $\gamma=1.3$ can account for the reported $\sigma$-$T$
relationship, while overall clusters can still be regarded as
dynamically-relaxed systems.
","[{""version"":""v1"",""created"":""Tue, 18 Aug 1998 16:17:52 GMT""}]","2007-05-23"
"astro-ph/9808182","Peter H. Hauschildt","P.H. Hauschildt (UGA) and E. Baron (Univ. of Oklahoma)","Numerical Solution of the Expanding Stellar Atmosphere Problem","JCAM, in press. 28 pages, also available at
  ftp://calvin.physast.uga.edu:/pub/preprints/CompAstro.ps.gz","J.Comput.Appl.Math.109:41-63,1999",,,"astro-ph",,"  In this paper we discuss numerical methods and algorithms for the solution of
NLTE stellar atmosphere problems involving expanding atmospheres, e.g., found
in novae, supernovae and stellar winds. We show how a scheme of nested
iterations can be used to reduce the high dimension of the problem to a number
of problems with smaller dimensions. As examples of these sub-problems, we
discuss the numerical solution of the radiative transfer equation for
relativistically expanding media with spherical symmetry, the solution of the
multi-level non-LTE statistical equilibrium problem for extremely large model
atoms, and our temperature correction procedure. Although modern iteration
schemes are very efficient, parallel algorithms are essential in making large
scale calculations feasible, therefore we discuss some parallelization schemes
that we have developed.
","[{""version"":""v1"",""created"":""Tue, 18 Aug 1998 18:18:38 GMT""}]","2011-06-02"
"astro-ph/9808183","F. Nicastro","F. Nicastro (1 and 2), F. Fiore (1 and 3) and G. Matt (4) ((1)
  Harvard-Smithsonian Astrophysical Observatory, Cambridge, US, (2) Istituto di
  Astrofisica Spaziale - CNR, Roma, Italy, (3) Osservatorio Astronimico di
  Monteporzio, Roma, Italy, (4) Dipartimento di Fisica, Universita degli studi
  ""Roma Tre"", Roma, Italy)","Signatures of Resonant Absoprtion in X-ray Spectra of Type 1 AGN","7 pages, 3 figures, to appear in the ""Vulcano Workshop 1998: Frontier
  Objects in Astrophysics and Particle Physics"", the special series of
  Conference Proceedings published by the ""Societa' Italiana di Fisica"", F.
  Giovannelli and G. Mannocchi (eds.)",,,,"astro-ph",,"  We present photoionization models accounting for both photoelectric and
resonant absorption. We demonstrate that resonance absorption lines are
detectable even in moderate resolution X-ray spectra of type 1 AGN. The spectra
transmitted by gas illuminated by the ionizing continua typical of flat X-ray
spectrum, broad optical emission line type 1 AGN, and steep X-ray spectrum,
narrow optical emission line type 1 AGN (NLSy1) are dramatically different. In
particolar, we find that both the absorption features seen in many Seyfert 1
galaxies between 0.7 and 1 keV and in several NLSy1 between 1 and 2 keV can be
explained by our model, without requiring relativistic outflowing velocities of
the gas.
","[{""version"":""v1"",""created"":""Tue, 18 Aug 1998 18:27:36 GMT""}]","2007-05-23"
"astro-ph/9808184","Robert D. Preece","R. D. Preece, M. S. Briggs, R. S. Mallozzi, G. N. Pendleton, and W. S.
  Paciesas (UAH) and D. L. Band (CASS/UCSD)","The Synchrotron Shock Model Confronts a `Line of Death' in the BATSE
  Gamma-Ray Burst Data","8 pages plus 3 figures. Accepted by ApJ (Letters)",,"10.1086/311644","UAH-98-08-14","astro-ph",,"  The synchrotron shock model (SSM) for gamma-ray burst emission makes a
testable prediction: that the observed low-energy power-law photon number
spectral index cannot exceed -2/3 (where the photon model is defined with a
positive index: dN/dE is proportional to E^alpha). We have collected
time-resolved spectral fit parameters for over 100 bright bursts observed by
the Burst And Transient Source Experiment on board the Compton Gamma Ray
Observatory. Using this database, we find 23 bursts in which the spectral index
limit of the SSM is violated. We discuss elements of the analysis methodology
that affect the robustness of this result, as well as some of the escape
hatches left for the SSM by theory.
","[{""version"":""v1"",""created"":""Tue, 18 Aug 1998 19:24:59 GMT""}]","2009-10-30"
"astro-ph/9808185","William H. Lee","William H. Lee (University of Wisconsin-Madison, Instituto de
  Astronomia,UNAM) and Wlodzimierz Kluzniak (University of Wisconsin-Madison,
  Copernicus Astronomical Center, Warsaw)","Newtonian Hydrodynamics of the Coalescence of Black Holes with Neutron
  Stars I: Tidally locked binaries with a stiff equation of state","Replaces previous version which had figures separate from the text of
  the paper. Now 47 pages long with 19 embedded figures (the figures are the
  same, they were renumbered) Uses aaspp4.sty","Astrophys.J. 526 (1999) 178","10.1086/307958",,"astro-ph",,"  We present a detailed study of the hydrodynamical interactions in a Newtonian
black hole-neutron star binary during the last stages of inspiral. We consider
close binaries which are tidally locked, use a stiff equation of state (with an
adiabatic index Gamma=3) throughout, and explore the effect of different
initial mass ratios on the evolution of the system. We calculate the
gravitational radiation signal in the quadrupole approximation. Our
calculations are carried out using a Smooth Particle Hydrodynamics (SPH) code.
","[{""version"":""v1"",""created"":""Tue, 18 Aug 1998 20:21:11 GMT""},{""version"":""v2"",""created"":""Wed, 19 Aug 1998 20:14:27 GMT""}]","2009-10-30"
"astro-ph/9808186","Asantha R. Cooray","Asantha R. Cooray (Univ. of Chicago)","Cosmology with Galaxy Clusters: II. Projection Effects on Hubble
  Constant and Gas Mass Fraction","7 pages, 1 figure. Accepted for publication in Astronomy &
  Astrophysics (Main Journal)","Astron.Astrophys.339:623,1998",,,"astro-ph",,"  It is well known that a combined analysis of the Sunyaev-Zel'dovich (SZ)
effect and the X-ray emission observations can be used to determine the angular
diameter distance to galaxy clusters, from which the Hubble constant is
derived. The present values of the Hubble constant derived through the SZ/X-ray
route have a broad distribution ranging from 30 to 70 km s^-1 Mpc^-1. We show
that this broad distribution is primarily due to the projection effect of
aspherical clusters, which have been modeled using spherical geometries. The
projection effect is also expected to broaden the measured gas mass fraction of
galaxy clusters. However, the projection effect either under- or overestimate
the Hubble constant and the gas mass fraction in an opposite manner, producing
an anticorrelation. Using the published data for SZ/X-ray clusters, we show
that the current Hubble constant distribution is negatively correlated with the
measured gas mass fraction for same clusters, suggesting that the projection
effects are present in current results. If the gas mass fraction of galaxy
clusters, when measured out to an outer hydrostatic radius is constant, it may
be possible to account for the line of sight geometry of galaxy clusters.
However, to perform such an analysis, an independent measurement of the total
mass of galaxy clusters, such as from weak lensing, is needed. Using the weak
lensing, optical velocity dispersion, SZ and X-ray data, we outline an
alternative method to calculate the Hubble constant, which is subjected less to
projection effects than the present method based on only the SZ and X-ray data.
For A2163, the Hubble constant based on published SZ, X-ray and weak lensing
observations is \sim 49 \pm 29 km s^-1 Mpc^-1.
","[{""version"":""v1"",""created"":""Tue, 18 Aug 1998 20:25:40 GMT""}]","2011-05-23"
"astro-ph/9808187","Priya Natarajan","Priyamvada Natarajan (1,2) and J. E. Pringle (1,3) ((1) Isaac Newton
  Institute for Mathematical Sciences, (2) CITA, (3) IoA)","The alignment of disk and black hole spins in active galactic nuclei","4 pages, LateX file, accepted for publication in ApJ Letters",,"10.1086/311658",,"astro-ph",,"  The inner parts of an accretion disk around a spinning black hole are forced
to align with the spin of the hole by the Bardeen-Petterson effect. Assuming
that any jet produced by such a system is aligned with the angular momentum of
either the hole or the inner disk, this can, in principle provide a mechanism
for producing steady jets in AGN whose direction is independent of the angular
momentum of the accreted material. However, the torque which aligns the inner
disk with the hole, also, by Newton's third law, tends to align the spin of the
hole with the outer accretion disk. In this letter, we calculate this alignment
timescale for a black hole powering an AGN, and show that it is relatively
short. This timescale is typically much less than the derived ages for jets in
radio loud AGN, and implies that the jet directions are not in general
controlled by the spin of the black hole. We speculate that the jet directions
are most likely controlled either by the angular momentum of the accreted
material or by the gravitational potential of the host galaxy.
","[{""version"":""v1"",""created"":""Wed, 19 Aug 1998 00:23:04 GMT""}]","2009-10-30"
