"astro-ph/9809163","Arnon Dar","Arnon Dar","Cosmic Rays and Gamma Ray Bursts From Microblazars","Cosmic rays above the GZK cutoff will be discussed in a separate
  publication",,,,"astro-ph hep-ph",,"  Highly relativistic jets from merger and accretion induced collapse of
compact stellar objects, which may produce the cosmological gamma ray bursts
(GRBs), are also very efficient and powerful cosmic ray accelerators. The
expected luminosity, energy spectrum and chemical composition of cosmic rays
from Galactic GRBs, most of which do not point in our direction, can explain
the observed properties of Galactic cosmic rays.
","[{""version"":""v1"",""created"":""Sun, 13 Sep 1998 17:29:58 GMT""}]","2007-05-23"
"astro-ph/9809164","Gail C. McLaughlin","G. M. Fuller, W. C. Haxton and G. C. McLaughlin","Prospects for Detecting Supernova Neutrino Flavor Oscillations","27 pages, RevTeX, 2 figures","Phys.Rev.D59:085005,1999","10.1103/PhysRevD.59.085005",,"astro-ph hep-ph nucl-th",,"  The neutrinos from a Type II supernova provide perhaps our best opportunity
to probe cosmologically interesting muon and/or tauon neutrino masses. This is
because matter enhanced neutrino oscillations can lead to an anomalously hot
nu_e spectrum, and thus to enhanced charged current cross sections in
terrestrial detectors. Two recently proposed supernova neutrino observatories,
OMNIS and LAND, will detect neutrons spalled from target nuclei by neutral and
charged current neutrino interactions. As this signal is not flavor specific,
it is not immediately clear whether a convincing neutrino oscillation signal
can be extracted from such experiments. To address this issue we examine the
responses of a series of possible light and heavy mass targets, 9Be, 23Na,
35Cl, and 208Pb. We find that strategies for detecting oscillations which use
only neutron count rates are problematic at best, even if cross sections are
determined by ancillary experiments. Plausible uncertainties in supernova
neutrino spectra tend to obscure rate enhancements due to oscillations.
However, in the case of 208Pb, a signal emerges that is largely flavor specific
and extraordinarily sensitive to the nu_e temperature, the emission of two
neutrons. This signal and its flavor specificity are associated with the
strength and location of the first-forbidden responses for neutral and charge
current reactions, aspects of the 208Pb neutrino cross section that have not
been discussed previously. Hadronic spin transfer experiments might be helpful
in confirming some of the nuclear structure physics underlying our conclusions.
","[{""version"":""v1"",""created"":""Sun, 13 Sep 1998 23:04:47 GMT""}]","2010-12-02"
"astro-ph/9809165","Chris Tinney","C.G.Tinney & A.J.Tolley","Searching for Weather in Brown Dwarfs","8 pages, 7 figures. To appear in the Monthly Notices of the RAS.
  Replaced version contains paper as accepted",,"10.1046/j.1365-8711.1999.02297.x",,"astro-ph",,"  We have used an innovative tuneable filter technique to carry out a search
for the variability signatures of meterological processes in the atmospheres of
two nearby brown dwarfs. We find no evidence for variability in the L-type
brown dwarf DENIS-PJ1228-1547 in an observations spanning approximately half a
rotation period (3 hours), and evidence for variability in the M-type brown
dwarf LP 944-20 in multiple observations spanning approximately one third of a
rotation period (1.5 hours).
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 01:46:06 GMT""},{""version"":""v2"",""created"":""Tue, 17 Nov 1998 02:50:05 GMT""}]","2009-10-30"
"astro-ph/9809166",,"Sergei A. Levshakov (National Astronomical Observatory, Japan), Fumio
  Takahara (Osaka University, Japan), and Irina I. Agafonova (National
  Astronomical Observatory, Japan)","Measurability of kinetic temperature from metal absorption-line spectra
  formed in chaotic media","25 pages, 6 Postscript figures, aaspp4.sty file, submit. ApJ",,"10.1086/307223",,"astro-ph",,"  We present a new method for recovering the kinetic temperature of the
intervening diffuse gas to an accuracy of 10%. The method is based on the
comparison of unsaturated absorption-line profiles of two species with
different atomic weights. The species are assumed to have the same temperature
and bulk motion within the absorbing region. The computational technique
involves the Fourier transform of the absorption profiles and the consequent
Entropy-Regularized chi^2-Minimization [ERM] to estimate the model parameters.
The procedure is tested using synthetic spectra of CII, SiII and FeII ions. The
comparison with the standard Voigt fitting analysis is performed and it is
shown that the Voigt deconvolution of the complex absorption-line profiles may
result in estimated temperatures which are not physical. We also successfully
analyze Keck telescope spectra of CII1334 and SiII1260 lines observed at the
redshift z = 3.572 toward the quasar Q1937--1009 by Tytler {\it et al.}.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 03:19:22 GMT""}]","2009-10-30"
"astro-ph/9809167","Giancarlo Cusumano","G. Cusumano, T. Di Salvo, L. Burderi, M. Orlandini, S. Piraino, N.
  Robba, A. Santangelo","Detection of a cyclotron line and its second harmonic in 4U1907+09","4 pages, 3 postscript figures. Accepted for publication in Astronomy
  and Astrophysics",,,,"astro-ph",,"  We report the detection of a cyclotron absorption line and its second
harmonic in the average spectrum of the high mass X-ray binary 4U1907+09
observed by the BeppoSAX satellite on 1997 September 27 and 28. The broad band
spectral capability of BeppoSAX allowed a good determination of the continuum
against which the two absorption features are evident at ~ 19 and ~ 39 keV.
Correcting for the gravitational redshift of a ~ 1.4 solar mass neutron star,
the inferred surface magnetic field strength is B = 2.1 10E12 G that is typical
for this kind of systems. We also detected an iron emission line at ~ 6.4 keV,
with an equivalent width of ~ 60 eV.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 11:02:13 GMT""}]","2008-12-01"
"astro-ph/9809168","Guinevere Kauffmann","Guinevere Kauffmann, Joerg M. Colberg, Antonaldo Diaferio, Simon D.M.
  White (MPA, Garching)","Clustering of Galaxies in a Hierarchical Universe: II. Evolution to High
  Redshift","21 pages, Latex, 11 figures included, submitted to MNRAS; figure 11
  expanded","Mon.Not.Roy.Astron.Soc.307:529-536,1999","10.1046/j.1365-8711.1999.02711.x",,"astro-ph",,"  In hierarchical cosmologies the evolution of galaxy clustering depends both
on cosmological quantities such as Omega and Lambda, which determine how dark
matter halos form and evolve, and on the physical processes - cooling, star
formation and feedback - which drive the formation of galaxies within these
merging halos. In this paper, we combine dissipationless cosmological N-body
simulations and semi-analytic models of galaxy formation in order to study how
these two aspects interact. We focus on the differences in clustering predicted
for galaxies of differing luminosity, colour, morphology and star formation
rate and on what these differences can teach us about the galaxy formation
process. We show that a ""dip"" in the amplitude of galaxy correlations between
z=0 and z=1 can be an important diagnostic. Such a dip occurs in low-density
CDM models because structure forms early and dark matter halos of 10**12 solar
masses, containing galaxies with luminosities around L*, are unbiased tracers
of the dark matter over this redshift range; their clustering amplitude then
evolves similarly to that of the dark matter. At higher redshifts bright
galaxies become strongly biased and the clustering amplitude increases again.
In high density models, structure forms late and bias evolves more rapidly. As
a result, the clustering amplitude of L* galaxies remains constant from z=0 to
1. The strength of these effects is sensitive to sample selection. The dip is
weaker for galaxies with lower star formation rates, redder colours, higher
luminosities and earlier morphological types. We explain why this is the case
and how it is related to the variation with redshift of the abundance and and
environment of the observed galaxies. Studies of clustering evolution as a
function of galaxy properties should place strong constraints on models.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 11:55:24 GMT""},{""version"":""v2"",""created"":""Fri, 18 Sep 1998 07:49:34 GMT""}]","2009-09-25"
"astro-ph/9809169","Bruno Guiderdoni","B. Guiderdoni (IAP)","Modelling the optically dark side of high--redshift galaxies","4 pages, Latex, 2 postscript figures, to appear in ``The Projected
  Power Spectrum of the Dark Matter Inferred from Weak Lensing Surveys'', S.
  Colombi and Y. Mellier (eds), Editions Frontieres",,,,"astro-ph",,"  The recent detection of the Cosmic Infrared Background in FIRAS and DIRBE
residuals, and the observations of IR/submm sources by the ISOPHOT and SCUBA
instruments have shed new light on the optically dark side of galaxy formation.
It turns out that our view on the deep universe has been so far biassed towards
optically bright galaxies. We now know that a significant fraction of
galaxy/star formation in the universe is hidden by dust shrouds. In this paper,
we introduce a new modelling of galaxy formation and evolution that provides us
with specific predictions in the IR/submm wavebands. These predictions are
compared with the current status of the observations. Finally, the future
all-sky and deep surveys with the PLANCK and FIRST missions are briefly
described.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 12:20:24 GMT""}]","2007-05-23"
"astro-ph/9809170","Sebastian Lopez","Sebastian Lopez, Olaf Wucknitz and Lutz Wisotzki (Hamburger
  Sternwarte, Germany)","Detection of the lensing galaxy in HE 2149-2745","Accepted for publication in Astronomy and Astrophysics Letters. 4
  pages, 5 figures. Gzipped tar archive. Uses aa documentclass",,,"pre-print numbre: pr1998_05","astro-ph",,"  We have obtained new BVR-band images of the gravitationally lensed QSO pair
HE 2149-2745 A,B (QSO redshift z=2.033; angular separation theta_AB=1.71
arcsec), under 1 arcsec seeing conditions. Subtraction of a scaled
point-spread-function reveals an extended object of angular size comparable to
theta_AB, and R magnitude of 20.4 lying between and equidistant to the QSOs.
The geometry of the system leads us to interpret this object as the lensing
agent responsible for the double QSO images. A fit to the galaxy surface
brightness profile indicates an elliptical galaxy, which is further supported
by the absence of Mg II in absorption. The lensing galaxy is not detected in B
and V. We discuss possible lens models for this geometry constrained by our
observations and consequences for the mass and redshift of the lens.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:05:17 GMT""}]","2007-05-23"
"astro-ph/9809171","Andrew Benson","A. J. Benson, S. Cole, C. S. Frenk, C. M. Baugh, C. G. Lacey","Hybrid galaxy formation","4 pages, 3 figures, to appear in the proceedings of the Xth
  Rencontres de Blois",,,,"astro-ph",,"  We model the two-point correlation function of galaxies in a cold dark matter
Universe by combining two powerful theoretical tools - dissipationless N-body
simulations of dark matter clustering (specifically the GIF simulations carried
out by MPIA and the Virgo Consortium) and semi-analytic modelling of galaxy
formation. We construct catalogues of galaxies containing a wide range of
information for each galaxy, including magnitudes in various bands, star
formation rates, disk and bulge sizes (from the semi-analytic model described
by Cole et al 1998) and, importantly, spatial positions and peculiar velocities
from the N-body simulation. We then use this information to study the
clustering properties of galaxies.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 14:07:35 GMT""}]","2007-05-23"
"astro-ph/9809172","Patricia B. Tissera","R. Dominguez-Tenreiro, P.B. Tissera, A. Saiz","A Way Out of the Disc Angular Momentum Catastrophe in Hirarchical
  Hydrodynamical Simulations","4 pages, 1 figure. To appear in the Proceedings of ' XI Recontre of
  Blois: The Birth of Galaxies'",,,,"astro-ph",,"  We present results that suggest that disc angular momentum catastrophes
(DAMCs) plaguing hierarchical hydrodynamical simulations of galaxy formation,
not including star formation processes, are due to the inward gas transport
that follows bar disk instabilities triggered by interactions and mergers. They
also show that DAMCs can be easily avoided by including star-forming processes,
as they lead unavoidably to the formation of compact stellar bulges that
stabilize disks against bars. The formation of disks similar to those observed
demands, in addition, that not all the gas is depleted into stars at high z, so
that they can be formed at lower z.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 15:02:39 GMT""}]","2007-05-23"
"astro-ph/9809173","Hatziminaoglou Evanthia","G. Mathez and E. Hatziminaoglou","What can we learn from VIRMOS quasars?","4 pages, 3 figures. To appear in the 14th IAP Meeting proceedings
  ""Wide Field Surveys in Cosmology""",,,,"astro-ph",,"  Large, homogeneous quasar samples are necessary tools for the study of QSO
statistics, cosmological tests, large scale structure and AGN evolution. These
samples must be complete within well defined flux limits at all redshifts. An
observational strategy without previous photometric selection of quasar
candidates is described, based essentially on the VIRMOS Survey spectroscopy.
","[{""version"":""v1"",""created"":""Mon, 14 Sep 1998 15:18:18 GMT""}]","2007-05-23"
