"adap-org/9809002","Sergey Gavrilets","Sergey Gavrilets","Dynamics of clade diversification on the morphological hypercube","8 pages, Latex, 2 postscript figures, submitted to Proc.R.Soc.Lond.B",,,,"adap-org nlin.AO q-bio",,"  Understanding the relationship between taxonomic and morphological changes is
important in identifying the reasons for accelerated morphological
diversification early in the history of animal phyla. Here, a simple general
model describing the joint dynamics of taxonomic diversity and morphological
disparity is presented and applied to the data on the diversification of
blastozoans. I show that the observed patterns of deceleration in clade
diversification can be explicable in terms of the geometric structure of the
morphospace and the effects of extinction and speciation on morphological
disparity without invoking major declines in the size of morphological
transitions or taxonomic turnover rates. The model allows testing of hypotheses
about patterns of diversification and estimation of rates of morphological
evolution. In the case of blastozoans, I find no evidence that major changes in
evolutionary rates and mechanisms are responsible for the deceleration of
morphological diversification seen during the period of this clade's expansion.
At the same time, there is evidence for a moderate decline in overall rates of
morphological diversification concordant with a major change (from positive to
negative values) in the clade's growth rate.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 16:20:56 GMT""}]","2007-05-23"
"astro-ph/9809185","Max Tegmark","Max Tegmark","Bias and beyond","4 pages, with 1 figure included. Links and more figures at
  http://www.sns.ias.edu/~max/biasframe.html or from max@ias.edu. To appear in
  ``Wide Field Surveys in Cosmology'', S. Colombi and Y. Mellier (eds),
  Editions Frontieres (1998)",,,,"astro-ph",,"  It is becoming increasingly clear that galaxy bias is complicated, with
evidence indicating that it can be time-dependent, morphology-dependent,
scale-dependent, non-linear and non-deterministic. We discuss strategies for
overcoming these complications and performing precision cosmological tests with
upcoming redshift surveys.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 16:17:01 GMT""}]","2007-05-23"
"astro-ph/9809196","Regina Schulte-Ladbeck","Regina E. Schulte-Ladbeck, Ulrich Hopp","The stellar content of 10 dwarf irregular galaxies","56 pages, 4 tables, 35 figures, The Astronomical Journal, accepted",,"10.1086/300625",,"astro-ph",,"  We examine the stellar content of 10 dwarf irregular galaxies of which
broad-band CCD photometry was published in Hopp & Schulte-Ladbeck (1995). We
also present Halpha images for several of these galaxies. The galaxies in the
sample are located outside of the Local Group. Yet, they are still close enough
to be resolved into single stars from the ground but only the brightest stars
(or star clusters) are detected and there is severe crowding. The sample
galaxies were selected to be isolated from massive neighbors; about half of
them are (mostly peripheral) members of groups, the other half is located in
the field. We discuss the vicinity of the sample galaxies to other dwarf
galaxies.
  In order to interpret single-star photometry and draw conclusions about the
stellar content or other distance-dependent quantities, it is crucial that
accurate distances to the galaxies be known. The distances to the sample
galaxies are not well known since all but one have not had a primary distance
indicator measured. We make an attempt to constrain the distances by
identifying the envelope of the brightest supergiants in B, B-R and R, B-R
color-magnitude diagrams, but the results are not very accurate (we estimate
the minimal error on the distance modulus is 1.36 mag). Nevertheless, the fact
that the sample galaxies are resolved with direct ground-based imaging
indicates that they are sufficiently nearby to represent good candidates for
observations with instruments that provide high spatial resolution, e.g.,
adaptive optics systems on large ground-based telescopes, or the Hubble Space
Telescope. ...
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 16:08:20 GMT""}]","2009-10-30"
"astro-ph/9809197","Ken Watanabe","K. Watanabe, D. H. Hartmann, M. D. Leising, and L. -S. The","The Diffuse Gamma-Ray Background from Supernovae","Minor changes, 26 pages, 9 figures, Accepted by ApJ","Astrophys.J. 516 (1999) 285-296","10.1086/307110",,"astro-ph",,"  The Cosmic Gamma-ray Background (CGB) in the MeV region is believed to be due
to photons from radioactivity produced in SNe throughout the history of
galaxies in the universe. In particular, gamma-ray line emission from the decay
chain 56Ni-> 56Co->56Fe provides the dominant photon source. Although iron
synthesis occurs in all types of SNe, the contribution to the CGB is dominated
by SNIa events due to their higher photon escape probabilities. Estimates of
the star formation history in the universe suggest a rapid increase by a factor
\~ 10 from the present to a redshift z_p ~ 1.5, beyond which it either remains
constant or decreases slowly. We integrate the observed star formation history
to determine the CGB from the corresponding SN rate history. In addition to
gamma-rays from short-lived radioactivity in SNIa and SNII/Ibc we also
calculate the minor contributions from long-lived radioactivities (26Al, 44Ti,
60Co, and electron-positron pair annihilation). Although progenitor evolution
for SNIa is not yet fully understood, various arguments suggest delays of order
1-2 Gy between star formation and the production of SNIa's. The effect of this
delay on the CGB is discussed. We emphasize the value of gamma-ray observations
of the CGB in the MeV range as an independent tool for studies of the cosmic
star formation history. If the delay between star formation and SNIa activity
exceeds 1 Gy substantially, and/or the peak of the cosmic star formation rate
occurs at a redshift much larger than unity, the gamma-ray production of SNIa
would be insufficient to explain the observed CGB. Alternatively, the cosmic
star formation rate would have to be higher (by a factor 2-3) than commonly
assumed, which is in accord with several upward revisions reported in the
recent literature.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 17:54:28 GMT""},{""version"":""v2"",""created"":""Wed, 18 Nov 1998 16:02:32 GMT""}]","2009-10-30"
"astro-ph/9809198","A. Kathy Romer","A. Kathy Romer","The Impact of AXAF & XMM on Measurements of Omega_0 from Cluster
  Abundances","4 pages, To appear in the proceedings of the 14th IAP meeting, ""Wide
  Field Surveys in Cosmology"", ed. Y. Mellier & S. Colombi",,,,"astro-ph",,"  Two major X-ray satellites, AXAF & XMM, will be launched in 1998/1999. Both
satellites have spectral and imaging capabilities, and are several times more
sensitive than either ROSAT or ASCA. AXAF & XMM will yield significant
scientific returns in many fields of astrophysics. We concentrate here on how
AXAF & XMM will improve constraints on the density parameter, Omega_0, via
measurements of the cluster abundance at high redshift.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 18:04:28 GMT""}]","2007-05-23"
"astro-ph/9809199","Gary Wegner","K. R. M\""uller, W. Freudling, R. Watkins, G. Wegner","Flows on scales of 150 Mpc?","16 pages, 1 figure",,"10.1086/311685",,"astro-ph",,"  We investigate the reality of large-scale streaming on scales of up to 150
Mpc using the peculiar motions of galaxies in three directions. New R-band CCD
photometry and spectroscopy for elliptical galaxies is used. The Fundamental
Plane distance indicator is calibrated using the Coma cluster and an
inhomogeneous Malmquist bias correction is applied. A linear bulk-flow model is
fitted to the peculiar velocities in the sample regions and the results do not
reflect the bulk flow observed by Lauer and Postman (LP). Accounting for the
difference in geometry between the galaxy distribution in the three regions and
the LP clustersconfirms the disagreement; assuming a low-density CDM power
spectrum, we find that the observed bulk flow of the galaxies in our sample
excludes the LP bulk flow at the 99.8% confidence level.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 18:48:59 GMT""}]","2009-10-30"
"astro-ph/9809200","Caroline Terquem","D.N.C. Lin (1), J.C.B. Papaloizou (2), G. Bryden (1), S. Ida (3), C.
  Terquem (1) ((1) UC Santa-Cruz, (2) QMW College, London, (3) Tokyo Inst. of
  Technology)","Planet formation, orbital evolution and planet-star tidal interaction","26 pages, TeX, 3 figures (2 in color), 2 style files (ppiv-style.tex
  and epsf.sty), to be published in ""Protostars and Planets IV,"" eds. A. Boss,
  V. Mannings, and S. Russell",,,,"astro-ph",,"  We consider several processes operating during the late stages of planet
formation that can affect observed orbital elements. Disk-planet interactions,
tidal interactions with the central star, long term orbital instability and the
Kozai mechanism are discussed.
","[{""version"":""v1"",""created"":""Tue, 15 Sep 1998 19:59:54 GMT""}]","2007-05-23"
"astro-ph/9809202",,"Pedro Colin (UNAM), Anatoly Klypin (NMSU), Andrey Kravtsov (NMSU),
  Alexei Khokhlov (NRL)","Evolution of bias in different cosmological models","submitted to the Astrophys.Journal; 21 pages, LaTeX (uses
  emulateapj.sty); full resolution versions of figs.1 and 2 are available at
  http://astro.nmsu.edu/~akravtso/GROUP/group_publications.html or at
  ftp://charon.nmsu.edu/pub/kravtsov/PAPERS/Bias/","Astrophys.J. 523 (1999) 32","10.1086/307710",,"astro-ph",,"  We study the evolution of the halo-halo correlation function and bias in four
cosmological models (LCDM, OCDM, tauCDM, and SCDM) using very high-resolution
N-body simulations. The high force and mass resolution allows dark matter (DM)
halos to survive in the tidal fields of high-density regions and thus prevents
the ambiguities related with the ``overmerging problem.'' This allows us to
estimate for the first time the evolution of the correlation function and bias
at small (down to ~100/h kpc) scales. We find that at all epochs the 2-point
correlation function of galaxy-size halos xi_hh is well approximated by a
power-law with slope ~1.6-1.8. The difference between the shape of xi_hh and
the shape of the correlation function of matter results in the scale-dependent
bias at scales <7/h Mpc, which we find to be a generic prediction of the
hierarchical models. The bias evolves rapidly from a high value of ~2-5 at
z~3-7 to the anti-bias of b~0.5-1 at small <5/h Mpc scales at z=0. We find that
our results agree well with existing clustering data at different redshifts.
Particularly, we find an excellent agreement in both slope and the amplitude
between xi_hh(z=0) in our LCDM simulation and the galaxy correlation function
measured using the APM galaxy survey. At high redshifts, the observed
clustering of the Lyman-break galaxies is also well reproduced by the models.
The agreement with the data at high and low z indicates the general success of
the hierarchical models of structure formation in which galaxies form inside
the host DM halos. (Abridged)
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 02:48:55 GMT""}]","2009-10-30"
"astro-ph/9809203","Toshikazu Shigeyama","Toshikazu Shigeyama and Takuji Tsujimoto","Fossil Imprints of the First Generation Supernova Ejecta in Extremely
  Metal-Deficient Stars","6 pages, 4 figures, 1 table; Accepted for publication in the
  Astrophysical Journal Letters",,"10.1086/311699",,"astro-ph",,"  Using results of nucleosynthesis calculations for theoretical core-collapse
supernova models with various progenitor's masses, it is shown that abundance
patterns of C, Mg, Si, Ca, and H seen in extremely metal-deficient stars with
[Fe/H] < -2.5 follow those seen in the individual first generation supernova
remnants (SNRs). This suggests that most of the stars with [Fe/H] < -2.5 were
made from individual supernova (SN) events. To obtain the ratio of heavy
elements to hydrogen, a formula is derived to estimate the mass of hydrogen
swept up by a SNR when it occurs in the interstellar matter with the primordial
abundances. We use [Mg/H] to indicate the metallicities instead of [Fe/H]. The
metallicities [Mg/H] predicted from these SNRs range from ~-4 to ~-1.5 and the
mass of Mg in a SN is well correlated with its progenitor's mass. Thus the
observed [Mg/H] in an extremely metal deficient star has a correspondence to
the progenitor's mass. A larger [Mg/H] corresponds to a larger progenitor's
mass. Therefore, so called `age-metallicity relation' does not hold for stars
with [Fe/H] < -2.5. In contrast, the [Mg/Fe] ratios in the theoretical SNRs
have a different trend from those in extremely metal-deficient stars. It is
also shown that the observed trend of [Mg/Fe] can predict the Fe yield of each
SN given the correspondence of [Mg/H] to the progenitor's mass. The Fe yields
thus obtained are consistent with those derived from SN light curve analyses.
This indicates that there is still a problem in modelling a core-collapse
supernova at its beginning of explosion or mass cut.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 05:31:44 GMT""}]","2009-10-30"
"astro-ph/9809204","Atsushi Taruya","A.Taruya and J.Soda","Stochastic Biasing and Galaxy-Mass Density Relation in the Weakly
  Non-linear Regime","22 pages, 7 Encapusulated Postscript Figures, aastex, The title and
  the structure of the paper has been changed, Results and conclusions
  unchanged, Accepted for publication in ApJ","Astrophys.J. 522 (1999) 46-58","10.1086/307612","KUCP0122","astro-ph",,"  It is believed that the biasing of the galaxies plays an important role for
understanding the large-scale structure of the universe. In general, the
biasing of galaxy formation could be stochastic. Furthermore, the future galaxy
survey might allow us to explore the time evolution of the galaxy distribution.
In this paper, the analytic study of the galaxy-mass density relation and its
time evolution is presented within the framework of the stochastic biasing. In
the weakly non-linear regime, we derive a general formula for the galaxy-mass
density relation as a conditional mean using the Edgeworth expansion. The
resulting expression contains the joint moments of the total mass and galaxy
distributions. Using the perturbation theory, we investigate the time evolution
of the joint moments and examine the influence of the initial stochasticity on
the galaxy-mass density relation. The analysis shows that the galaxy-mass
density relation could be well-approximated by the linear relation. Compared
with the skewness of the galaxy distribution, we find that the estimation of
the higher order moments using the conditional mean could be affected by the
stochasticity. Therefore, the galaxy-mass density relation as a conditional
mean should be used with a caution as a tool for estimating the skewness and
the kurtosis.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 07:06:20 GMT""},{""version"":""v2"",""created"":""Thu, 1 Apr 1999 07:43:28 GMT""}]","2009-10-30"
"astro-ph/9809205","Carsten van de Bruck","U.S. Pandey (Bonn University, DDU Gorakhpur University), C. van de
  Bruck (Bonn University)","Gravitational instability and star formation in disk galaxies","10 pages, 3 figures, submitted to MNRAS",,"10.1046/j.1365-8711.1999.02474.x",,"astro-ph",,"  We present a general star formation law where star formation rate depends
upon efficiency $\alpha$, timescale $\tau$ of star formation, gas component
$\sigma_{g}$ of surface mass density and a real exponent $n$. A given exponent
$n$ determines $\tau$ which however yields the corresponding star formation
rate. Current nominal Schmidt exponent $n_{s}$ for our model is $2<n_{s}<3$.
Based on a gravitational instability parameter $Q_{A}$ and another
dimensionless parameter $f_{P}\equiv (P/G\sigma_{c}^{2})^{1/2}$, where $P$ =
pressure, $\sigma_{c}$ = column density of molecular clouds, we suggest a
general equation for star formation rate which depends upon relative competence
of the two parameters for various physical circumstances. We find that $Q_{A}$
emerges to be a better parameter for star formation scenario than Toomre
Q-parameter. Star formation rate in the solar neighbourhood is found to be in
good agreement with values inferred from previous studies. Under closed box
approximation model, we obtain a relation between metallicity of gas and the
efficiency of star formation. Our model calculations of metallicity in the
solar neighbourhood agree with earlier estimates. We conclude that metallicity
dispersion for stars of same age may result due to a change in efficiency
through which different sample stars were processed. For no significant change
of metallicity with age, we suggest that all sample stars were born with almost
similar efficiency.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 07:31:59 GMT""}]","2009-10-30"
