"adap-org/9809003","Sandeep Krishna","Sanjay Jain and Sandeep Krishna (Indian Institute of Science,
  Bangalore)","Autocatalytic Sets and the Growth of Complexity in an Evolutionary Model","13 pages REVTEX (including figures), 4 Postscript figures",,"10.1103/PhysRevLett.81.5684","IISc-CTS/9/98","adap-org cond-mat nlin.AO",,"  A model of $s$ interacting species is considered with two types of dynamical
variables. The fast variables are the populations of the species and slow
variables the links of a directed graph that defines the catalytic interactions
among them. The graph evolves via mutations of the least fit species. Starting
from a sparse random graph, we find that an autocatalytic set (ACS) inevitably
appears and triggers a cascade of exponentially increasing connectivity until
it spans the whole graph. The connectivity subsequently saturates in a
statistical steady state. The time scales for the appearance of an ACS in the
graph and its growth have a power law dependence on $s$ and the catalytic
probability. At the end of the growth period the network is highly non-random,
being localized on an exponentially small region of graph space for large $s$.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 05:02:32 GMT""}]","2009-10-30"
"astro-ph/9809201","Max Tegmark","Max Tegmark","Cosmological constraints from current CMB and SN 1a data: a brute force
  8 parameter analysis","4 pages, with 3 figs included. Revised to match accepted ApJL
  version. Links, data and color figs at
  http://www.sns.ias.edu/~max/9parframes.html or from max@ias.edu","Astrophys.J.514:L69-L72,1999","10.1086/311943",,"astro-ph",,"  We describe constraints on a ``standard'' 8 parameter open cold dark matter
(CDM) model from the most recent CMB and SN1a data. Our parameters are the
densities of CDM, baryons, vacuum energy and curvature, the reionization
optical depth, and the normalization and tilt for both scalar and tensor
fluctuations. We find that although the possibility of reionization and gravity
waves substantially weakens the constraints on CDM and baryon density, tilt,
Hubble constant and curvature, allowing e.g. a closed Universe, open models
with vanishing cosmological constant are still strongly disfavored.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 22:14:05 GMT""},{""version"":""v2"",""created"":""Tue, 2 Feb 1999 21:24:07 GMT""}]","2009-10-30"
"astro-ph/9809210","Carl J. Grillmair","Carl J. Grillmair (SIRTF Science Center), Duncan A. Forbes (University
  of Birmingham, U.K.), Jean P. Brodie (Lick Observatory), and Rebecca Elson
  (Institute of Astronomy, Cambridge)","HST Imaging of the Globular Clusters in the Fornax Cluster: Color and
  Luminosity Distributions","32 pages, incl. 2 JPEG figures, AAS LaTeX, to be published in the
  Astronomical Journal",,"10.1086/300661",,"astro-ph",,"  We examine the luminosity and B-I color distribution of globular clusters for
three early-type galaxies in the Fornax cluster using imaging data from the
Wide Field/Planetary Camera 2 on the Hubble Space Telescope. The luminosity
functions we derive are in most cases better than 50% complete down to B =
26.6. We find that the color distributions of globular clusters in the central
region of NGC 1399 and its nearby neighbor NGC 1404 are bimodal and
statistically indistinguishable. The metallicity spread, as inferred from the
color distributions in these two galaxies, is very similar to that of M 87. NGC
1399's luminosity function is also very similar to that of M 87, and comparing
their respective peak magnitudes indicates that the Fornax cluster is at very
nearly the same distance from the Local Group as is the Virgo cluster. From
this we derive H_0 = 82 +/- 8 km/s/Mpc, where the uncertainty reflects only the
effects of random errors. The number of unresolved objects we find at a
projected distance of 440 kpc from NGC 1399 is consistent with nothing more
than compact background galaxies, though the small field of view of the WFPC2
does not allow us to put strong constraints on the number of intergalactic
globular clusters. The luminosity function of objects detected around NGC 1316
is more nearly exponential than log-normal, and both the color and size
distribution of these objects distinguishes them from the clusters surrounding
NGC 1399. We suggest that these objects are more akin to old open clusters in
the Galaxy than they are to globular clusters in typical early-type galaxies.
","[{""version"":""v1"",""created"":""Thu, 17 Sep 1998 00:34:16 GMT""}]","2009-10-30"
"astro-ph/9809212","Maria Lugaro","Maria Lugaro, Roberto Gallino, Maurizio Busso, Sachiko Amari, Ernst
  Zinner","A New Astrophysical Interpretation of the Si and Ti Isotopic
  Compositions of Mainstream SiC Grains from Primitive Meteorites","4 pages, 2 figures, submitted for the Proceedins of the Fifth
  International Symposium on Nuclei in the Cosmos (Volos, Greece, 5-12 July
  1999, ed. N. Prantzos (Editions Frontieres, France), 1999",,,,"astro-ph",,"  Mainstream presolar SiC grains from primitive meteorites show a clear
s-process signature in the isotopic composition of heavy trace elements. These
grains most likely condensed in the winds of a variety of AGB stars. However,
the non-solar and correlated Si and Ti isotopic compositions measured in these
grains are inconsistent with a pure s-signature. We present a possible solution
to this much-discussed problem by assuming a spread in the original composition
of parent AGB stars due to small chemical inhomogeneities in the interstellar
medium at the time of their birth. These inhomogeneities may naturally arise
from variations in the contributions of each nuclide to the interstellar medium
by the relevant stellar nucleosynthetic sites, SNII and different subtypes of
SNIa.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 16:31:49 GMT""}]","2007-05-23"
"astro-ph/9809213","Zaggia Simone","M.D'Onofrio (1), M. Capaccioli (2,3), P. Merluzzi (2), S. Zaggia (2),
  J. Boulesteix (4). ((1) Dip. Astr., Univ. di Padova, (2) Oss. Astr. di
  Capodimonte, (3) Dip. di Sc. Fis., Univ. di Napoli, (4) Obs. de Marseille)","Structure and kinematics of the peculiar galaxy NGC 128","accepted for pubblication in A&A Suppl",,"10.1051/aas:1999147",,"astro-ph",,"  This is a multiband photometric and spectroscopic study of the peculiar S0
galaxy NGC128. We present results from broad (B and R) and narrow band optical
CCD photometry, near (NIR) and far (FIR) infrared observations, long slit
spectroscopy, and Fabry-Perot interferometry (CIGALE). The peculiar peanut
shape morphology of the galaxy is observed both at optical and near-infrared
wavelengths. The stellar disk is thick and distorted (arc-bended), with a color
asymmetry along the major axis due to the presence of a large amount of dust,
estimated through NIR and FIR data of ~6x10^6 M_sun, in the region of
interaction with the companion galaxy NGC127. The color maps are nearly uniform
over the whole galaxy, but for the major axis asymmetry, and a small gradient
toward the center indicating the presence of a redder disk-like component. The
H_alpha image indeed reveals the existence of a tilted gaseous ``disk'' around
the center, oriented with the major axis toward the companion galaxy NGC127.
Long slit and CIGALE data confirm the presence of gas in a disk-like component
counter-rotating and inclined approximately of 50 deg. to the line of sight.
The mass of the gas disk in the inner region is ~2.7x10^4 M_sun. The stellar
velocity field is cylindrical up to the last measured points of the derived
rotation curves, while the velocity dispersion profiles are typical for an S0
galaxy, but for an extended constant behaviour along the minor axis.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 16:51:41 GMT""}]","2009-10-30"
"astro-ph/9809214","Marc Kamionkowski","Marc Kamionkowski","Possible Relics from New Physics in the Early Universe: Inflation, the
  Cosmic Microwave Background, and Particle Dark Matter","32 pages LaTeX. Invited lectures given at ""The Early and Future
  Universe,"" the CCAST workshop, Beijing, China, June 22--27, 1998",,,"CU-TP-917, CAL-669","astro-ph hep-ph",,"  I review two different connections between particle theory and early-Universe
cosmology: (1) Cosmic-microwave-background (CMB) tests of inflation and (2)
particle dark matter. The inflationary predictions of a flat Universe and a
nearly scale-invariant spectrum of primordial density perturbations will be
tested precisely with forthcoming maps of the CMB temperature. A stochastic
gravitational-wave background may be probed with a map of the CMB polarization.
I also discuss some other uses of CMB maps. Particle theory has produced two
very well-motivated candidates for the dark matter in the Universe: an axion
and a supersymmetric particle. In both cases, there are a variety of
experiments afoot to detect these particles. I review the properties of these
dark-matter candidates and these detection techniques.
  Much of the material here has appeared before in astro-ph/9712215 and
hep-ph/9710467, but the article here is updated and also expanded considerably.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 18:01:19 GMT""}]","2007-05-23"
"astro-ph/9809215","Dr. E. J. Zita","E.J. Zita (The Evergreen State College, Olympia, WA)","A magnetic model for acoustic modes in roAp stars",,"ASP Conf.Ser. 135 (1998) 414",,,"astro-ph",,"  The mechanism for excitation of p-modes in rapidly oscillating, peculiar A
(roAp, or cool chemically peculiar, CP) stars is unknown. Observations strongly
suggest that acoustic modes in roAp stars are causally linked to the stars'
magnetic field. We propose that small fluctuations in the shape of the mean
magnetic field drive magnetosonic waves, which are observed as p-modes in these
stars.
  The dynamic edge region of roAp stars is a force-free spherical shell. When
strongly coupled to the magnetic field, a force-free plasma can oscillate about
a minimum in its mean magnetic energy. We describe the stable eigenmodes for
this energy minimum in a spherical shell with an open boundary. The
wavenumbers, frequencies, and energies of resulting oscillations are consistent
with observations of p-modes in roAp stars. Our magnetic model for p-mode
oscillations in stars does not invoke convection or opacity mechanisms. We also
suggest the possibility of a nonlinear dynamo for such magnetic stars, which
lack the convection needed for the usual (-( dynamo.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 18:46:05 GMT""}]","2007-05-23"
"astro-ph/9809216","Robin Corbet","Robin H.D. Corbet, John P. Finley & Andrew G. Peele","Evidence for a very slow X-ray pulsar in 2S0114+650 from RXTE All-Sky
  Monitor Observations","To be published in the Astrophysical Journal, 1999, volume 511. 9
  figures",,"10.1086/306727",,"astro-ph",,"  Rossi X-ray Timing Explorer (RXTE) All-Sky Monitor (ASM) observations of the
X-ray binary 2S0114+650 show modulations at periods close to both the optically
derived orbital period (11.591 days) and proposed pulse period (~ 2.7 hr). The
pulse period shows frequency and intensity variability during the more than 2
years of ASM observations analyzed. The pulse properties are consistent with
this arising from accretion onto a rotating neutron star and this would be the
slowest such period known. The shape of the orbital light curve shows
modulation over the course of the entire orbit and a comparison is made with
the orbital light curve of Vela X-1. However, the expected phase of eclipse,
based on an extrapolation of the optical ephemeris, does not correspond with
the observed orbital minimum. The orbital period derived from the ASM light
curve is also slightly longer than the optical period.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 18:49:25 GMT""}]","2009-10-30"
"astro-ph/9809217","Guest of David Koo","David C. Koo (UCO/Lick Observatory, UCSC)","Pre-DEIMOS Pilot Surveys for DEEP","4 pages, 1 Postscript figure, requires conf_iap.sty. To be published
  in Proceedings of 14th IAP Colloquium ""Wide Field Surveys in Cosmology""",,,,"astro-ph",,"  DEEP is a multi-institutional program designed to undertake a major
spectroscopic survey of 10,000+ field galaxies to I ~ 23 with a new instrument
(DEIMOS) on the Keck II 10-m telescope. The scientific goals include exploring
galaxy formation and evolution, mapping the large scale structure at moderate
to high redshifts, and constraining the nature and distribution of dark matter
and cosmology. DEEP is distinguished by securing spectra of sufficient quality
and resolution to extract rotation curves, velocity dispersions, age estimates,
and chemical abundances for a brighter subset of galaxies. While waiting for
DEIMOS to be operational in 1999, the first phase of DEEP science programs has
concentrated on LRIS observations of fields observed with HST. Recent
highlights include redshift and kinematic studies of compact galaxies, high
redshift (z ~ 3) galaxies, and distant spirals.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 18:53:12 GMT""}]","2007-05-23"
"astro-ph/9809218","Alice Quillen","A.C. Quillen, G.H. Rieke, M.J. Rieke, N. Caldwell, and C.W.
  Engelbracht","Mid-Infrared Emission from E+A Galaxies in the Coma Cluster","AAS Latex, accepted for publication in ApJ","Astrophys.J. 518 (1999) 632","10.1086/307307",,"astro-ph",,"  We have used ISO to observe at 12$\mu$m seven E+A galaxies plus an additional
emission line galaxy, all in the Coma cluster. E+A galaxies lacking narrow
emission lines have 2.2$\mu$m to 12$\mu$m flux density ratios or limits similar
to old stellar populations (typical of early-type galaxies). Only galaxies with
emission lines have enhanced 12$\mu$m flux density. Excess 12$\mu$m emission is
therefore correlated with the presence of on-going star formation or an active
galactic nucleus (AGN).
  By comparing the current star formation rates with previous rates estimated
from the Balmer absorption features, we divide the galaxies into two groups:
those for which star formation has declined significantly following a dramatic
peak $\sim$ 1 Gyr ago; and those with a significant level of ongoing star
formation or/and an AGN. There is no strong difference in the spatial
distribution on the sky between these two groups. However, the first group has
systemic velocities above the mean cluster value and the second group below
that value. This suggests that the two groups differ kinematically.
  Based on surveys of the Coma cluster in the radio, the IRAS sources, and
galaxies detected in H$\alpha$ emission, we sum the far infrared luminosity
function of galaxies in the cluster. We find that star formation in late type
galaxies is probably the dominant component of the Coma cluster far infrared
luminosity. The presence of significant emission from intracluster dust is not
yet firmly established. The member galaxies also account for most of the far
infrared output from nearby rich clusters in general.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 20:35:34 GMT""},{""version"":""v2"",""created"":""Mon, 11 Jan 1999 17:40:04 GMT""}]","2016-08-30"
"astro-ph/9809219","Gustavo A. Medina Tanco","Gustavo Medina Tanco (Inst.Astron.e Geof.-USP-Brasil & Univ.of
  Leeds-UK)","Ultra high-energy comic rays: probing the local Universe","16 text pages, 9 figures (jpg), 1 table (HTML version) To appear in
  ""Topics in cosmic-ray astrophysics,"" ed. M. A. DuVernois, Nova Scientific:
  New York, 1999",,,,"astro-ph",,"  A general view is presented on the problem of propagation of ultra
high-energy cosmic rays through the intergalactic and galactic magnetic fields.
Especial emphasis is given to the possibility of correlating the present events
with potential sources face to the uncertainties in the intervening magnetic
fields. Given high enough statistics, the latter problem can be transformed
into a powerful tool for the study of cosmic magnetic fields. Finally, the
three pairs of events pointed out by the AGASA collaboration as a possible
evidence for clustering are analyzed.
","[{""version"":""v1"",""created"":""Wed, 16 Sep 1998 21:13:29 GMT""}]","2009-09-25"
