"adap-org/9810002","Gafiychuk","I.A.Lubshevsky, V.V.Gafiychuk, M.G.Keijan","Nonlinear theory of autooscillations of quasiplanar interface during
  directional solidification","17 pages, 10 figures, REVTEX",,,,"adap-org nlin.AO",,"  Within the framework of the frozen temperature approximation we develop a
strongly-nonlinear theory of one-dimensional pattern formation during
directional solidification of binary mixture under nonequilibrium segregation.
In the case of small partition coefficient the full problem is reduced to the
system of two ordinary differential equations describing the interface motion
in terms of its velocity and position coordinate. The type of the oscillatory
instability bifurcation is studied in detail in different limits. For the
subcrytical bifurcaton relaxation interface oscillations are analyzed
analytically and numerically. We show that these oscillation exibit a number of
anomalous properies. In particular, such oscillations can be weakly- or
strongly-dissipative depending on the physical parameters and the amplitude of
the strongly-dissipative oscillations is determined not only by the form of the
corresponding nullcline but also by the behavior of the system for small values
of the interface velocity. Characteristic parameters of the superlattice
occuring in the growing crystal are estimated.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 11:22:47 GMT""}]","2007-05-23"
"astro-ph/9810055","Matthew A. Malkan","Matthew A. Malkan","Review: Understanding Galaxy Formation and Evolution with Long
  Wavelength Observations","10 pages of latex text, 4 figures and 1 table, to appear in the ASP
  Proceedings of ""Astrophysics with Infrared Arrays: A Prelude to SIRTF""","ASP Conf.Ser. 177 (1999) 12",,,"astro-ph",,"  It is well established in the local Universe that regions of high
star-formation rate are dusty. As a result of this physical causal link,
galaxies of increasing current star formation activity emit a larger proportion
of their bolometric luminosity via dust absorption and re-radiation in the
thermal mid- to far-infrared. Several new observations indicate that this trend
continues back to earlier cosmic times, when star formation rates were very
high, and a large fraction of the resulting UV power was reprocessed by dust
into the infrared. For studying the more luminous, (and therefore more dusty)
galaxies, infrared spectroscopy is crucial even at moderate redshifts. For the
less dusty galaxies, we are still driven strongly to longer wavelengths as
their redshifts increase from 5 to 10. On the observational side, infrared
astronomy is about to start catching up with optical astronomy in sensitivity,
spatial resolution and field-of-view. Therefore, long-wavelength observations
will play the key role in our understanding of galaxy formation and evolution
in the ``Immature Universe.""
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 23:41:32 GMT""}]","2007-05-23"
"astro-ph/9810060","Pascarelle","Sebastian M. Pascarelle, Kenneth M. Lanzetta (SUNY Stony Brook), and
  Alberto Fernandez-Soto (University of New South Wales)","The Ultraviolet Luminosity Density of the Universe from Photometric
  Redshifts of Galaxies in the Hubble Deep Field","12 pages, 2 figures, LaTeX style file included, accepted for
  publication in ApJ Letters, vol. 508, November 10",,,"SUNYSB-1988-1","astro-ph",,"  Studies of the Hubble Deep Field (HDF) and other deep surveys have revealed
an apparent peak in the ultraviolet (UV) luminosity density, and therefore the
star-formation rate density, of the Universe at redshifts 1<z<2. We use
photometric redshifts of galaxies in the HDF to determine the comoving UV
luminosity density and find that, when errors (in particular, sampling error)
are properly accounted for, a flat distribution is statistically
indistinguishable from a distribution peaked at z~1.5. Furthermore, we examine
the effects of cosmological surface brightness (SB) dimming on these
measurements by applying a uniform SB cut to all galaxy fluxes after correcting
them to redshift z=5. We find that, comparing all galaxies at the same
intrinsic surface brightness sensitivity, the UV luminosity density contributed
by high intrinsic SB regions increases by almost two orders of magnitude from
z~0 to z~5. This suggests that there exists a population of objects with very
high star formation rates at high redshifts that apparently do not exist at low
redshifts. The peak of star formation, then, likely occurs somewhere beyond
z>2.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 00:00:37 GMT""}]","2007-05-23"
"astro-ph/9810065","Dey Mira","Mira Dey, Ignazio Bombaci, Jishnu Dey, Subharthi Ray and B. C. Samanta","Strange Stars with Realistic Quark Vector Interaction and
  Phenomenological Density-dependent Scalar Potential","11 Pages, 2 figures, On-line abstract changed and full reference
  given instead of tex- type. E-mail : bombaci@pi.infn.it,
  deyjm@giascl01.vsnl.net.in, Physics Letters B (in press)","Phys.Lett. B438 (1998) 123-128; Addendum-ibid. B447 (1999) 352-353","10.1016/S0370-2693(98)00935-6",,"astro-ph hep-ph nucl-th",,"  We derive an equation of state (EOS) for strange matter, starting from an
interquark potential which (i) has asymptotic freedom built into it, (ii) shows
confinement at zero baryon density and deconfinement at high density and (iii)
gives a stable configuration for chargeless, beta--stable quark matter. This
EOS is then used to calculate the structure of Strange Stars, and in particular
their mass-radius relation. Our present results confirm and reinforce the
recent claim by Li et al (Astron. and Astrophys. 303 (1995) L1) and Bombaci
(Phys.Rev. C55 (1997) 1587) that the compact objects associated with the x-ray
pulsar Her X-1, and with the x-ray burster 4U 1820-30 are strange stars.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 16:07:22 GMT""},{""version"":""v2"",""created"":""Tue, 6 Oct 1998 10:39:50 GMT""}]","2009-10-31"
"astro-ph/9810066","bernardi","Mariangela Bernardi, Alvio Renzini, Luiz N. da Costa, Gary Wegner, M.
  Victoria Alonso, Paulo S. Pellegrini, Charles Rit\'e, Christopher, N.A.
  Willmer","Cluster vs. Field Elliptical Galaxies and Clues on their Formation","16 pages, 2 figures, accepted for publication in the ApJ.L",,"10.1086/311742",,"astro-ph",,"  Using new observations for a sample of 931 early-type galaxies we investigate
whether the \mg2--\so relation shows any dependence on the local environment.
The galaxies have been assigned to three different environments depending on
the local overdensity: clusters, groups, and field, having used our
completeredshift database to guide the assignment of galaxies. It is found that
cluster, group and field early-type galaxies follow almost identical \mg2--\so\
relations, with the largest \mg2 zero-point difference (clusters minus field)
being only $0.007\pm 0.002$ mag. No correlation of the residuals is found with
the morphological type or the bulge to disk ratio. Using stellar population
models in a differential fashion, this small zero-point difference implies a
luminosity-weighted age difference of only $\sim 1$ Gyr between the
corresponding stellar populations, with field galaxies being younger. The
mass-weighted age difference could be significantly smaller, if minor events of
late star formation took place preferentially in field galaxies. We combine
these results with the existing evidence for the bulk of stars in cluster
early-type galaxies having formed at very high redshift, and conclude that the
bulk of stars in galactic spheroids had to form at high redshifts ($z\gsim 3$),
no matter whether such spheroids now reside in low or high density regions. The
cosmological implications of these findings are briefly discussed.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 16:37:46 GMT""}]","2016-08-30"
"astro-ph/9810067","Delores Lucero","Robert Antonucci","Constraints on Disks Models of The Big Blue Bump from UV/Optical/IR
  Observations","11 pages",,,"UCSB-AP-98-003","astro-ph",,"  Optical/UV observations provide many constraints on accretion disk models of
AGN which aren't always appreciated by modelers of the X-ray emission (or
sometimes even of the optical/UV emission). The spectral behavior at the Ly
edge, the polarization, the continuum slopes and breaks, and the variability
timescales and phasing all conflict with simple models and strongly constrain
the more Baroque ones. Partial-covering absorbers and microlensing data suggest
that the radiation is not released simply according to where the potential drop
(modified by standard viscous transport) takes place. On the other hand, the
orientation-based unified model is in accord with the K-\alpha inclination
distributions for the AGN spectral classes, basing the latter on the limited
existing data and theoretical understanding.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 19:24:36 GMT""}]","2007-05-23"
"astro-ph/9810068","Hara Papathanassiou","H. Papathanassiou (SISSA)","Probing the Emission Sites of GRBs","4 pages, submitted to Proc. of the 3rd INTEGRAL Workshop: The Etxreme
  Universe",,,,"astro-ph",,"  I present a computationally efficient way to account for synchrotron and its
inverse Compton scattered emission along with the resulting radiative losses,
in a self-consistent way, for a relativistic distribution of electrons
continuously injected in an expanding region. This approach permits the
exploration of the wide parameter space of the physical processes in a shock. I
apply it to the picture of ``internal shocks'' for the description of Gamma Ray
Bursts. I use the properties of the time-integrated spectra as defined mainly
by observations by BATSE, EGRET, and Ginga to impose constrains on the
parameter space. I discuss the corresponding shock properties and one of the
ways in which INTEGRAL can provide further insight.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 19:41:03 GMT""}]","2007-05-23"
"astro-ph/9810069","Dennis Zaritsky","Dennis Zaritsky","The Mass and Extent of the Galactic Halo","Invited Review for The Third Stromlo Symposium: The Galactic Halo 12
  pages, 3 figures",,,,"astro-ph",,"  We review the various techniques used to constrain the Galactic halo mass
profile for radii > 20 kpc with particular emphasis on identifying a
self-consistent halo model and resolving the apparent discrepancies present in
the literature on this subject. We collate published results and demonstrate
that they are all consistent with a Galactic halo that is nearly isothermal
with a characteristic velocity of 180 to 220 km/sec and an extent >~ 200 kpc.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 21:21:25 GMT""}]","2007-05-23"
"astro-ph/9810070","Mario Mateo","Mario Mateo","Dwarf Galaxies of the Local Group","66 pages; 9 figures; 8 tables","Ann.Rev.Astron.Astrophys.36:435-506,1998","10.1146/annurev.astro.36.1.435",,"astro-ph",,"  The Local Group (LG) dwarf galaxies offer a unique window to the detailed
properties of the most common type of galaxy in the Universe. In this review, I
update the census of LG dwarfs based on the most recent distance and radial
velocity determinations. I then discuss the detailed properties of this sample,
including (a) the integrated photometric parameters and optical structures of
these galaxies, (b) the content, nature and distribution of their ISM, (c)
their heavy-element abundances derived from both stars and nebulae, (d) the
complex and varied star-formation histories of these dwarfs, (e) their internal
kinematics, stressing the relevance of these galaxies to the dark-matter
problem and to alternative interpretations, and (f) evidence for past, ongoing
and future interactions of these dwarfs with other galaxies in the Local Group
and beyond. To complement the discussion and to serve as a foundation for
future work, I present an extensive set of basic observational data in tables
that summarize much of what we know, and what we still do not know, about these
nearby dwarfs. Our understanding of these galaxies has grown impressively in
the past decade, but fundamental puzzles remain that will keep the Local Group
at the forefront of galaxy evolution studies for some time.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 21:32:43 GMT""}]","2008-11-26"
"astro-ph/9810071","John E. Gizis","J. E. Gizis, I. N. Reid","M Subdwarfs: The Population II Luminosity Function","34 pages inc. 10 figures. To appear in January 1999 Astronomical
  Journal",,"10.1086/300709",,"astro-ph",,"  We present results of a study of very low mass halo stars. Using a sample of
proper motion stars identified from plate material taken as part of the first
and second Palomar Sky Surveys, we measure the space density, metallicity
distribution, and kinematics of the Population II M subdwarfs. Our overall
luminosity function is in good agreement with previous analyses of the space
density of nearby very-low-mass halo subdwarfs, and confirms the discrepancy
between local analyses and the space densities inferred from deep HST
starcounts. We show for the first time that both the metallicity distribution
and kinematics of late-type halo subdwarfs are consistent with those of their
higher mass metal-poor counterparts. Dividing our sample by abundance, we find
no evidence that the mass function of field halo stars is dependent upon
metallicity. We provide data for three nearby subdwarfs that may merit
additional observations.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 21:41:48 GMT""}]","2009-10-31"
"astro-ph/9810072","Dmitry Pogosyan","D. Pogosyan, J. R. Bond, L. Kofman (CITA) and J. Wadsley (UWash)","Cosmic Web: Origin and Observables","6 pages, LaTeX, 5 figures, uses conf_iap.sty To appear in Proceedings
  of the XIV IAP Colloquium ""Wide Field Surveys in Cosmology"", eds. S. Colombi
  and Y. Mellier, Paris, May 26-30 1998. Text and colour figures also available
  at ftp://ftp.cita.utoronto.ca/pogosyan/cita-98-39",,,"CITA-98-39","astro-ph",,"  Simple analytic arguments are used to understand the predominantly
filamentary web in the large-scale distribution of galaxies. Numerical
simulations of superclusters are performed to assess the feasibility of
directly mapping the intracluster webbing, in particular with weak
gravitational lensing using Wide Field Cameras.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 23:07:08 GMT""}]","2007-05-23"
"astro-ph/9810073","Mark S. Marley","M. S. Marley, C. Gelino, D. Stephens, J. Lunine, R. Freedman","Reflected Spectra and Albedos of Extrasolar Giant Planets I: Clear and
  Cloudy Atmospheres","AASTeX; 23 pages, 2 tables, 18 figures; ApJ in press; typo fixed",,"10.1086/306881","PG-98-01","astro-ph",,"  The reflected spectra of extrasolar giant planets are primarily influenced by
Rayleigh scattering, molecular absorption, and atmospheric condensates. We
present model geometric albedo and phase integral spectra and Bond albedos for
planets and brown dwarfs with masses between 0.8 and 70 Jupiter masses.
Rayleigh scattering predominates in the blue while molecular absorption removes
most red and infrared photons. Thus cloud-free atmospheres, found on giant
planets with effective temperatures exceeding about 400 K, are quite dark in
reflected light beyond 0.6 microns. In cooler atmospheres first water clouds
and then other condensates provide a bright reflecting layer. Only planets with
cloudy atmospheres will be detectable in reflected light beyond 1 micron.
Thermal emission dominates the near-infrared for warm objects with clear
atmospheres. However the presence of other condensates, not considered here,
may brighten some planets in reflected near-infrared light and darken them in
the blue and UV. Bond albedos, the ratio of the total reflected to incident
power, are sensitive to the spectral type of the primary. Most incident photons
from early type stars will be Rayleigh scattered, while most incident photons
from late type stars will be absorbed. The Bond albedo of a given planet thus
may range from 0.4 to 0.05, depending on the primary type. Condensation of a
water cloud increases the Bond albedo of a given planet by up to a factor of
two. The spectra of cloudy planets are strongly influenced by poorly
constrained cloud microphysical properties, particularly particle size and
supersaturation. Both Bond and geometric albedos are comparatively less
sensitive to variations in planet mass and effective temperature.
","[{""version"":""v1"",""created"":""Mon, 5 Oct 1998 23:15:23 GMT""},{""version"":""v2"",""created"":""Tue, 6 Oct 1998 22:38:46 GMT""}]","2009-10-31"
"astro-ph/9810074","Paolo Padoan","AAke Nordlund & Paolo Padoan","Density PDFs of Super-Sonic Turbulence","Interstellar Turbulence, Proceedings of the second Guillermo Haro
  Conference, held in Puebla, Mexico, Jan, 12-16, 1998, Eds.: Franco, J.;
  Carraminana, A., Cambridge University Press",,,,"astro-ph",,"  The question of the shape of the density PDF for supersonic turbulence is
addressed, using both analytical and numerical methods. For isothermal
supersonic turbulence, the PDF is Log-Normal, with a width that scales
approximately linearly with the Mach number. For a polytropic equation of
state, with an effective gamma smaller than one, the PDF becomes skewed and
reminiscent of (but not equal to) a power law on the high density side.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 03:27:34 GMT""}]","2007-05-23"
"astro-ph/9810077","Joern Wilms","J. Wilms (1), M. A. Nowak (2), J. B. Dove (3), K. Pottschmidt (1), W.
  A. Heindl (4), M. C. Begelman (2), R. Staubert (1) ((1) Institute for
  Astronomy and Astrophysics, Tuebingen, Astronomy, (2) JILA, University of
  Colorado, (3) CASA, University of Colorado, (4) CASS, University of
  California at San Diego)","RXTE Observations of LMC X-1 and LMC X-3","4 pages, 5 figures, also available at
  http://aitzu3.ait.physik.uni-tuebingen.de/publications/preprints1998.html to
  be published in ""Highlights of X-Ray Astronomy, a symposium in honour of
  Joachim Truemper"" (B. Aschenbach et al., eds.), MPE Report",,,,"astro-ph",,"  Of all known persistent stellar-mass black hole candidates, only LMC X-1 and
LMC X-3 consistently show spectra that are dominated by a soft, thermal
component. We present results from long (170ksec) Rossi X-ray Timing Explorer
(RXTE) observations of LMC X-1 and LMC X-3 made in 1996 December. The spectra
can be described by a multicolor disk blackbody plus an additional high-energy
power-law. Even though the spectra are very soft (Gamma is about 2.5), RXTE
detected a significant signal from LMC X-3 up to energies of 50keV, the hardest
energy at which the object was ever detected.
  Focusing on LMC X-3, we present results from the first year of an ongoing
monitoring campaign with RXTE which started in 1997 January. We show that the
appearance of the object changes considerably over its ~200d long cycle. This
variability can either be explained by periodic changes in the mass transfer
rate or by a precessing accretion disk analogous to Her X-1.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 07:09:39 GMT""}]","2007-05-23"
"astro-ph/9810078","Reuven Ramaty","Reuven Ramaty (NASA/GSFC) and Richard Lingenfelter (UCSD)","Early Galactic Li, Be and B: Implications on Cosmic Ray Origin","latex 11 pages, 4 eps figures (included), uses aaspp4.sty. To appear
  in 'Topics in Cosmic Ray Astrophysics', ed. M. DuVernois, Nova Scientific:
  New York, 1999",,,,"astro-ph",,"  Be abundances of old, low metallicity halo stars have major implications on
cosmic-ray origin, requiring acceleration out of fresh supernova ejecta. The
observed, essentially constant Be/Fe fixes the Be production per SNII, allowing
the determination of the energy supplied to cosmic rays per SNII. The results
rule out acceleration out of the metal-poor ISM, and favor Be production at all
epochs of Galactic evolution by cosmic rays having the same spectrum and source
composition as those at the current epoch. Individual supernova acceleration of
its own nucleosynthetic products and the collective acceleration by SN shocks
of ejecta-enriched matter in the interiors of superbubbles have been proposed
for such origin. The supernova acceleration efficiency is about 2% for the
refractory metals and 10% for all the cosmic rays.
","[{""version"":""v1"",""created"":""Tue, 6 Oct 1998 08:51:03 GMT""}]","2007-05-23"
