"astro-ph/9810197","Katherine Blundell","Katherine M. Blundell, Steve Rawlings and Chris J. Willott (Oxford)","The Nature and Evolution of Classical Double Radio Sources from Complete
  Samples","48 pages, 19 figures, uses aas2pp4.sty. To appear in AJ. Also
  available at http://www-astro.physics.ox.ac.uk/~kmb References updated and
  minor typos corrected","Astron.J.117:677-706,1999","10.1086/300721",,"astro-ph",,"  We present a study of the trends in luminosity, linear size, spectral index,
and redshift of classical double radio sources from three complete samples
selected at successively fainter low radio-frequency flux-limits. We have been
able to decouple the effects of the tight correlation between redshift and
luminosity (inherent in any single flux-limited sample) which have hitherto
hindered interpretation of the relationships between these four source
properties. The major trends found are that (i) spectral indices increase with
linear size, (ii) rest-frame spectral indices have a stronger dependence on
luminosity than on redshift except at high (GHz) frequencies, and that (iii)
the linear sizes are smaller at higher redshifts. We reproduce the observed
dependences in a model for radio sources (born throughout cosmic time according
to a radio-source birth function) whose lobes are fed with a
synchrotron-emitting population (whose energy distribution is governed by
compact hotspots), and which suffer inverse Compton, synchrotron and adiabatic
expansion losses. In simulating the basic observed dependences, we find that
there is no need to invoke any systematic change in the environments of these
objects with redshift if the consequences of imposing a survey flux-limit on
our simulated datasets are properly included in the model. We present evidence
that for a radio survey there is an unavoidable `youth--redshift degeneracy',
even though radio sources are short-lived relative to the age of the Universe;
it is imperative to take this into account in studies which seemingly reveal
correlations of source properties with redshift such as the `alignment effect'.
","[{""version"":""v1"",""created"":""Tue, 13 Oct 1998 23:23:11 GMT""},{""version"":""v2"",""created"":""Thu, 15 Oct 1998 23:50:42 GMT""}]","2010-04-06"
"astro-ph/9810199","Jocelyn Bezecourt","J. Bezecourt (1, 2) J.P. Kneib (1) G. Soucail (1) T.M.D. Ebbels (3)
  ((1) Observatoire Midi-Pyrenees, Toulouse, France (2) Kapteyn Institute,
  Groningen, The Netherlands (3) Institute of Astronomy, Cambridge, UK)","Lensed galaxies in Abell 370 I. Modeling the number counts and redshift
  distribution of background sources","10 pages, Astronomy and Astrophysics in press",,,,"astro-ph",,"  We present new observations of the cluster-lens Abell 370: a deep HST/WFPC2
F675W image and ESO 3.6m spectroscopy of faint galaxies. These observations
shade new lights on the statistical properties of faint lensed galaxies. In
particular, we spectroscopically confirm the multiple image nature of the
B2--B3 gravitational pair (Kneib et al. 1993), and determine a redshift of
z=0.806 which is in very good agreement with earlier predictions. A refined
mass model of the cluster core (that includes cluster galaxy halos) is
presented, based on a number of newly identified multiple images. Following
Bezecourt et al. (1998a), we combine the new cluster mass model with a
spectrophotometric prescription for galaxy evolution to predict the arclets
number counts and redshift distribution in the HST image. In particular, the
ellipticity distribution of background sources is taken into account, in order
to properly estimate the statistical number and redshift distribution of
arclets. We show that the redshift distribution of arclets, and particularly
its high redshift tail can be used as a strong constraint to disentangle
different galaxy evolution scenario. A hierarchical model which includes a
number density evolution is favored by our analysis. Finally, we compute the
depletion curves in the faint galaxies number counts and discuss its wavelength
dependence.
","[{""version"":""v1"",""created"":""Tue, 13 Oct 1998 16:18:05 GMT""},{""version"":""v2"",""created"":""Mon, 26 Apr 1999 16:06:15 GMT""}]","2009-09-25"
"astro-ph/9810200","Aled Wynne Jones","MP Hobson, AW Jones and AN Lasenby","Wavelet analysis and the detection of non-Gaussianity in the CMB","14 pages, 12 figures, submitted to MNRAS",,"10.1046/j.1365-8711.1999.02824.x",,"astro-ph",,"  We investigate the use of wavelet transforms in detecting and characterising
non-Gaussian structure in maps of the cosmic microwave background (CMB). We
apply the method to simulated maps of the Kaiser-Stebbins effect due to cosmic
strings onto which Gaussian signals of varying amplitudes are superposed. We
find the method significantly outperforms standard techniques based on
measuring the moments of the pixel temperature distribution. We also compare
the results with those obtained using techniques based on Minkowski
functionals, and we again find the wavelet method to be superior. In
particular, using the wavelet technique, we find that it is possible to detect
non-Gaussianity even in the presence of a superposed Gaussian signal with five
times the rms amplitude of the original cosmic string map. We also find that
the wavelet technique is useful in characterising the angular scales at which
the non-Gaussian signal occurs.
","[{""version"":""v1"",""created"":""Tue, 13 Oct 1998 16:27:55 GMT""}]","2009-10-31"
"astro-ph/9810201","Jose M. Solanes","E. Salvador-Sole (UB, Spain), A. Manrique (UB, Spain), and J.M.
  Solanes (URV, Spain)","The Growth of Dark-Matter Halos. The Effects of Accretion and Mergers","8 pages, 2 figures. To appear in `Observational Cosmology: The
  development of galaxy systems', eds. G. Giuricin, et al., PASP Conference
  Series",,,,"astro-ph",,"  High resolution cosmological N-body simulations show that the density
profiles of dark matter halos in hierarchical cosmogonies are universal, with
low mass halos typically denser than more massive ones. This mass-density
correlation is interpreted as reflecting the earlier formation of less massive
objects. We investigate this hypothesis in the light of formation times defined
as the epoch at which halos experience their last major merger. We find that
the characteristic density and the scale radius of halos are essentially
proportional, respectively, to the critical density of the universe and the
virial radius at the time of their formation. These two relations are
consistent with the following simple evolutionary picture. Violent relaxation
caused by major mergers rearrange the structure of halos leading to a universal
dimensionless density profile. Between major mergers, halos gradually grow
through the accretion of surrounding layers by keeping the central part steady
and only expanding their virial radius as the critical density of the universe
diminishes.
","[{""version"":""v1"",""created"":""Tue, 13 Oct 1998 16:48:31 GMT""}]","2007-05-23"
"astro-ph/9810202","Bruce Margon","Bruce Margon and Eric W. Deutsch (University of Washington)","The Meinunger ""Nicht Rote"" Objects","Accepted for publication in Publications of the Astronomical Society
  of the Pacific, Volume 111, January 1999; 14 pages including 4 figures and 1
  table","Publ.Astron.Soc.Pac. 111 (1999) 45","10.1086/316297",,"astro-ph",,"  Four high-latitude slow variable stars have been noted by Meinunger (1972) as
""nicht rote"" (""not red"") objects and thus curious. We have previously reported
(Margon & Deutsch 1997) that one of these objects, CC Boo, is in fact a QSO.
Here we present observations demonstrating that the remaining three are also
highly variable active galactic nuclei. The most interesting object of the four
is perhaps S 10765 (= NGP9 F324-0276706), which proves to be a resolved galaxy
at z=0.063. Despite the rapid and large reported variability amplitude (~1.6
mag), the spectrum is that of a perfectly normal galaxy, with no emission lines
or evident nonthermal continuum. We also present new spectroscopic and
photometric observations for AR CVn, suggested by Meinunger to be an RR Lyrae
star despite its very faint magnitude (<B>=19.4). The object is indeed one of
the most distant RR Lyrae stars known, at a galactocentric distance of ~40 kpc.
","[{""version"":""v1"",""created"":""Tue, 13 Oct 1998 17:46:42 GMT""}]","2009-10-31"
"astro-ph/9810203","Richard Battye","R.A. Battye and J. Weller","Cosmic structure formation in Hybrid Inflation models","22 Pages","Phys.Rev.D61:043501,2000","10.1103/PhysRevD.61.043501","DAMTP-1998-139","astro-ph",,"  A wide class of inflationary models, known as Hybrid Inflation models, may
produce topological defects during a phase transition at the end of the
inflationary epoch. We point out that, if the energy scale of these defects is
close to that of Grand Unification, then their effect on cosmic structure
formation and the generation of microwave background anisotropies cannot be
ignored. Therefore, it is possible for structure to be seeded by a combination
of the adiabatic perturbations produced during inflation and active
isocurvature perturbations produced by defects. Since the two mechanisms are
uncorrelated the power spectra can be computed by a weighted average of the
individual contributions. We investigate the possible observational
consequences of this with reference to general Hybrid Inflation models and also
a specific model based on Supergravity. These mixed perturbation scenarios have
some novel observational consequences and these are discussed qualitatively.
","[{""version"":""v1"",""created"":""Tue, 13 Oct 1998 18:30:37 GMT""}]","2009-12-30"
"astro-ph/9810204","Michael A. K. Gross","Joel R. Primack (Santa Cruz), Michael A. K. Gross (Goddard Space
  Flight Center)","Cold + Hot Dark Matter After Super-Kamiokande","8 pages, Latex+blois.sty+psfig.sty, including 2 inlined postscript
  figures. To be published in the proceedings of the Xth Rencontres de Blois,
  ""The Birth of Galaxies"", 28 June - 4 July 1998. A computational error has
  been corrected, leading to substantial corrections to the figures but
  relatively minor corrections to the implications",,,,"astro-ph hep-ph",,"  The recent atmospheric neutrino data from Super-Kamiokande provide strong
evidence of neutrino oscillations and therefore of non-zero neutrino mass.
These data imply a lower limit on the hot dark matter (i.e., light neutrino)
contribution to the cosmological density $\Omega_\nu >~ 0.001$ --- almost as
much as that of all the stars in the universe --- and permit higher
$\Omega_\nu$. The ``standard'' COBE-normalized critical-matter-density (i.e.,
$\Omega_m=1$) Cold Dark Matter (CDM) model has too much power on small scales.
But adding to CDM neutrinos with mass of about 5 eV, corresponding to
$\Omega_\nu \approx 0.2$, results in a much improved fit to data on the nearby
galaxy and cluster distribution. Indeed, the resulting Cold + Hot Dark Matter
(CHDM) cosmological model is arguably the most successful $\Omega_m=1$ model
for structure formation. However, other recent data has begun to make the case
for $\Omega_m <~ 0.6$ fairly convincing. In light of all this new data, we
reconsider whether cosmology still provides evidence favoring neutrino mass of
a few eV in flat models with cosmological constant $\Omega_\Lambda = 1 -
\Omega_m$. We find that the possible improvement of the low-$\Omega_m$ flat
(LCDM) cosmological models with the addition of light neutrinos appears to be
rather limited.
","[{""version"":""v1"",""created"":""Tue, 13 Oct 1998 20:32:31 GMT""},{""version"":""v2"",""created"":""Fri, 16 Oct 1998 11:07:09 GMT""},{""version"":""v3"",""created"":""Mon, 19 Oct 1998 13:54:27 GMT""},{""version"":""v4"",""created"":""Tue, 15 Dec 1998 14:25:38 GMT""}]","2007-05-23"
"astro-ph/9810205",,"E. Gaztanaga, J. Barriga, A. Romeo, P. Fosalba, E. Elizalde","Data compression on board the PLANCK Satellite Low Frequency Instrument:
  optimal compression rate","LaTeX file, To appear in Proceedings of the UIMP98 workshop ""The CMB
  and the Planck Mission"" in Santander",,,,"astro-ph",,"  Data on board the future PLANCK Low Frequency Instrument (LFI), to measure
the Cosmic Microwave Background (CMB) anisotropies, consist of $N$ differential
temperature measurements, expanding a range of values we shall call $R$.
Preliminary studies and telemetry allocation indicate the need of compressing
these data by a ratio of $c_r \simgt 10$. Here we present a study of entropy
for (correlated multi-Gaussian discrete) noise, showing how the optimal
compression $c_{r,opt}$, for a linearly discretized data set with
$N_{bits}=\log_2{N_{max}}$ bits is given by: $c_r \simeq
{N_{bits}/\log_2(\sqrt{2\pi e} ~\sigma_e/\Delta)}$, where $\sigma_e\equiv (det
C)^{1/2N}$ is some effective noise rms given by the covariance matrix $C$ and
$\Delta \equiv R / N_{max}$ is the digital resolution. This $\Delta$ only needs
to be as small as the instrumental white noise RMS: $\Delta \simeq \sigma_T
\simeq 2 mK$ (the nominal $\mu K$ pixel sensitivity will only be achieved after
averaging). Within the currently proposed $N_{bits}=16$ representation, a
linear analogue to digital converter (ADC) will allow the digital storage of a
large dynamic range of differential temperature $R= N_{max} \Delta $ accounting
for possible instrument drifts and instabilities (which could be reduced by
proper on-board calibration). A well calibrated signal will be dominated by
thermal (white) noise in the instrument: $\sigma_e \simeq \sigma_T$, which
could yield large compression rates $c_{r,opt} \simeq 8$. This is the maximum
lossless compression possible. In practice, point sources and $1/f$ noise will
produce $\sigma_e > \sigma_T$ and $c_{r,opt} < 8$. This strategy seems safer
than non-linear ADC or data reduction schemes (which could also be used at some
stage).
","[{""version"":""v1"",""created"":""Tue, 13 Oct 1998 23:37:19 GMT""}]","2007-05-23"
"astro-ph/9810206","Tomonori Totani","Tomonori Totani (Tokyo Univ.)","TeV Burst of Gamma-Ray Bursts and Ultra High Energy Cosmic Rays","Final version to appear in ApJ Lett. Emphasizing that the extremely
  large energy required in this model is not theoretically impossible if GRB
  emission is strongly beamed. References updated",,"10.1086/311772",,"astro-ph hep-ph",,"  Some recent experiments detecting very high energy (VHE) gamma-rays above
10-20 TeV independently reported VHE bursts for some of bright gamma-ray bursts
(GRBs). If these signals are truly from GRBs, these GRBs must emit a much
larger amount of energy as VHE gamma-rays than in the ordinary photon energy
range of GRBs (keV-MeV). We show that such extreme phenomena can be reasonably
explained by synchrotron radiation of protons accelerated to \sim 10^{20-21}
eV, which has been predicted by Totani (1998a). Protons seem to carry about
(m_p/m_e) times larger energy than electrons, and hence the total energy
liberated by one GRB becomes as large as \sim 10^{56} (\Delta \Omega / 4 \pi)
ergs. Therefore a strong beaming of GRB emission is highly likely. Extension of
the VHE spectrum beyond 20 TeV gives a nearly model-independent lower limit of
the Lorentz factor of GRBs, as $\gamma \gtilde 500$. Furthermore, our model
gives the correct energy range and time variability of ordinary keV-MeV
gamma-rays of GRBs by synchrotron radiation of electrons. Therefore the VHE
bursts of GRBs strongly support the hypothesis that ultra high energy cosmic
rays observed on the Earth are produced by GRBs.
","[{""version"":""v1"",""created"":""Wed, 14 Oct 1998 04:50:10 GMT""},{""version"":""v2"",""created"":""Wed, 25 Nov 1998 12:06:32 GMT""}]","2009-10-31"
"astro-ph/9810207","Tomonori Totani","Tomonori Totani (Tokyo Univ.)","Gamma-Ray Bursts, Ultra High Energy Cosmic Rays, and Cosmic Gamma-Ray
  Background","Accepted version by Astroparticle Physics, after some revisions","Astropart.Phys. 11 (1999) 451-455","10.1016/S0927-6505(99)00069-9",,"astro-ph hep-ph",,"  We argue that gamma-ray bursts (GRBs) may be the origin of the cosmic
gamma-ray background radiation observed in GeV range. It has theoretically been
discussed that protons may carry a much larger amount of energy than electrons
in GRBs, and this large energy can be radiated in TeV range by synchrotron
radiation of ultra-high-energy protons (\sim 10^{20} eV). The possible
detection of GRBs above 10 TeV suggested by the Tibet and HEGRA groups also
supports this idea. If this is the case, most of TeV gamma-rays from GRBs are
absorbed in intergalactic fields and eventually form GeV gamma-ray background,
whose flux is in good agreement with the recent observation.
","[{""version"":""v1"",""created"":""Wed, 14 Oct 1998 04:55:48 GMT""},{""version"":""v2"",""created"":""Fri, 16 Oct 1998 11:00:43 GMT""},{""version"":""v3"",""created"":""Tue, 13 Apr 1999 07:46:51 GMT""}]","2009-10-31"
"astro-ph/9810208","Ortwin Gerhard","Peter Englmaier (1,2), Ortwin Gerhard (1) ((1) Astronom. Institut,
  Universitaet Basel, CH, (2) Dpt. Physics & Astronomy, University of Kentucky,
  USA)","Gas Dynamics and Large-Scale Morphology of the Milky Way Galaxy","24 pages, 16 figures, Latex, to appear in MNRAS. Available with full
  resolution figures at http://www.astro.unibas.ch/galaxies/papers.html","Mon.Not.Roy.Astron.Soc. 304 (1999) 512","10.1046/j.1365-8711.1999.02280.x","Basel preprint 120","astro-ph",,"  We present a new model for the gas dynamics in the galactic disk inside the
Sun's orbit. Quasi-equilibrium flow solutions are determined in the
gravitational potential of the deprojected COBE NIR bar and disk, complemented
by a central cusp and, in some models, an outer halo. These models generically
lead to four-armed spiral structure between corotation of the bar and the solar
circle; their large-scale morphology is not sensitive to the precise value of
the bar's pattern speed, to the orientation of the bar with respect to the
observer, and to whether or not the spiral arms carry mass.
  Our best model provides a coherent interpretation of many observed gas
dynamical features. Its four-armed spiral structure outside corotation
reproduces quantitatively the directions to the five main spiral arm tangents
at |l|<=60deg observed in a variety of tracers. The 3-kpc-arm is identified
with one of the model arms emanating from the ends of the bar, extending into
the corotation region. The model features an inner gas disk with a cusped orbit
shock transition to an x_2 orbit disk of radius R~150pc.
  The bar's corotation radius is fairly well--constrained at R_c=3.5 +/- 0.5
kpc. The best value for the orientation angle of the bar is probably 20-25deg,
but the uncertainty is large since no detailed quantitative fit to all features
in the observed lv-diagrams is yet possible. The Galactic terminal velocity
curve from HI and CO observations out to l=+/-45deg (=5 kpc) is approximately
described by a maximal disk model with constant mass-to-light ratio for the NIR
bulge and disk.
","[{""version"":""v1"",""created"":""Wed, 14 Oct 1998 08:23:51 GMT""}]","2009-10-31"
"astro-ph/9810209","Lowry McComb","P.M. Chadwick, K. Lyons, T.J.L. McComb, K.J. Orford, J.L. Osborne,
  S.M. Rayner, S.E. Shaw, K.E. Turver and G.J. Wieczorek (University of Durham)","VHE Gamma Rays from PKS 2155-304","14 pages, 6 figures, accepted for publication in Ap. J",,"10.1086/306862","Dur-Phys-VHE 98/04","astro-ph",,"  The close X-ray selected BL Lac PKS 2155-304 has been observed using the
University of Durham Mark 6 very high energy (VHE) gamma ray telescope during
1996 September/October/November and 1997 October/November. VHE gamma rays with
energy > 300 GeV were detected from this object with a time-averaged integral
flux of (4.2 +/- 0.7 (stat) +/- 2.0 (sys)) x 10^(-11) per cm2 per s. There is
evidence for VHE gamma ray emission during our observations in 1996 September
and 1997 October/November, with the strongest emission being detected in 1997
November, when the object was producing the largest flux ever recorded in
high-energy X-rays and was detected in > 100 MeV gamma-rays. The VHE and X-ray
fluxes show evidence of a correlation.
","[{""version"":""v1"",""created"":""Wed, 14 Oct 1998 09:22:39 GMT""}]","2016-11-23"
"astro-ph/9810210","Bozena Czerny","B. Czerny, A. Schwarzenberg-Czerny, Z. Loska (N. Copernicus
  Astronomical Center)","Power density spectrum of NGC 5548 and the nature of its variability","Accepted for publication in The Monthly Notices of the Royal
  Astronomical Society",,"10.1046/j.1365-8711.1999.02196.x",,"astro-ph",,"  We derive power density spectra in the optical and X-ray band in the
timescale range from several years down to $\sim $ a day. We suggest that the
optical power density spectrum consists of two separate components: long
timescale variations and short timescale variations, with the dividing
timescale around 100 days. The shape of the short timescale component is
similar to X-ray power density spectrum which is consistent with the
interpretation of short timescale optical variations being caused by X-ray
reprocessing. We show that the observed optical long timescale variability is
consistent with thermal pulsations of the accretion disc.
","[{""version"":""v1"",""created"":""Wed, 14 Oct 1998 10:52:39 GMT""}]","2009-10-31"
"astro-ph/9810211","Helene Dinella-Courtois","H. Di Nella-Courtois, P. Lanoix, G. Paturel","Calibration of the Faber-Jackson relation for M31 globular clusters
  using Hipparcos data","6 pages, 3 figures, in press for MNRAS 98",,"10.1046/j.1365-8711.1999.02141.x",,"astro-ph astro-ph.CO",,"  In this paper we present a data analysis regarding globular clusters as
possible extragalactic distance indicators. For this purpose, we collected all
velocity dispersion measurements published for galactic and M31 globular
clusters. The slope and the zero-point of the Faber-Jackson relation were
calibrated using Hipparcos distance measurements, and the relation was applied
to extragalactic globular clusters in M31. A distance modulus of 24.12 \pm 0.45
mag was found. This is coherent with what is found by fitting the red giant
branches of globular clusters (24.47 \pm 0.07, Holland 98), and is found from
the peak of globular clusters luminosity function (24.03 \pm 0.23, Ostriker an
d Gnedin 97), but shorter than the 24.7 \pm 0.2 mag (Lanoix et al. 98) and
24.77 \pm 0.11 mag (Feast and Catchpole 97), obtained by using Hipparcos data
to calibrate the Cepheid period-luminosity. This calibrated Faber-Jackson
relation can now be directly use for other Sc galaxies with resolved globular
clusters, as soon as large amounts of spectra will become available, e.g.,
through the VLT.
","[{""version"":""v1"",""created"":""Wed, 14 Oct 1998 13:08:07 GMT""}]","2015-06-24"
"astro-ph/9810212","Michael L. McCollough","M. L. McCollough, C. R. Robinson, S. N. Zhang, B. A. Harmon, R. M.
  Hjellming, E. B. Waltman, R. S. Foster, F. D. Ghigo, M. S. Briggs, G. N.
  Pendleton, and K. J. Johnston","Discovery of Correlated Behavior Between the HXR and the Radio Bands in
  Cygnus X-3","19 pages, Latex, 4 figures, 2 tables, submitted to Ap.J",,"10.1086/307241",,"astro-ph",,"  Using CGRO/BATSE hard X-ray (HXR) data and GHz radio monitoring data from the
Green Bank Interferometer (GBI), we have performed a long term study ($\sim$
1800 days) of the unusual X-ray binary Cyg X-3 resulting in the discovery of a
remarkable relationship between these two wavelength bands. We find that,
during quiescent radio states, the radio flux is strongly anticorrelated with
the intensity of the HXR emission. The relationship switches to a correlation
with the onset of major radio flaring activity. During major radio flaring
activity the HXR drops to a very low intensity during quenching in the radio
and recovers during the radio flare. Injection of plasma into the radio jets of
Cyg X-3 occurs during changes in the HXR emission and suggests that
disk-related and jet-related components are responsible for the high energy
emission.
","[{""version"":""v1"",""created"":""Wed, 14 Oct 1998 14:57:51 GMT""}]","2009-10-31"
"astro-ph/9810213","Ibrahim Arbab Arbab","Arbab I.Arbab","Viscous big bang cosmology with variable G and $\Lambda$","6 pages, no figures, submitted to Modern Physics Lett.A",,,,"astro-ph",,"  We have examined the cosmological solutions with variable G and $\lambda$ and
bulk viscosity. It is found that these solutions are free from the cosmological
problems of the Standard Model. The proposed cosmology consists of two
arbitrary parameters which are well constrained. The inflationary solution does
not require $\Omega=1$ and arises with or without the cosmological constant.
","[{""version"":""v1"",""created"":""Wed, 14 Oct 1998 15:07:44 GMT""}]","2007-05-23"
"astro-ph/9810214","Axel Schwope","I. Lehmann, G. Hasinger, A.D. Schwope, Th. Boller","AGN/galaxy separation in the ROSAT Bright Survey","4 pages, 5 figures, to appear in 'Highlights in X-ray Astronomy',
  symposium held in honour of J. Truempers 65th birthday",,,"AIP 98-28","astro-ph",,"  The X-ray luminosity function (XLF) of galaxies is dominated by AGN
(classified by their optical spectra) above
  Lx=10**42 erg/s, below this value by normal galaxies. The X-ray flux of AGN
at low X-ray luminosity therefore contains contributions from stellar processes
(winds, supernova explosions etc.). Until now it is not clear which fraction of
the observed X-ray flux has to be associated to the underlying stellar
emission. We started to investigate a complete luminosity-limited sample of AGN
and galaxies with log Lx < 42.5 to discriminate between the nuclear and galaxy
flux. Using the ROSAT HRI data we calculated the radial wobble-corrected
profiles of the sources which were compared to a new HRI point spread function
(PSF) template derived from 21 X-ray bright stars. The majority of the
low-luminosiy AGN shows evidence for a significant fraction of extended X-ray
emission.
","[{""version"":""v1"",""created"":""Wed, 14 Oct 1998 15:10:30 GMT""}]","2007-05-23"
