"adap-org/9810007","Jordi Garcia-Ojalvo","J. Garcia-Ojalvo, J. Casademont, C.R. Mirasso, M.C. Torrent and J.M.
  Sancho","Coherence and synchronization in diode-laser arrays with delayed global
  coupling","8 pages, LaTeX, 6 PS figures, to appear in International Journal of
  Bifurcation and Chaos",,"10.1142/S021812749900167X",,"adap-org cond-mat nlin.AO physics.optics",,"  The dynamics of a semiconductor-laser array whose individual elements are
coupled in a global way through an external mirror is numerically analysed. A
coherent in-phase solution is seen to be preferred by the system at
intermediate values of the feedback coupling strength. At low values of this
parameter, a strong amplification of the spontaneous emission noise is
observed. A tendency towards chaos synchronization is also observed at large
values of the feedback strength.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 10:39:18 GMT""}]","2015-06-24"
"astro-ph/9810449","Tan Lu","Y.F. Huang, Z.G. Dai, T. Lu (Dept. Astronomy, Nanjing Univ., P.R.
  China)","Fireball/Blastwave Model and Soft Gamma-ray Repeaters","Already published in 1998 in ""Chinese Physics Letters"", replaced with
  the published version. See astro-ph/0502452 for a more detailed version","Chinese Physics Letters, 1998, 15, 775-777","10.1088/0256-307X/15/10/028",,"astro-ph",,"  Soft gamma-ray repeaters are at determined distances and their positions are
known accurately. If observed, afterglows from their soft gamma-ray bursts will
provide important clues to the study of the so called ""classical gamma-ray
bursts"". On applying the popular fireball/blastwave model of classical
gamma-ray bursts to soft gamma-ray repeaters, it is found that their X-ray and
optical afterglows are detectable. Monitoring of the three repeaters is
solicited.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 16:52:08 GMT""},{""version"":""v2"",""created"":""Thu, 24 Feb 2005 09:54:50 GMT""}]","2015-06-24"
"astro-ph/9810458","John S. Mulchaey","John S. Mulchaey (Carnegie Observatories) and Ann I. Zabludoff
  (UCSC/Lick Observatories)","The Isolated Elliptical NGC 1132: Evidence For a Merged Group of
  Galaxies?","12 pages with 3 figures. Accepted for publication in the
  Astrophysical Journal",,"10.1086/306952",,"astro-ph",,"  Numerical simulations predict that some poor groups of galaxies have merged
by the present epoch into giant ellipticals (cf. Barnes 1989). To identify the
possible remnants of such mergers, we have compiled a sample of nearby,
isolated ellipticals (Colbert, Mulchaey, & Zabludoff 1998). ASCA observations
of the first galaxy studied, NGC 1132 reveal an X-ray halo that extends out to
at least 250 kpc. The temperature, metallicity and luminosity of NGC 1132's
X-ray halo are comparable to those of poor group halos. The total mass inferred
from the X-ray emission is also like that of an X-ray detected group. Optical
imaging uncovers a dwarf galaxy population clustered about NGC 1132 that is
consistent in number density and in projected radial distribution with that of
an X-ray group. The similarities of NGC 1132 to poor groups in both the X-ray
band and at the faint end of the galaxy luminosity function, combined with the
deficit of luminous galaxies in the NGC 1132 field, are compatible with the
merged group picture. Another possibility is that the NGC 1132 system is a
`failed' group (i.e., a local overdensity in which other bright galaxies never
formed).
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 16:43:20 GMT""}]","2009-10-31"
"astro-ph/9810459","Inese I. Ivans","I.I. Ivans (1), C. Sneden (1), R.P.Kraft (2) ((1) Univ. of Texas,
  Austin (2) Univ. of California, Santa Cruz)","The Mildly Metal-Poor Globular Cluster M4: Star-to-Star Abundance
  Variations in 20 Giants","2 pages, 1 fig, uses crckapb.sty, to appear in proceedings of ""Galaxy
  Evolution: Connecting the distant Universe with the local fossil record""
  meeting in Meudon, France","Astrophys.Space Sci. 265 (1999) 195-196","10.1023/A:1002111611470",,"astro-ph",,"  We present a chemical composition analysis of a sample of 20 giant branch
stars in the ""CN-bimodal"" globular cluster M4 observed using high resolution
echelle spectrographs at Lick & McDonald Observatories. M4, a mildly metal-poor
([Fe/H] ~ -1.1) globular cluster, is the nearest, brightest, and one of the
most accessible targets to study the CN-bimodal phenomena. The abundance
analysis includes elements Fe, Si, Ca, Sc, Ti, V, and Ni as well as elements
that are diagnostics of proton-capture nucleosynthesis, O, Na, Mg, and Al, in
addition to r-process and s-process elements, Eu and Ba.
","[{""version"":""v1"",""created"":""Thu, 29 Oct 1998 01:15:37 GMT""}]","2009-10-31"
"astro-ph/9810460","Marcella Marconi","G. Bono (Astron. Obs. of Trieste), M. Marconi (Astron. Obs. of
  Capodimonte)","On the Period-Luminosity-Color Relation of Classical Cepheids","6 pages, including 1 postscript figure, IAU Symposium 190",,,,"astro-ph",,"  We present the comparison between theoretical and empirical PL relations in V
and I bands for the Large Magellanic Cloud. We found that, within the current
intrinsic dispersions, theoretical predictions are in remarkable agreement with
observational data. We also discuss the PLC relations in (V,B-V) and (V,V-I) as
well as the dependence of distance determinations on uncertainties in colors,
in reddening corrections and in metal content.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 17:54:59 GMT""}]","2007-05-23"
"astro-ph/9810461","Andy Layden","Andrew C. Layden (U-Michigan)","Stellar Absolute Magnitudes via the Statistical Parallax Method","15 pages, includes 1 EPS figure, uses AASTeX. An invited review
  article to appear in ""Post-Hipparcos Cosmic Candles"", A. Heck & F. Caputo
  (eds.), Kluwer Academic Publ., Dordrecht, in press",,,,"astro-ph",,"  I review statistical parallax absolute magnitude determinations which employ
data from the HIPPARCOS satellite for RR Lyrae and Cepheid variables, and for
several other stellar classes. Five groups have studied the RR Lyrae stars, and
the results are reassuringly consistent: M_V(RR) = 0.77 +- 0.13 mag at [Fe/H] =
-1.6 dex. Extensive Monte Carlo simulations showed that systematic errors are
small (~0.03 mag or less), and corrections for them were applied in the above
result. The RR Lyrae result is thus very secure. A statistical parallax study
of Cepheids found the Period--Luminosity zero-point to be considerably fainter
than studies based on HIPPARCOS trigonometric parallaxes. The distance modulus
of the Large Magellanic Cloud derived from this zero-point is in excellent
agreement with that derived using the RR Lyrae result. I discuss why the
statistical parallax absolute magnitude calibrations differ with some other RR
Lyrae and Cepheid calibrations.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 19:45:58 GMT""}]","2007-05-23"
"astro-ph/9810462","Andy Boden","M.M. Colavita","Fringe Visibility Estimators for the Palomar Testbed Interferometer","PASP in press (Jan 99). 13 Pages, no figures",,"10.1086/316302",,"astro-ph",,"  Visibility estimators and their performance are presented for use with the
Palomar Testbed Interferometer (PTI). One operational mode of PTI is
single-baseline visibility measurement using pathlength modulation with
synchronous readout by a NICMOS-3 infrared array. Visibility is estimated from
the fringe quadratures, either incoherently, or using source phase referencing
to provide a longer coherent integration time. The visibility estimators differ
those used with photon-counting detectors in order to account for biases
attributable to detector offsets and read noise. The performance of these
estimators is affected not only by photon noise, but also by the detector read
noise and errors in estimating the bias corrections, which affect the
incoherent and coherent estimators differently. Corrections for visibility loss
in the coherent estimators using the measured tracking jitter are also
presented.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 18:47:44 GMT""}]","2009-10-31"
"astro-ph/9810463","Didier Barret","D. Barret (CESR, Toulouse), J. E. Grindlay (Harvard U., Cambridge), I.
  M. Harrus (Harvard U., Cambridge), J. F. Olive (CESR, Toulouse)","An ASCA X-ray Observation of 1E1724-3045 in the globular cluster Terzan
  2","Accepted for publication in Astronomy and Astrophysics Main Journal,
  7 pages, 2 figures and 2 tables",,,"CESR-98-02","astro-ph",,"  The bright persistent X-ray source and type I X-ray burster 1E1724-3045
located in the globular cluster Terzan 2 was observed by ASCA for about 10 ksec
on September 24-25th, 1995 while it was in its hard state, with a luminosity of
\~6x10^36 erg/s in the 0.5-10 keV band (d=7.7 kpc). The ASCA spectrum is hard,
and reveals the presence of a soft component below 2-3 keV. When combined with
non simultaneous RXTE/HEXTE data, we show that the ASCA spectrum can be
adequately fitted by a Comptonization model for which the electron temperature
is ~30 keV, the optical depth is ~3 for a spherical scattering cloud. The soft
component carries off about 13%, and 35% of the 0.1-200 keV luminosity for a
blackbody and disk blackbody fit respectively. It is more likely to arise from
the accretion disk, whereas the hard Comptonized component is generated in a
hot boundary layer interior to the disk. The column density measured towards
the source (NH=10^22 cm^-2) is consistent with the value expected from the
optical reddening of the cluster. No emission lines were detected, and an upper
limit of 30 eV for the equivalent width of a 6.4 keV line (sigma=0.1 keV) has
been derived.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 18:51:14 GMT""}]","2007-05-23"
"astro-ph/9810464","Kyu-Hyun Chae","Kyu-Hyun Chae, David A. Turnshek","HST Observations of the Gravitationally Lensed Cloverleaf Broad
  Absorption Line QSO H1413+1143: Modeling the Lens","23 pages (in aaspp.sty) including 5 tables and 3 figures, Accepted
  for publication in the Astrophysical Journal",,"10.1086/306962",,"astro-ph",,"  We investigate gravitational lens models for the quadruply-lensed Cloverleaf
BAL QSO H1413+1143 based on the HST WFPC/WFPC2 astrometric and photometric data
of the system by Turnshek et al. and the HST NICMOS-2 data by Falco et al. The
accurate image positions and the dust-extinction-corrected relative
amplifications, along with a possible detection of the lensing galaxy in the
infrared, permit more accurate lens models than were previously possible. While
more recent models are qualitatively consistent with the HST data, none of the
previous models considered the dust-extinction-corrected relative
amplifications of the image components. We use the power-law elliptical mass
model to fit the HST data. We find that a single elliptical galaxy perturbed by
an external shear can fit the image positions within the observational
uncertainties; however, the predicted relative magnifications are only roughly
consistent with the observational relative amplifications. We find that a
primary galaxy combined with a secondary galaxy in the vicinity of the
Cloverleaf or a cluster centered (south-)west of the Cloverleaf can fit both
the image positions and relative amplifications within the observational
uncertainties. We discuss future observations which could be used to test
and/or further constrain lens models of the Cloverleaf.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 19:15:46 GMT""}]","2009-10-31"
"astro-ph/9810465","Brian McNamara","Brian R. McNamara (CfA), Buell T. Jannuzi (NOAO), Craig L. Sarazin (U
  of Virginia), Richard Elston (U. of Florida), Michael Wise (MIT/CSR)","An Alignment Effect in FR I Radio Galaxies: U-band Polarimetry of the
  Abell 2597 Cluster Central Galaxy","25 pages, 4 figures to appear in the ApJ",,"10.1086/307262",,"astro-ph",,"  We have obtained U-band polarimetry of the spatially extended, blue optical
continuum associated with the FR I radio source PKS 2322-122. PKS 2322-122 is
located in the Abell 2597 cluster central galaxy. We find a three sigma upper
limit to the degree of polarization of the optical continuum of less than 6%.
This limit is inconsistent with the blue continuum being primarily scattered
light or synchrotron radiation. We can therefore exclude models which attribute
the blue continuum to scattered light from an active nucleus that is hidden
from direct view. Essentially all of the data pertaining to the blue continuum
along the radio source-the ``blue lobes''-indicate that they are regions of
recent star formation that may have been induced by an interaction between the
radio source and the cool ($<10^4$ K), surrounding gas. We compare the
restframe U-band polarized luminosities and 1.4 GHz radio powers of A2597 and
A1795 to those for several high redshift radio galaxies exhibiting the
alignment effect. We suggest that the fundamental property distinguishing some
powerful, high redshift radio galaxies exhibiting the alignment effect, and the
lower-power, FR I radio galaxies in cooling flows that exhibit the blue lobe
phenomenon, is the strength of the AGN.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 20:47:26 GMT""}]","2009-10-31"
"astro-ph/9810466","Dale J. Fixsen","D.J. Fixsen (RSTX), C.L. Bennett (GSFC), and J.C. Mather (GSFC)","COBE-FIRAS Observations of Galactic Lines","12 pages, 5 Postscript Figures, uses aaspp4.sty, minor revisions to
  conform to the version accepted by ApJ",,,,"astro-ph",,"  The COBE Far InfraRed Absolute Spectrophotometer (FIRAS) observations
constitute an unbiased survey over the wavelength range from 100 um to 1 cm
over 99% of the sky. Improved calibration of the FIRAS instrument and the
inclusion of all of the FIRAS data allow an improved signal to noise
determination of the spectral lines by a factor of ~2 over our previous
results. The resolution is low (0.45 cm^{-1}) so only the strongest lines are
observable. The CO chain from J=1-0 to J=8-7 is observed towards the Galactic
center. The line ratios are roughly consistent with a 40 K excitation
temperature. The 157.7 um C II and 205.3 um N II lines are observable over most
of the sky. The 370.4 um and 609.1 um lines of C I, and the 121.9 um line of N
II are observed in the Galactic plane. The line ratios at the Galactic center
are consistent with a density of n_0 ~30 cm^{-3} and a UV flux of G_0 ~15 uW
m^{-2} sr^{-1} (10 Habing units). The 269 um H2O line is observed toward the
Galactic center in absorption.
","[{""version"":""v1"",""created"":""Wed, 28 Oct 1998 21:59:36 GMT""},{""version"":""v2"",""created"":""Mon, 25 Jan 1999 22:51:19 GMT""}]","2007-05-23"
