"adap-org/9811002","Barbara Drossel","Barbara Drossel","A simple model for the formation of a complex organism","Final version, including more references, to appear in PRL","Phys. Rev. Lett. 82, 5144 (1999)","10.1103/PhysRevLett.82.5144",,"adap-org nlin.AO q-bio",,"  A simple model for the formation of a complex organism is introduced.
Individuals can communicate and specialize, leading to an increase in
productivity. If there are limits to the capacity of individuals to communicate
with other individuals, the individuals form groups that interact with each
other, leading to a complex organism that has interacting units on all scales.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 15:56:54 GMT""},{""version"":""v2"",""created"":""Mon, 10 May 1999 13:52:22 GMT""}]","2009-10-30"
"astro-ph/9811181",,"H. Nunokawa, R. Tomas, J. W. F. Valle","Type-II Supernovae and Neutrino Magnetic Moment","11 pages, 5 figures, latex file, final version, references added","Astropart.Phys.11:317-325,1999","10.1016/S0927-6505(98)00072-3","FTUV/98-82, IFIC/98-83","astro-ph hep-ph",,"  The present solar and atmospheric neutrino data together with the LSND
results and the presence of hot dark matter (HDM) suggest the existence of a
sterile neutrino at the eV scale. We have reanalysed the effect of resonant
{\sl sterile} neutrino conversions induced by neutrino magnetic moments in a
type-II supernova. We analyse the implications of $\nu_e-\nu_s$ and
$\bar{\nu}_e-\bar{\nu}_s$ ($\nu_s$ denotes sterile neutrino) conversions for
the supernova shock re-heating, the detected $\bar\nu_e$ signal from SN1987A
and the $r$-process nucleosynthesis hypothesis. Using reasonable magnetic field
profiles we determine the sensitivity of these three arguments to the relevant
neutrino parameters, i.e. the value of the transition magnetic moment and the
$\nu_e-\nu_s$ mass difference $\Delta m^2 \equiv \Delta m^2_{LSND/HDM}$
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 18:05:05 GMT""},{""version"":""v2"",""created"":""Wed, 13 Jan 1999 17:43:59 GMT""}]","2009-09-17"
"astro-ph/9811182","Frank Tesch","D. Engels(1), F. Tesch(1), C. Ledoux(2), J. Wei(3), A. Ugryumov(4), D.
  Valls-Gabaud(2), J. Hu(3), W. Voges(5) ((1)Hamburger Sternwarte,
  (2)Observatoire Astronomique de Strasbourg, (3)Beijing Astronomical
  Observatory, (4)Special Astrophysical Observatory, (5)MPI Garching)","Large-scale structures in the distribution of X-ray selected AGN","4 pages LaTeX, 4 figures, uses xray_symp.cls. To appear in the
  Proceedings of ""Highlights in X-ray Astronomy"", eds. B. Aschenbach, M.
  Freyberg, MPE Report, Garching 17-19 June 1998",,,,"astro-ph",,"  We are searching for large-scale structures in the distribution of AGN
discovered by the ROSAT All-Sky Survey. The RASS detected > 60000 X-ray
objects, of which approximately 35% are AGN at z < 0.5. The surface density in
the extragalactic sky is approximately 0.5 AGN/deg^2, which has not been
reached until now by any other survey for this redshift range. We efficiently
single out the AGN among all the RASS sources using the Hamburg/RASS database
of optical identifications, which contains presently 13867 entries.
  Follow-up spectroscopy of RASS AGN candidates identified in selected areas of
the northern sky is underway to determine the spatial distribution of the AGN
in these areas. In every area structures reminiscent of clusters and filaments
are found on scales 50 - 100 h^{-1}Mpc. These structures have a similar size as
the serendipitously discovered groups of AGN in optical surveys at higher
redshifts. Samples of low redshift AGN drawn from the RASS are large enough to
be used with samples of higher redshift to study evolutionary effects in the
large-scale distribution of AGN.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 16:08:23 GMT""}]","2007-05-23"
"astro-ph/9811183",,"Brian D. Fields and Keith A. Olive","The Evolution of Li6 in Standard Cosmic-Ray Nucleosynthesis","15 pages, latex, 2 ps figures",,"10.1016/S1384-1076(99)00009-3","UMN-TH-1727/98 TPI-MINN-98/22","astro-ph",,"  We review the Galactic chemical evolution of Li6 and compare these results
with recent observational determinations of the lithium isotopic ratio. In
particular, we concentrate on so-called standard Galactic cosmic-ray
nucleosynthesis in which Li, Be, and B are produced (predominantly) by the
inelastic scattering of accelerated protons and \alpha's off of CNO nuclei in
the ambient interstellar medium. If O/Fe is constant at low metallicities, then
the Li6 vs Fe/H evolution-as well as Be and B vs Fe/H-has difficulty in
matching the observations. However, recent determinations of Population II
oxygen abundances, as measured via OH lines, indicate that O/Fe increases at
lower metallicity; if this trend is confirmed, then the Li6 evolution in a
standard model of cosmic-ray nucleosynthesis is consistent with the data. We
also show that another key indicator of Li6BeB origin is the Li6/Be ratio which
also fits the available data if O/Fe is not constant at low metallicity.
Finally we note that Li6 evolution in this scenario can strongly constrain the
degree to which Li6 and Li7 are depleted in halo stars.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 17:14:49 GMT""}]","2009-10-31"
"astro-ph/9811184","Roman Scoccimarro","Roman Scoccimarro and Joshua A. Frieman","Hyperextended Cosmological Perturbation Theory: Predicting Non-linear
  Clustering Amplitudes","20 pages, 6 figures. Final version accepted by ApJ. Includes new
  paragraphs on factorizable hierarchical models and agreement of HEPT with the
  excursion set model for white-noise Gaussian fluctuations","Astrophys.J. 520 (1999) 35","10.1086/307448","CITA-98-17 FERMILAB-Pub-98/255-A","astro-ph",,"  We consider the long-standing problem of predicting the hierarchical
clustering amplitudes $S_p$ in the strongly non-linear regime of gravitational
evolution. N-body results for the non-linear evolution of the bispectrum (the
Fourier transform of the three-point density correlation function) suggest a
physically motivated ansatz that yields the strongly non-linear behavior of the
skewness, $S_3$, starting from leading-order perturbation theory. When
generalized to higher-order ($p>3$) polyspectra or correlation functions, this
ansatz leads to a good description of non-linear amplitudes in the strongly
non-linear regime for both scale-free and cold dark matter models. Furthermore,
these results allow us to provide a general fitting formula for the non-linear
evolution of the bispectrum that interpolates between the weakly and strongly
non-linear regimes, analogous to previous expressions for the power spectrum.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 19:06:00 GMT""},{""version"":""v2"",""created"":""Thu, 21 Jan 1999 19:58:00 GMT""}]","2009-10-31"
"astro-ph/9811185","Will Sutherland","Will Sutherland (Astrophysics, Oxford Univ.)","Gravitational Microlensing - A Report on the MACHO Project","RevTex, 20 pages incl. 11 Postscript figures. Rev. Mod. Phys.
  'Colloquium' article, to appear Jan. 1999","Rev.Mod.Phys.71:421-434,1999","10.1103/RevModPhys.71.421",,"astro-ph gr-qc hep-ph",,"  There is abundant evidence that the mass of the Universe is dominated by dark
matter of unknown form. The MACHO project is one of several teams searching for
the dark matter around our Galaxy in the form of Massive Compact Halo Objects
(MACHOs). If a compact object passes very close to the line of sight to a
background star, the gravitational deflection of light causes an apparent
brightening of the star, i.e. a gravitational `microlensing' event. Such events
will be very rare, so millions of stars must be monitored for many years. We
describe our search for microlensing using a very large CCD camera on the
dedicated 1.27m telescope at Mt. Stromlo, Australia: currently some 14 events
have been discovered towards the Large Magellanic Cloud. The lack of
short-timescale events excludes planetary mass MACHOs as a major contributor to
the dark matter, but the observed long events (durations 1--6 months) suggest
that a major fraction may be in fairly massive objects $\sim 0.5 \Msun$. It is
currently difficult but not impossible to explain these events by other lens
populations; we discuss some prospects for clarifying the nature of the lenses.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 19:34:11 GMT""}]","2008-11-26"
"astro-ph/9811186","Antonio Aparicio","A. Aparicio","The Star Formation History in Nearby Dwarf Galaxies: the Fossil Record
  in the Color-Magnitude Diagram","14 pages; 4 figures; conference",,,,"astro-ph",,"  Dwarf galaxies may play a key role in the formation and evolution of bigger
systems. This make a topic of major interest knowing how they form and evolve
and, in particular, how their star formation histories (SFHs) have proceed
since their birth. For nearby galaxies, the color-magnitude diagram (CMD)
contains stars formed over all their lifetime. It is hence a fossil record of
their SFHs. The analysis with synthetic CMDs provides a powerful tool to
retrieve them.
  In this paper, I discuss the critical issues related to the computation of
synthetic CMDs, present a short summary of the currently available results for
the SFH extending the full life of galaxies and make a few critical
considerations about the powerfulness and back-draws of the method.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 20:52:54 GMT""}]","2007-05-23"
"astro-ph/9811187","Delores Lucero","Robert Antonucci","Millimeter-Wave Spectroscopy and Mapping of Quasar Hosts, and the Status
  of ULIRGs as Quasar 2s","7 pages",,"10.1016/S0273-1177(99)00227-6","UCSB-AP-98-004","astro-ph",,"  It is becoming possible to detect high redshift quasars in various molecular
lines, and to show by mapping lensed objects that the strong dust and molecular
emission arises in warm dense ~100 pc-scale ""tori."" The properties of ULIRGs,
at least those with AGN-like narrow line regions, are very similar, as expected
in the hidden quasar hypothesis. Several of the latter are in fact confirmed as
""Quasar 2s"" by spectropolarimetry.
","[{""version"":""v1"",""created"":""Wed, 11 Nov 1998 22:23:49 GMT""}]","2009-10-31"
"astro-ph/9811188","Kristen Menou","Kristen Menou (1,2), Jean-Marie Hameury (3), Rudolf Stehle (4) ((1)
  Harvard-Smithsonian Center for Astrophysics, (2) DARC-CNRS, Observatoire de
  Paris-Meudon, (3) UMR 7550-CNRS, Observatoire de Strasbourg, (4) Astronomy
  Group, University of Leicester)","Structure and properties of transition fronts in accretion discs","LateX, 12 pages, 10 figures, uses mn.sty; Submitted to MNRAS",,"10.1046/j.1365-8711.1999.02396.x",,"astro-ph",,"  We use high-resolution time-dependent numerical simulations of accretion
discs around white dwarfs to study the structure and properties of transition
fronts in the context of the thermal-viscous disc instability model. The
thermal structure of cooling and heating fronts is dominated by radiative
cooling and viscous heating, respectively, except in a very narrow precursor
region in heating fronts where advection and radial transport of energy
dominate. Cooling fronts are much broader than heating fronts, but the widths
of both types of fronts scale with the local vertical scale height of the disc.
We confirm that during a fair fraction of the propagation time of a cooling
front, the structure of the inner disc is close to self-similar. The speed of
heating fronts is ~ a few km/s, while the speed of cooling fronts is ~ a
fraction of a km/s. We show that direct measurements of the speed of transition
fronts probably cannot discriminate between various prescriptions proposed for
the viscosity parameter alpha. A natural prediction of the disc instability
model is that fronts decelerate as they propagate in the disc, independent of
the prescription for alpha. Observation of this effect would confirm that dwarf
nova outbursts are driven by the thermal-viscous instability. Most of our
results also apply to low mass X-ray binaries in which the accreting object is
a neutron star or a black hole.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 01:06:00 GMT""}]","2009-10-31"
"astro-ph/9811189","Narciso Benitez","Narciso Benitez (UC Berkeley)","Bayesian photometric redshift estimation","36 pages, AAS Latex, submitted to ApJ","Astrophys.J.536:571-583,2000","10.1086/308947",,"astro-ph",,"  Photometric redshift estimation is becoming an increasingly important
technique, although the currently existing methods present several shortcomings
which hinder their application. Here it is shown that most of those drawbacks
are efficiently eliminated when Bayesian probability is consistently applied to
this problem. The use of prior probabilities and Bayesian marginalization
allows the inclusion of valuable information, e.g. the redshift distributions
or the galaxy type mix, which is often ignored by other methods. In those cases
when the a priori information is insufficient, it is shown how to `calibrate'
the prior distributions, using even the data under consideration. There is an
excellent agreement between the 108 HDF spectroscopic redshifts and the
predictions of the method, with a rms error Delta z/(1+z_spec) = 0.08 up to z<6
and no systematic biases nor outliers. The reliability of the method is further
tested by restricting the color information to the UBVI filters. The results
thus obtained are shown to be more reliable than those of standard techniques
even when the latter include near-IR colors. The Bayesian formalism developed
here can be generalized to deal with a wide range of problems which make use of
photometric redshifts. Several applications are outlined, e.g. the estimation
of individual galaxy characteristics as the metallicity, dust content, etc., or
the study of galaxy evolution and the cosmological parameters from large
multicolor surveys. Finally, using Bayesian probability it is possible to
develop an integrated statistical method for cluster mass reconstruction which
simultaneously considers the information provided by gravitational lensing and
photometric redshifts.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 02:27:35 GMT""}]","2011-05-05"
"astro-ph/9811190","Thomas Bloecker","T. Driebe (1,2), D. Schoenberner (2), T. Bloecker (1), F. Herwig (2,3)
  ((1) Max-Planck-Institut fuer Radioastronomie, Bonn, Germany (2)
  Astrophysikalisches Institut Potsdam, Potsdam, Germany (3) Universitaet
  Potsdam, Institut fuer Physik, Germany)","Evolutionary Models of White Dwarfs with Helium Cores","6 pages including 3 PostScript figures, also available from
  http://www.speckle.mpifr-bonn.mpg.de/publications.html, 11th European
  Workshop on White Dwarfs, ed. Jan-Erik Solheim, ASP Conf. Series., in press",,,,"astro-ph",,"  We present seven evolutionary tracks for low-mass white dwarfs with helium
cores, ranging in mass from 0.179 to 0.414 Msol. We generated the pre-white
dwarf models from a 1 Msol sequence extending up to the tip of its red-giant
branch by applying high mass-loss rates at appropriate positions, and we
followed their evolution across the Hertzsprung-Russell diagram and down the
cooling path. We discuss the internal structures and cooling properties of
these new models and compare them with those of recently published models for
low-mass white dwarfs which are based on simplified initial configurations. We
also demonstrate that our new models seem to remove the apparent discrepancies
between the characteristic ages of millisecond pulsars and the cooling ages of
their white dwarf companions.
","[{""version"":""v1"",""created"":""Thu, 12 Nov 1998 08:40:16 GMT""}]","2007-05-23"
