"astro-ph/9811422","Ibrahim Arbab Arbab","Arbab I.Arbab","Primordial Black Holes With Variable Gravity","A more revised version",,,,"astro-ph gr-qc",,"  We have studied the evolution of primordial black holes (PBHs) in a universe
with a variable gravitational constant and bulk viscosity. We have found that
the strength of gravity has changed appreciably in the early universe. The
gravitational constant attained its greatest value at t=10^{-23} sec after the
Big Bang. PBHs formed at the GUT and electroweak epochs would have masses about
$1.85\times 10^9 g$ and $1.8\times 10^{-7} g$ respectively. Their temperatures
when they explode are $6\times 10^8K$ and 6 K respectively. PBHs formed during
nuclear epoch are hard to detect at the present time. The gravitational
constant ($G$) is found to increase as $G\propto t^2$ in the radiation epoch.
The gamma rays bursts (GRBs) may have their origin in the evaporation of the
PBHs formed during GUT time.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 22:43:21 GMT""},{""version"":""v2"",""created"":""Mon, 30 Nov 1998 22:59:17 GMT""},{""version"":""v3"",""created"":""Thu, 3 Dec 1998 17:07:32 GMT""},{""version"":""v4"",""created"":""Mon, 14 Jun 1999 16:09:42 GMT""}]","2007-05-23"
"astro-ph/9811423","Jaan Einasto","J. Einasto, P. Tenjes","Structure and Evolution of Stellar Populations in Local Group Galaxies","LaTex (sty file added), 6 pages, 3 PostScript figures embedded,
  Proceedings: IAU Symp. 192, The Stellar Content of Local Group Galaxies, Cape
  Town, 7 - 11 September 1998",,,,"astro-ph",,"  We use detailed modeling of stellar populations of nearby galaxies to
calculate population parameters. Our sample of galaxies includes most galaxies
of the Local Group and several more distant giant galaxies. Available data are
sufficient to decompose galaxies into the nucleus, the metal rich core, the
bulge, the halo, the young and old disks, and the dark halo. We compare
mass-to-luminosity ratios and colors of bulges, disks and halos with results of
models of galactic chemical evolution. The luminosity weighted mean of the
mass-to-luminosity ratio of visible stellar population is M/L_B = 4 +- 1.4 in
solar units. This ratio is surprisingly constant for galaxies of very different
absolute magnitude.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 17:37:07 GMT""}]","2007-05-23"
"astro-ph/9811424","Rob Swaters","R.A. Swaters, R.H.M. Schoenmakers, R. Sancisi and T. S. van Albada","Kinematically Lopsided Spiral Galaxies","6 pages, accepted for MNRAS",,"10.1046/j.1365-8711.1999.02332.x",,"astro-ph",,"  Asymmetries in the distribution of light and neutral hydrogen are often
observed in spiral galaxies. Here, attention is drawn to the presence of
large-scale asymmetries in their kinematics. Two examples of kinematically
lopsided galaxies are presented and discussed. The shape of the rotation curve
--rising more steeply on one side of the galaxy than on the other-- is the
signature of the kinematic lopsidedness. It is shown that kinematic
lopsidedness may be related to lopsidedness in the potential, and that even a
mild perturbation in the latter can produce significant kinematical effects.
Probably at least half of all spiral galaxies are lopsided.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 18:54:58 GMT""}]","2009-10-31"
"astro-ph/9811425","L. V. E. Koopmans","L.V.E. Koopmans (1), A.G. de Bruyn (1,2), D.R. Marlow (3), N. Jackson
  (3), R.D. Blandford (5), I.W.A. Browne (3), C.D. Fassnacht (5), S.T. Myers
  (4), T.J. Pearson (5), A.C.S. Readhead (5), P.N. Wilkinson (3), D. Womble (5)
  ((1) Kapteyn Astronomical Institute, The Netherlands, (2) NFRA, The
  Netherlands, (3) NRAL, Jodrell Bank, England, (4) University of Pennsylvania,
  USA, (5) Caltech, USA)","A new radio double lens from CLASS: B1127+385","9 pages, 6 figures, MNRAS in press",,"10.1046/j.1365-8711.1999.02342.x",,"astro-ph",,"  We present the discovery of a new gravitational lens system with two compact
radio images separated by 0.701+-0.001 arcsec. The lens system was discovered
in the Cosmic Lens All Sky Survey (CLASS) as a flat spectrum radio source. Both
radio components show structure in a VLBA 8.4 GHz radio image. No further
extended structure is seen in either the VLA, MERLIN or VLBA images. Hubble
Space Telescope (HST) WFPC2 images in F555W and F814W show two extended objects
close to the radio components, which we identify as two lens galaxies. Their
colours and mass-to-light ratios seem to favour two late-type spiral galaxies
at relatively high redshifts (z_d>~0.5). Faint emission is also detected at
positions corresponding to the radio images.
  A two-lens mass model can explain the observed VLBA structure. The best fit
model has a reduced chi^2 of 1.1. The relative positions of the VLBA
subcomponents are reproduced within 0.08 mas, the flux density ratios within
0.19. We also reproduce the position angle and separation of the two VLBA
subcomponents in A and B within the observational errors, which we consider
strong evidence for the validity of the lens model. Moreover, we find a surface
density axis ratio of 0.74^{+0.10}_{-0.12} for the primary lens (G1),
consistent with the surface brightness axis ratio of 0.69+-0.15. Also, the
surface density position angle of 4.9^{+28.2}_{-22.4} degree of G1 compares
well with the -6+-13 degree position angle of the surface brightness
distribution. The errors indicate the 99 per cent confidence interval.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 18:40:32 GMT""}]","2009-10-31"
"astro-ph/9811426","Mikko Hanski","P. Teerikorpi, T. Ekholm, M.O. Hanski, G. Theureau","Theoretical aspects of the inverse Tully-Fisher relation as a distance
  indicator: incompleteness in log(V_Max), the relevant slope, and the
  calibrator sample bias","A&A in press","(1999) A&A 343, 713",,,"astro-ph",,"  We study the influence of the assumption behind the use of the inverse
Tully-Fisher relation: that there should be no observational cutoffs in the TF
parameter log(V_M). It is noted how lower and upper cutoffs would be seen in a
log(H_0) vs. ``normalized distance'' diagram. Analytical expressions, under the
simplifying assumption of a normal distribution and the use of the correct TF
slope, are derived for the resulting biases, especially the average bias which
log(V_M) cutoffs produce in the derived value of H_0. This bias is shown to be
relatively weak, and as such cannot explain the large differences in the
reported values of H_0 derived from direct and inverse TF relations.
  Some problems of slope and calibration are shown to be more serious. In
particular, one consequence of fitting through the calibrators either the slope
relevant for field galaxies or the steeper slope followed by calibrators is
that the derived value of the Hubble constant comes to depend on the nature of
the calibrator sample. If the calibrator sample is not representative of the
cosmic distribution of log(V_M), large errors in the derived value of H_0 are
possible. Analytical expressions are given for this error that we term the
calibrator sample bias.
","[{""version"":""v1"",""created"":""Thu, 26 Nov 1998 21:12:37 GMT""}]","2007-05-23"
"astro-ph/9811427","Noah Brosch","Ana Heller, Elchanan Almoznino, and Noah Brosch","Late-type dwarf irregular galaxies in the Virgo cluster.I. H-alpha and
  red continuum data","Accepted for publication in the MNRAS. 44 pages, 15 figures",,"10.1046/j.1365-8711.1999.02231.x",,"astro-ph",,"  We present H-alpha and red continuum observations for a sample of late-type
low surface brightness (LSB) dwarf irregular galaxies(DIGs), consisting of all
the m_B<17.2 ImIV and V galaxies in the Virgo cluster (VC), and compare them
with a representative sample of VC high surface brightness (HSB) DIGs. Line
fluxes and equivalent widths are listed for individual HII regions and total
H-alpha emission is measured for the entire DIG. The HII regions we identified
do not produce all the line emission. For LSBs with line emission we find star
formation rates (SFR) of 6.9-43.0 10^{-3} M_sol/yr, ~10x weaker than for HSB
objects. About 2 HII regions are detected per LSB galaxy; they are smaller and
fainter than in HSB galaxies in the VC, have line equivalent widths ~50% of
those in HSBs, and cover similar fractions of the galaxies. The line-emitting
regions of LSB galaxies are preferentially located at the periphery of a
galaxy, while in HSBs they tend to be central. The line strength of an HII
region is correlated with the red continuum light underneath the region. No
fundamental differences were identified in the star formation properties of the
LSB and HSB dwarf galaxies we studied and infer that these galaxies must be
similar, with the difference being the intensity of the present star-formation
burst.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 01:00:56 GMT""}]","2009-10-31"
"astro-ph/9811428","Robert F. coker","R. Coker (1) and F. Melia (1 and 2) ((1) Department of Physics,
  University of Arizona, (2) Steward Observatory, University of Arizona)","3D Simulation of the Gas Dynamics in the Central Parsec of the Galaxy","10 pages, 3 figures, GC98 conference proceedings, uses paspconf.sty","ASP Conf.Ser. 186 (1999) 214",,,"astro-ph",,"  It is thought that many characteristics of the gaseous features within the
central parsec of our Galaxy, are associated with the accretion of ambient
plasma by a central concentration of mass. Using a 3D hydrodynamical code, we
have been simulating this process in order to realistically model the gaseous
flows in the center of our Galaxy. In the most recent simulation, we have taken
into account the multi-point-like distribution of stellar wind sources, as well
as the magnetic heating and radiative cooling of these stellar winds. As
expected, we find that the structure of the flow is significantly different
from that due to a uniform medium. We also investigate the possibility that Sgr
A* is due to a distributed mass concentration instead of the canonical point
mass of a black hole. We discuss the physical state of the accreting gas and
how our results suggest that Sgr A* is unlikely to be associated with a ``dark
cluster''.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 05:21:09 GMT""}]","2007-05-23"
"astro-ph/9811429","Jaan Einasto","J. Einasto","The Power Spectrum of Matter","LaTex (sty files added), 5 pages, 4 PostScript figures embedded,
  Proceedings: Evolution of Large Scale Structure, Garching, August 1998","Evolution of Large Scale Structure from Recombination to Garching,
  ed. A. J. Banday, R. K. Sheth, L. N. da Costa, PrintPartners Ipskamp,
  Enschede, (1999) 173 - 177",,,"astro-ph",,"  We calculate the mean power spectrum of galaxies using published power
spectra of galaxies and clusters of galaxies. The mean power spectrum has a
relatively sharp maximum on scale 120 Mpc (for Hubble constant h=1), followed
by an almost exact power-law spectrum of index n = -1.9 toward smaller scales.
The power spectrum found from APM 2-D galaxy distribution and from LCRS and
IRAS 1.2 Jy surveys is flatter around the maximum. Power spectra of galaxies
and matter are similar in shape, we find the bias parameter of galaxies
relative to matter 1.3 + - 0.1. We compare the empirical power spectrum of
matter with analytical power spectra and show that the primordial power
spectrum has a break in amplitude and a spike.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 07:18:08 GMT""}]","2007-05-23"
"astro-ph/9811430","Richard Woodard","L. R. Abramo and R. P. Woodard (University of Florida at Gainesville)","One Loop Back Reaction On Chaotic Inflation","41 pages, LaTeX 2 epsilon","Phys. Rev. D 60, 044010 (1999)","10.1103/PhysRevD.60.044010","UFIFT-HEP-98-18","astro-ph gr-qc hep-ph",,"  We extend, for the case of a general scalar potential, the inflaton-graviton
Feynman rules recently developed by Iliopoulos {\it et al.} As an application
we compute the leading term, for late co-moving times, of the one loop back
reaction on the expansion rate for $V(\phi) = \frac12 m^2 \phi^2$. This is
expressed as the logarithmic time derivative of the scale factor in the
coordinate system for which the expectation value of the metric has the form:
$<0 | g_{\mu\nu}({\bar t},{\vec x}) | 0 > dx^{\mu} dx^{\nu} = - d{\bar t}^2 +
a^2({\bar t}) d{\vec x} \cdot d{\vec x}$. This quantity should be a gauge
independent observable. Our result for it agrees exactly with that inferred
from the effect previously computed by Mukhanov {\it et al.} using canonical
quantization. It is significant that the two calculations were made with
completely different schemes for fixing the gauge, and that our computation was
done using the standard formalism of covariant quantization. This should settle
some of the issues recently raised by Unruh.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 08:08:46 GMT""}]","2016-08-25"
"astro-ph/9811431","Richard Woodard","L. R. Abramo and R. P. Woodard (University of Florida at Gainesville)","One Loop Back Reaction On Power Law Inflation","28 pages, LaTeX 2 epsilon","Phys. Rev. D 60, 044011 (1999)","10.1103/PhysRevD.60.044011","UFIFT-HEP-98-17","astro-ph gr-qc hep-ph",,"  We consider quantum mechanical corrections to a homogeneous, isotropic and
spatially flat geometry whose scale factor expands classically as a general
power of the co-moving time. The effects of both gravitons and the scalar
inflaton are computed at one loop using the manifestly causal formalism of
Schwinger with the Feynman rules recently developed by Iliopoulos {\it et al.}
We find no significant effect, in marked contrast with the result obtained by
Mukhanov {\it et al.} for chaotic inflation based on a quadratic potential. By
applying the canonical technique of Mukhanov {\it et al.} to the exponential
potentials of power law inflation, we show that the two methods produce the
same results, within the approximations employed, for these backgrounds. We
therefore conclude that the shape of the inflaton potential can have an
enormous impact on the one loop back-reaction.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 08:09:38 GMT""}]","2016-08-25"
"astro-ph/9811432","Jaan Einasto","Jaan Einasto","Regularity of the large-scale structure of the Universe","LaTex (sty file added), 10 pages, 5 PostScript figures embedded,
  Conference: Dark Matter in Astro and Particle Physics, Heidelberg, July 20 -
  25, 1998",,,"Tartu Observatory Preprint 98-11-2","astro-ph",,"  Recent analysis of the distribution of clusters of galaxies is reviewed.
Clusters of galaxies located in rich superclusters form a quasiregular lattice.
The mean power spectrum of galaxies and clusters has been found, it has a peak
at wavelength $\lambda_0=120$~\Mpc corresponding to the lattice step. The power
spectrum of galaxies is reduced to that of matter. The empirical power spectrum
is compared with theoretical spectra for mixed dark matter models, and
primordial power spectra are calculated. The primordial power spectrum has a
peak which may be due to processes during the inflationary stage of the
structure evolution.
","[{""version"":""v1"",""created"":""Fri, 27 Nov 1998 07:55:22 GMT""}]","2007-05-23"
