"adap-org/9812002","Carl Lipo","Mark Madsen (1), Carl Lipo (1 and 2), Michael Cannon (2) ((1) Emergent
  Media, Inc., (2) University of Washington)","Reproductive Tradeoffs In Uncertain Environments: Explaining The
  Evolution Of Cultural Elaboration","32 pages, 5 figures",,,,"adap-org nlin.AO",,"  Dunnell's (1989) explanation for cultural elaboration proposed that
elaboration could be a consequence of selection within uncertain environments.
He developed the theory to the extent that it performed well explaining the
distribution of elaboration at regional scales within eastern North America.
More detailed studies require more detailed development of the theory, so that
additional hypotheses and implications can be deduced. We draw upon theories of
selection in fluctuating environments and portions of life history theory to
propose a formal model of selection for ""waste"" in uncertain environments. We
use agent-based simulation to explore the sufficiency of the theory for
explaining the maintenance of high levels of elaboration within populations,
and deduce novel implications for archaeological evidence usable by others to
test the utility of Dunnell's model in specific localities.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 19:35:27 GMT""}]","2007-05-23"
"astro-ph/9812064","David Ruffolo","D. Ruffolo (Chulalongkorn University, Thailand)","Transport and Acceleration of Energetic Charged Particles near an
  Oblique Shock","20 pages + 12 figures, aas2pp4.sty included, to appear in Astrophys.
  J. (vol. 515, no. 2, April 20, 1999)",,"10.1086/307062",,"astro-ph",,"  We have developed a numerical simulation code that treats the transport and
acceleration of charged particles crossing an idealized oblique,
non-relativistic shock within the framework of pitch angle transport using a
finite-difference method. We consider two applications: 1) to study the
steady-state acceleration of energetic particles at an oblique shock, and 2) to
explain observed precursors of Forbush decreases of galactic cosmic rays before
the arrival of an interplanetary shock induced by solar activity. For the
former, we find that there is a jump in the particle intensity at the shock,
which is stronger for more oblique shocks. Detailed pitch angle distributions
are also presented. The simple model of a Forbush decrease explains the key
features of observed precursors, an enhanced diurnal anisotropy extending
several mean free paths upstream of the shock and a depletion of particles in a
narrow loss cone at ~0.1 mean free path from the shock. Such precursors have
practical applications for space weather prediction.
","[{""version"":""v1"",""created"":""Fri, 4 Dec 1998 00:53:31 GMT""}]","2009-10-31"
"astro-ph/9812075","Michal Chodorowski","Michal Chodorowski (Copernicus Center)","Towards breaking the Omega-bias degeneracy in density--velocity
  comparisons","13 pages, no figures, uses mn.sty. The calculation properly redone
  for bias in real space, added references. Accepted by MNRAS",,"10.1046/j.1365-8711.1999.02710.x",,"astro-ph",,"  I derive a second-order local relation between the REDSHIFT-space mass
density field and the REAL-space velocity field. This relation can be useful
for comparisons between the cosmic density and peculiar velocity fields, for a
number of reasons. First, relating the real-space velocity directly to the
redshift-space density enables one to avoid the Omega-dependent reconstruction
of the density field in real space. Secondly, the reconstruction of the
three-dimensional velocity field in redshift space, questionable because of its
vorticity, is also unnecessary. Finally, a similar relation between the GALAXY
density field and the velocity field offers a way to break the Omega-bias
degeneracy in density--velocity comparisons, when combined with an additional
measurement of the redshift-space galaxy skewness. I derive the latter relation
under the assumption of nonlinear but local bias; accounting for stochasticity
of bias is left for further study.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 16:08:06 GMT""},{""version"":""v2"",""created"":""Fri, 23 Apr 1999 13:57:46 GMT""}]","2009-10-31"
"astro-ph/9812076","You-Hua Chu","You-Hua Chu (U. of Illinois), Kerstin Weis (Inst fur Theoretical
  Astrophysik), Donald R. Garnett (Steward Observatory)","Physical Structure of Small Wolf-Rayet Ring Nebulae","20 pages, Latex (aaspp4.sty), 2 figures, accepted by the Astronomical
  Journal (March 99 issue)",,"10.1086/300777",,"astro-ph",,"  We have selected the seven most well-defined WR ring nebulae in the LMC (Br
2, Br 10, Br 13, Br 40a, Br 48, Br 52, and Br 100) to study their physical
nature and evolutionary stages. New CCD imaging and echelle observations have
been obtained for five of these nebulae; previous photographic imaging and
echelle observations are available for the remaining two nebulae. Using the
nebular dynamics and abundances, we find that the Br 13 nebula is a
circumstellar bubble, and that the Br 2 nebula may represent a circumstellar
bubble merging with a fossil main-sequence interstellar bubble. The nebulae
around Br 10, Br 52, and Br 100 all show influence of the ambient interstellar
medium. Their regular expansion patterns suggest that they still contain
significant amounts of circumstellar material. Their nebular abundances would
be extremely interesting, as their central stars are WC5 and WN3-4 stars whose
nebular abundances have not been derived previously. Intriguing and tantalizing
implications are obtained from comparisons of the LMC WR ring nebulae with ring
nebulae around Galactic WR stars, Galactic LBVs, LMC LBVs, and LMC BSGs;
however, these implications may be limited by small-number statistics. A SNR
candidate close to Br 2 is diagnosed by its large expansion velocity and
nonthermal radio emission. There is no indication that Br 2's ring nebula
interacts dynamically with this SNR candidate.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 16:42:24 GMT""}]","2009-10-31"
"astro-ph/9812077","Catherine Brocksopp","C. Brocksopp (U Sussex), A.E. Tarasov (CrAO, Ukraine), V. M. Lyuty
  (SAI, Russia), P. Roche (U Sussex)","An Improved Orbital Ephemeris for Cygnus X-1","Accepted for publication in A&A","A&A, 343, 861",,,"astro-ph",,"  By accumulating all available radial velocity data and combining it with our
own spectroscopy we present a new and improved ephemeris for Cygnus X-1 (V1357
Cygni/HDE226868). We initially calculate an orbital period of
5.599847+/-0.000018.days and then, by including the more recent radial
velocities of LaSala et al. (1998) and Sowers et al.(1998) we refine this to
5.599829+/-0.000016 days. Using 27 years' worth of photometry, we also
calculate a photometric period of 5.599836+/-0.000024 - remarkably similar to
the spectroscopic one.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 17:20:35 GMT""}]","2007-05-23"
"astro-ph/9812078","Tim Davidge","T. J. Davidge and S. Courteau","High Angular Resolution JHK Imaging of the Centers of the Metal-Poor
  Globular Clusters NGC5272 (M3), NGC6205 (M13), NGC6287, and NGC6341 (M92)","22 pages, 17 figures. To be published in the Astronomical Journal",,"10.1086/300765",,"astro-ph",,"  The Canada-France-Hawaii Telescope (CFHT) Adaptive Optics Bonnette (AOB) has
been used to obtain high angular resolution JHK images of the centers of the
metal-poor globular clusters NGC5272 (M3), NGC6205 (M13), NGC6287, and NGC6341
(M92). The color-magnitude diagrams (CMDs) derived from these data include the
upper main sequence and most of the red giant branch (RGB), and the cluster
sequences agree with published photometric measurements of bright stars in
these clusters. The photometric accuracy is limited by PSF variations, which
introduce systematic errors of a few hundredths of a magnitude near the AO
reference star.
  The clusters are paired according to metallicity, and the near-infrared CMDs
and luminosity functions are used to investigate the relative ages within each
pair. The near-infrared CMDs provide the tightest constraints on the relative
ages of the classical second parameter pair NGC5272 and NGC6205, and indicate
that these clusters have ages that differ by no more than +/- 1 Gyr. These
results thus support the notion that age is not the second parameter. We
tentatively conclude that NGC6287 and NGC6341 have ages that differ by no more
than +/- 2 Gyr. However, the near-infrared spectral energy distributions of
stars in NGC6287 appear to differ from those of stars in outer halo clusters,
bringing into question the validity of this age estimate.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 19:07:28 GMT""}]","2009-10-31"
"astro-ph/9812079","Annalisa Celotti","G. Ghisellini (OAB, Merate, Italy) and A. Celotti (S.I.S.S.A.,
  Trieste, Italy)","Quasi-thermal Comptonization and gamma-ray bursts","10 pages, ApJ Letters, accepted for publication",,"10.1086/311845",,"astro-ph",,"  Quasi-thermal Comptonization in internal shocks formed between relativistic
shells can account for the high energy emission of gamma-ray bursts. This is in
fact the dominant cooling mechanism if the typical energy of the emitting
particles is achieved either through the balance between heating and cooling or
as a result of electron-positron pair production. Both processes yield sub or
mildly relativistic energies. In this case the synchrotron spectrum is
self-absorbed, providing the seed soft photons for the Comptonization process,
whose spectrum is flat [F(v) ~ const], ending either in an exponential cutoff
or a Wien peak, depending on the scattering optical depth of the emitting
particles. Self-consistent particle energy and optical depth are estimated and
found in agreement with the observed spectra.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 18:43:19 GMT""}]","2009-10-31"
"astro-ph/9812080","Dr Paul A. Crowther","Paul A. Crowther (UCL), S. C. Beck (Tel Aviv), Allan J. Willis (UCL),
  Peter S. Conti (JILA), Pat W. Morris (SRON), Ralph S. Sutherland (Canberra)","Properties of Hot Stars in the Wolf-Rayet galaxy NGC5253 from ISO
  Spectroscopy","16 pages, 7 figures, uses mn.sty, to appear in MNRAS",,"10.1046/j.1365-8711.1999.02380.x",,"astro-ph",,"  ISO-SWS spectroscopy of the WR galaxy NGC5253 is presented, and analysed to
provide estimates of its hot young star population. Our approach differs from
previous investigations in that we are able to distinguish between the regions
in which different infrared fine-structure lines form, using complementary
ground-based observations. The high excitation nebular [SIV] emission is formed
in a very compact region, which we attribute to the central super-star-nucleus,
and lower excitation [NeII] nebular emission originates in the galactic core.
We use photo-ionization modelling coupled with the latest theoretical O-star
flux distributions to derive effective stellar temperatures and ionization
parameters of Teff>38kK, logQ=8.25 for the compact nucleus, with Teff=35kK,
logQ<8 for the larger core. Results are supported by more sophisticated
calculations using evolutionary synthesis models. We assess the contribution
that Wolf-Rayet stars may make to highly ionized nebular lines (e.g. [OIV]).
  From our Br(alpha) flux, the 2"" nucleus contains the equivalent of
approximately 1000 O7V star equivalents and the starburst there is 2-3Myr old;
the 20"" core contains about 2500 O7V star equivalents, with a representative
age of 5Myr. The Lyman ionizing flux of the nucleus is equivalent to the 30
Doradus region. These quantities are in good agreement with the observed mid-IR
dust luminosity of 7.8x10^8 L(sun) Since this structure of hot clusters
embedded in cooler emission may be common in dwarf starbursts, observing a
galaxy solely with a large aperture may result in confusion. Neglecting the
spatial distribution of nebular emission in NGC5253, implies `global' stellar
temperatures (or ages) of 36kK (4.8Myr) and 39kK (2.9 or 4.4Myr) from the
observed [NeIII/II] and [SIV/III] line ratios, assuming logQ=8.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 19:05:06 GMT""}]","2009-10-31"
"astro-ph/9812081","N. Trentham","Neil Trentham (Institute of Astronomy, University of Cambridge), A. W.
  Blain (Cavendish Laboratory, University of Cambridge), Jeff Goldader (Dept.
  of Physics and Astronomy, University of Pennsylvania)","Ultraluminous infrared galaxies at high redshift: their position on the
  Madau plot and their fate","19 pages including 11 figs, LateX, MNRAS in press",,"10.1046/j.1365-8711.1999.02407.x",,"astro-ph",,"  A major recent development in extragalactic astronomy has been the discovery
of a population of galaxies that are luminous at submillimetre wavelengths.
Estimates of their spectral energy distributions suggest that these galaxies
are the high-redshift analogues of the ultraluminous infrared galaxies (ULIGs)
observed locally. We identify plausible (but non-unique) redshift-dependent
galaxy luminosity functions that are consistent with both source counts at
2800, 850, 450 and and 175 microns, and far-infrared background radiation
intensities at 850, 240 and 140 microns. In all our models, most of the
submillimetre-luminous sources are distant galaxies with high bolometric
luminosities >= 10^12 L_sun. As for many local ULIGs it is not possible to
determine whether these luminous galaxies are powered by starbursts, like the
local galaxy Arp 220, or by active galactic nuclei (AGN), like the local galaxy
Markarian 231. If the submillimetre-luminous galaxies are all starbursts, then
we predict that the fraction of the cosmic star-formation rate in these objects
is large, but but does not necessarily dominate the star-formation rate of the
Universe at any redshift. Only a few per cent by mass of the present-epoch
spheroidal stellar population would have been formed in such a population of
star-forming galaxies, consistent with constraints on the number of galaxies
with old stellar populations in the field at low and intermediate redshift
derived from K-band surves. If the submillimetre-luminous galaxies are all
powered by AGN, then the comoving density of supermassive black holes onto
which material is accreting at high redshift probably equals no more than a few
per cent of the local density of massive dark objects.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 20:10:41 GMT""}]","2009-10-31"
"astro-ph/9812082","Patrick Godon","Patrick Godon and Mario Livio","On the non-linear hydrodynamic stability of thin Keplerian disks","The Astrophysical Journal, in press",,"10.1086/307514",,"astro-ph",,"  The non-linear hydrodynamic stability of thin, compressible, Keplerian disks
is studied on the large two-dimensional compressible scale, using a high-order
accuracy spectral method. We show that purely hydrodynamic perturbations, while
developing initially into sheared disturbances or coherent vortices, do not
evolve into a self-sustained turbulence. This is in complete agreement with the
conclusions of Balbus and Hawley (1998). We demonstrate that, temporarily,
energy is being transferred to the largest scale mode (before dissipating). In
the case of an inner reflecting boundary condition it is found that the
innermost disk is globally unstable to non-axisymmetric modes which can evolve
into turbulence. However, this turbulence is not expected to play a major role
in angular momentum transport in the disk.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 20:17:29 GMT""},{""version"":""v2"",""created"":""Thu, 11 Mar 1999 17:01:27 GMT""},{""version"":""v3"",""created"":""Mon, 29 Mar 1999 19:54:31 GMT""}]","2009-10-31"
"astro-ph/9812083","Douglas C.-J. Bock","D. C.-J. Bock, M. I. Large and Elaine M. Sadler","SUMSS: A Wide-Field Radio Imaging Survey of the Southern Sky. I. Science
  goals, survey design and instrumentation","27 pages, 12 figures (figures 2, 8, 10 in jpg format); AJ, in press","Astron.J.117:1578,1999","10.1086/300786","ADP 50/98","astro-ph",,"  The Molonglo Observatory Synthesis Telescope, operating at 843 MHz with a 5
square degree field of view, is carrying out a radio imaging survey of the sky
south of declination -30 deg. This survey (the Sydney University Molonglo Sky
Survey, or SUMSS) produces images with a resolution of 43"" x 43"" cosec(Dec.)
and an rms noise level of about 1 mJy/beam. SUMSS is therefore similar in
sensitivity and resolution to the northern NRAO VLA Sky Survey (NVSS; Condon et
al. 1998). The survey is progressing at a rate of about 1000 square degrees per
year, yielding individual and statistical data for many thousands of weak radio
sources. This paper describes the main characteristics of the survey, and
presents sample images from the first year of observation.
","[{""version"":""v1"",""created"":""Thu, 3 Dec 1998 20:19:18 GMT""}]","2008-11-26"
